"Time (s)","X (hPa)"
-5.639610000E-1,9.958367920E2
4.366100000E-1,9.958371735E2
1.437186000E0,9.958375549E2
2.437769000E0,9.958375549E2
3.438341000E0,9.958366394E2
4.439374000E0,9.958344269E2
4.989868000E0,9.958344269E2
5.990446000E0,9.958408356E2
6.991022000E0,9.958451080E2
7.991597000E0,9.958512878E2
8.992174000E0,9.958592224E2
9.992749000E0,9.958673859E2
1.099332700E1,9.958726501E2
1.199390400E1,9.958821869E2
1.299447900E1,9.958866882E2
1.399505500E1,9.958866882E2
1.499563000E1,9.958856964E2
1.599620900E1,9.958840179E2
1.699678900E1,9.958799744E2
1.799735900E1,9.958747864E2
1.899794000E1,9.958702087E2
1.999851300E1,9.958702087E2
2.099908700E1,9.958683777E2
2.199966300E1,9.958701324E2
2.300024100E1,9.958701324E2
2.400082100E1,9.958779907E2
2.500139500E1,9.958804321E2
2.600196900E1,9.958804321E2
2.700254300E1,9.958818054E2
2.800312100E1,9.958818054E2
2.900369700E1,9.958795166E2
3.000427400E1,9.958708954E2
3.100485300E1,9.958649445E2
3.200542700E1,9.958618164E2
3.300600400E1,9.958561707E2
3.400658100E1,9.958561707E2
3.500715700E1,9.958560181E2
3.600772600E1,9.958573914E2
3.700830600E1,9.958560181E2
3.800888200E1,9.958555603E2
3.900945700E1,9.958520508E2
4.001003400E1,9.958507538E2
4.101061100E1,9.958502960E2
4.201118900E1,9.958462524E2
4.301176500E1,9.958456421E2
4.401234100E1,9.958456421E2
4.501291900E1,9.958451843E2
4.601348800E1,9.958442688E2
4.701406600E1,9.958440399E2
4.801464800E1,9.958442688E2
4.901522200E1,9.958440399E2
5.001580000E1,9.958413696E2
5.101637400E1,9.958413696E2
5.201695300E1,9.958423615E2
5.301752900E1,9.958423615E2
5.401810600E1,9.958402252E2
5.501868000E1,9.958380127E2
5.601925500E1,9.958380127E2
5.701983100E1,9.958377075E2
5.802041100E1,9.958369446E2
5.902098300E1,9.958369446E2
6.002156000E1,9.958393860E2
6.102213900E1,9.958428192E2
6.202271400E1,9.958473206E2
6.302329200E1,9.958506012E2
6.402387000E1,9.958518219E2
6.502444500E1,9.958540344E2
6.602502100E1,9.958518219E2
6.702559700E1,9.958510590E2
6.802617300E1,9.958504486E2
6.902675200E1,9.958496857E2
7.002732500E1,9.958496857E2
7.102790400E1,9.958497620E2
7.202848400E1,9.958525085E2
7.302905900E1,9.958525085E2
7.402963600E1,9.958516693E2
7.503020800E1,9.958497620E2
7.603078200E1,9.958497620E2
7.703136300E1,9.958490753E2
7.803193400E1,9.958462524E2
7.903250800E1,9.958452606E2
8.003308700E1,9.958462524E2
8.103366400E1,9.958452606E2
8.203424000E1,9.958451080E2
8.303481600E1,9.958441162E2
8.403580300E1,9.958451080E2
8.503597100E1,9.958472443E2
8.603654600E1,9.958513641E2
8.703712400E1,9.958530426E2
8.803781800E1,9.958557129E2
8.903827500E1,9.958572388E2
9.003885300E1,9.958573151E2
9.103942100E1,9.958612823E2
9.204000100E1,9.958638763E2
9.304057700E1,9.958638763E2
9.404115400E1,9.958660126E2
9.504173300E1,9.958649445E2
9.604230800E1,9.958651733E2
9.704288300E1,9.958649445E2
9.804346000E1,9.958645630E2
9.904403300E1,9.958599091E2
1.000446110E2,9.958592224E2
1.010451890E2,9.958559418E2
1.020457640E2,9.958525085E2
1.030463450E2,9.958496857E2
1.040469170E2,9.958438873E2
1.050474980E2,9.958410645E2
1.060480750E2,9.958407593E2
1.070486540E2,9.958377075E2
1.080492250E2,9.958353424E2
1.090498000E2,9.958351898E2
1.100503760E2,9.958351898E2
1.110509520E2,9.958397675E2
1.120515350E2,9.958421326E2
1.130521020E2,9.958421326E2
1.140526800E2,9.958419037E2
1.150532530E2,9.958406830E2
1.160538310E2,9.958405304E2
1.170544090E2,9.958405304E2
1.180549840E2,9.958405304E2
1.190555600E2,9.958425140E2
1.200561400E2,9.958425140E2
1.210567110E2,9.958428955E2
1.220572960E2,9.958424377E2
1.230578720E2,9.958428955E2
1.240584470E2,9.958435822E2
1.250590270E2,9.958449554E2
1.260595930E2,9.958458710E2
1.270601720E2,9.958465576E2
1.280607470E2,9.958458710E2
1.290613210E2,9.958438110E2
1.300618970E2,9.958402252E2
1.310624740E2,9.958358002E2
1.320630510E2,9.958358002E2
1.330636280E2,9.958370972E2
1.340642060E2,9.958399963E2
1.350647820E2,9.958399963E2
1.360653580E2,9.958386230E2
1.370659370E2,9.958377075E2
1.380665130E2,9.958386230E2
1.390670920E2,9.958378601E2
1.400676680E2,9.958387756E2
1.410682420E2,9.958405304E2
1.420688120E2,9.958405304E2
1.430693920E2,9.958394623E2
1.440699690E2,9.958374786E2
1.450705450E2,9.958374786E2
1.460711220E2,9.958377075E2
1.470716950E2,9.958379364E2
1.480722720E2,9.958384705E2
1.490732890E2,9.958406830E2
1.500734260E2,9.958432770E2
1.510740070E2,9.958451843E2
1.520745790E2,9.958455658E2
1.530751610E2,9.958454132E2
1.540757350E2,9.958454132E2
1.550763110E2,9.958403778E2
1.560768890E2,9.958383942E2
1.570774630E2,9.958367920E2
1.580780390E2,9.958362579E2
1.590786160E2,9.958367920E2
1.600791900E2,9.958425903E2
1.610797650E2,9.958444214E2
1.620803360E2,9.958444214E2
1.630809220E2,9.958444214E2
1.640814940E2,9.958439636E2
1.650820680E2,9.958415222E2
1.660826420E2,9.958415222E2
