"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.485833320E-4,-3.744313660E0,2.861898651E0,9.609117737E0
1.027858334E-2,-3.838767242E0,2.708018646E0,9.643845520E0
2.030758333E-2,-3.751498718E0,2.563269653E0,9.460626526E0
3.033758333E-2,-3.548071747E0,2.417323151E0,9.282946014E0
4.036658334E-2,-3.197351074E0,2.237247620E0,9.112600250E0
5.039658333E-2,-2.593506775E0,2.032922516E0,8.572972412E0
6.042558333E-2,-2.273172913E0,1.737436981E0,8.266559601E0
7.045558334E-2,-2.286794586E0,1.424886932E0,8.358767853E0
8.048558333E-2,-2.527044983E0,1.297352142E0,8.639434204E0
9.051458333E-2,-2.857557678E0,1.460363159E0,8.878337402E0
1.005445833E-1,-3.054098969E0,1.622775421E0,8.943451996E0
1.105735833E-1,-3.224893799E0,1.666185150E0,9.088650055E0
1.206035833E-1,-3.283122711E0,1.558558960E0,9.297316132E0
1.306325833E-1,-3.263962555E0,1.519041138E0,9.526788940E0
1.406625833E-1,-3.218906250E0,1.566492462E0,9.576635284E0
1.506915833E-1,-3.046464844E0,1.689087524E0,9.448950806E0
1.607215833E-1,-2.978506165E0,1.653461609E0,9.387728119E0
1.707505833E-1,-2.833757172E0,1.493444366E0,9.210646362E0
1.807805833E-1,-2.627785492E0,1.438358917E0,8.914861450E0
1.908095833E-1,-2.597698059E0,1.398242340E0,8.864416351E0
2.008395833E-1,-2.654579773E0,1.395248566E0,8.860524445E0
2.108685833E-1,-2.771636353E0,1.410516815E0,8.842861176E0
2.208985833E-1,-2.801574097E0,1.463656311E0,8.962013397E0
2.309275833E-1,-2.730322266E0,1.510508881E0,9.091344452E0
2.409575833E-1,-2.707719269E0,1.544937286E0,9.159153442E0
2.509865833E-1,-2.796484680E0,1.545835419E0,9.241631927E0
2.610165833E-1,-2.856360168E0,1.471140747E0,9.285939789E0
2.710455833E-1,-2.887794800E0,1.373693390E0,9.142388306E0
2.810755833E-1,-2.796933746E0,1.252744904E0,8.965007172E0
2.911045833E-1,-2.814147949E0,1.121767273E0,9.007967834E0
3.011345833E-1,-3.012934570E0,1.153201904E0,9.263336792E0
3.111635833E-1,-3.033441925E0,1.398691406E0,9.385333099E0
3.211935833E-1,-2.930905151E0,1.527573395E0,9.261690216E0
3.312225833E-1,-2.958597565E0,1.470541992E0,9.312135315E0
3.412525833E-1,-2.937341766E0,1.426982574E0,9.551487579E0
3.512815833E-1,-2.677931213E0,1.567689972E0,9.397906952E0
3.613115833E-1,-2.510579224E0,1.670975189E0,9.061257019E0
3.713405833E-1,-2.355052643E0,1.631756744E0,9.138197021E0
3.813705833E-1,-2.226769409E0,1.489103394E0,9.248667297E0
3.913995833E-1,-2.216141510E0,1.463057556E0,9.277257843E0
4.014295833E-1,-2.379751282E0,1.559756470E0,9.315428467E0
4.114585833E-1,-2.527643738E0,1.603016510E0,9.298513641E0
4.214885833E-1,-2.596500549E0,1.607357483E0,9.350755005E0
4.315175833E-1,-2.629581757E0,1.548829193E0,9.433083801E0
4.415475833E-1,-2.630479889E0,1.479223938E0,9.534872131E0
4.515765833E-1,-2.592159576E0,1.434317322E0,9.599387970E0
4.616065833E-1,-2.528242493E0,1.433718567E0,9.533824310E0
4.716355833E-1,-2.451601868E0,1.349892883E0,9.483828278E0
4.816655833E-1,-2.389930115E0,1.193168793E0,9.474697266E0
4.916945833E-1,-2.348616028E0,1.102906494E0,9.483828278E0
5.017245833E-1,-2.323618011E0,1.082249451E0,9.476493530E0
5.117535833E-1,-2.469414825E0,1.071172485E0,9.409133606E0
5.217835833E-1,-2.559976501E0,1.079405365E0,9.313332825E0
5.318125833E-1,-2.543810120E0,1.020428009E0,9.202712860E0
5.418425833E-1,-2.380350037E0,9.163943481E-1,9.080117798E0
5.518715833E-1,-2.259251862E0,7.782316589E-1,9.127419434E0
5.619015833E-1,-2.174378357E0,7.616162109E-1,9.364825745E0
5.719345417E-1,-2.064207458E0,8.807684326E-1,9.651180267E0
5.819645417E-1,-2.063309326E0,1.018182678E0,9.798174591E0
5.919935417E-1,-2.088906097E0,8.634045410E-1,1.015712814E1
6.020235417E-1,-2.517764282E0,9.828561401E-1,1.077354630E1
6.120525417E-1,-2.805615692E0,1.498084717E0,1.089030350E1
6.220825417E-1,-2.611768799E0,1.793270874E0,1.105062012E1
6.321115417E-1,-1.900298309E0,1.609303436E0,1.104732697E1
6.421415417E-1,-1.383273468E0,1.287472687E0,1.105017105E1
6.521705417E-1,-1.213526459E0,1.115480347E0,1.133398087E1
6.622005417E-1,-1.414708099E0,1.266815643E0,1.172481812E1
6.722295417E-1,-1.785487061E0,1.754202118E0,1.172661438E1
6.822595417E-1,-1.765428772E0,2.312391357E0,1.160611496E1
6.922885417E-1,-1.256038055E0,2.531535645E0,1.153216873E1
7.023185417E-1,-6.725514221E-1,2.192790070E0,1.159967834E1
7.123475417E-1,-4.385879517E-1,1.810036011E0,1.135299133E1
7.223775417E-1,-3.106040955E-1,2.023941193E0,1.028226791E1
7.324065417E-1,-8.187973022E-2,2.373164978E0,9.179211731E0
7.424365417E-1,-1.907034302E-1,2.325863342E0,8.551117859E0
7.524665417E-1,-5.516029358E-1,2.033371582E0,8.885372772E0
7.624955417E-1,-9.550140381E-1,1.728305969E0,9.892029419E0
7.725255417E-1,-2.094294891E0,1.381926270E0,1.015817596E1
7.825545417E-1,-3.003504181E0,6.451583862E-1,9.987830200E0
7.925845417E-1,-2.012864227E0,-6.601272583E-2,1.037582336E1
8.026135417E-1,-2.036215668E0,2.086660767E-1,9.509874115E0
8.126435417E-1,-1.572030945E0,6.465055847E-1,9.301657104E0
