"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.278458333E-2,-9.390835166E-1,-1.488779545E0,4.422518983E-2
2.281358333E-2,-1.065712571E0,-1.521043539E0,-2.699625865E-2
3.284358334E-2,-1.001755118E0,-1.401598930E0,-9.038882703E-2
4.287258333E-2,-7.930147052E-1,-1.095408678E0,-1.243880689E-1
5.290258333E-2,-5.173205733E-1,-7.184938788E-1,-1.443285793E-1
6.293158334E-2,-2.545954883E-1,-4.186267257E-1,-1.553836167E-1
7.296158333E-2,-3.778821230E-2,-2.735006213E-1,-1.560857594E-1
8.299158333E-2,1.284130067E-1,-2.096585035E-1,-1.449939609E-1
9.302058334E-2,2.072926462E-1,-1.303777844E-1,-1.231385842E-1
1.030505833E-1,2.149324566E-1,-4.639898613E-2,-1.031084135E-1
1.130795833E-1,1.637690663E-1,-4.566512071E-3,-1.024696082E-1
1.231095833E-1,6.437724084E-2,-3.635613248E-2,-1.225304082E-1
1.331385833E-1,-6.027802825E-2,-1.049253792E-1,-1.299788356E-1
1.431685833E-1,-1.751175225E-1,-1.755606681E-1,-9.823955595E-2
1.531975833E-1,-2.710079849E-1,-2.323765457E-1,-5.478178710E-2
1.632275833E-1,-3.137291074E-1,-2.511728704E-1,1.146993786E-2
1.732565833E-1,-2.865966856E-1,-2.546584904E-1,8.336210251E-2
1.832865833E-1,-2.094771266E-1,-2.284873575E-1,1.350956112E-1
1.933155833E-1,-1.088677868E-1,-1.700365394E-1,1.495061815E-1
2.033455833E-1,-2.307805233E-2,-7.218641043E-2,1.176824793E-1
2.133745833E-1,2.239135094E-2,2.432759479E-2,5.389345810E-2
2.234045833E-1,1.528337412E-2,4.994906858E-2,-1.434205379E-2
2.334335833E-1,-2.810090035E-2,2.275320515E-2,-5.685524270E-2
2.434635833E-1,-8.693838120E-2,-3.171829134E-2,-6.522636116E-2
2.534925833E-1,-1.273754537E-1,-9.433281422E-2,-4.192272946E-2
2.635225833E-1,-1.468175948E-1,-9.735763073E-2,-7.084053941E-3
2.735515833E-1,-1.413781643E-1,-4.843859375E-2,2.813591249E-2
2.835815833E-1,-1.369370818E-1,-1.240989659E-3,4.630319774E-2
2.936105833E-1,-1.620112658E-1,1.849555969E-2,3.241921216E-2
3.036405833E-1,-2.058341056E-1,-1.897596288E-3,1.966053993E-2
3.136695833E-1,-2.593277991E-1,-3.395946696E-2,2.344794385E-2
3.236995833E-1,-3.315335810E-1,-1.128406972E-1,8.306007832E-3
3.337285833E-1,-3.895649910E-1,-2.539447248E-1,-3.379237652E-2
3.437585833E-1,-3.766920567E-1,-3.221115172E-1,-7.760563493E-2
3.537875833E-1,-3.139818609E-1,-2.641090453E-1,-9.871102124E-2
3.638175833E-1,-2.223400623E-1,-2.179474086E-1,-8.008247614E-2
3.738465833E-1,-1.442763954E-1,-2.388896346E-1,-3.184214607E-2
3.838765833E-1,-9.420923889E-2,-2.984282970E-1,2.226982452E-2
3.939055833E-1,-5.166965351E-2,-3.559849858E-1,7.525130361E-2
4.039355833E-1,-1.929759979E-2,-3.680645525E-1,1.094974279E-1
4.139645833E-1,-1.079430431E-2,-3.361529410E-1,1.277811378E-1
4.239945833E-1,-4.691741988E-2,-2.887894213E-1,1.273521036E-1
4.340235833E-1,-1.177227721E-1,-2.541388273E-1,9.934937954E-2
4.440535833E-1,-1.954647005E-1,-2.503424883E-1,6.204834953E-2
4.540825833E-1,-2.658551037E-1,-2.246434540E-1,3.599410132E-2
4.641125833E-1,-3.232800663E-1,-1.983913481E-1,2.313689515E-2
4.741415833E-1,-3.703901172E-1,-1.991162747E-1,8.732733317E-3
4.841715833E-1,-4.242786467E-1,-2.401864827E-1,-9.955999441E-3
4.942005833E-1,-4.686483443E-1,-3.222561479E-1,-1.902861334E-2
5.042305833E-1,-4.842009544E-1,-3.837807477E-1,-1.277684141E-2
5.142595833E-1,-4.708316922E-1,-4.220028520E-1,-3.010137705E-3
5.242895833E-1,-4.199376106E-1,-4.305326939E-1,7.614277303E-3
5.343185833E-1,-3.383427560E-1,-3.951171339E-1,2.040183730E-2
5.443485833E-1,-2.609438300E-1,-3.101401925E-1,2.035203762E-2
5.543775833E-1,-1.942709684E-1,-2.346066833E-1,1.203797059E-3
5.644115417E-1,-1.416168213E-1,-2.056722343E-1,-2.378943749E-2
5.744405417E-1,-1.111222729E-1,-1.828415096E-1,-6.184748933E-2
5.844705417E-1,-1.114642173E-1,-2.277639806E-1,-1.159770340E-1
5.944995417E-1,-1.191637293E-1,-4.427385330E-1,-1.870068312E-1
6.045295417E-1,-1.285641491E-1,-6.305108666E-1,-2.327836305E-1
6.145585417E-1,-1.368252635E-1,-8.059946895E-1,-2.317128032E-1
6.245885417E-1,-1.518564224E-1,-1.022637606E0,-1.722215116E-1
