"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.888906002E-2,5.058257320E1,8.684044798E0,1.658588948E2,NaN,NaN,1.082216612E1,3.000000000E1
2.965509892E-2,5.058257320E1,8.684044798E0,1.682893222E2,NaN,NaN,1.082216612E1,3.000000000E1
5.572509766E-2,5.058257320E1,8.684044798E0,1.682890514E2,NaN,NaN,1.082216612E1,3.000000000E1
1.734692639E0,5.058257320E1,8.684044798E0,1.656668105E2,NaN,NaN,1.082216612E1,3.000000000E1
1.740476674E0,5.058257320E1,8.684044798E0,1.656670813E2,NaN,NaN,1.082216612E1,3.000000000E1
1.757997578E0,5.058257320E1,8.684044798E0,1.656668105E2,NaN,NaN,1.082216612E1,3.000000000E1
4.825293129E0,5.058257378E1,8.684075843E0,1.660286619E2,1.915922046E0,NaN,2.002143640E1,2.461178901E1
5.825283950E0,5.058257240E1,8.684068859E0,1.658252063E2,1.915922046E0,NaN,2.041710169E1,6.613579230E0
6.825275367E0,5.058256734E1,8.684057644E0,1.656235238E2,6.539468765E-1,NaN,2.051684232E1,6.695236719E0
7.747187561E0,5.058257361E1,8.684053933E0,1.656773892E2,6.539468765E-1,NaN,1.457417615E1,3.000000000E1
8.441508597E0,5.058254538E1,8.684059351E0,1.682845137E2,1.165503189E-1,NaN,1.375157068E1,3.000000000E1
9.825250453E0,5.058251343E1,8.684095935E0,1.659024442E2,6.372745037E-1,NaN,1.266009946E1,6.851429944E0
1.082466776E1,5.058251408E1,8.684112884E0,1.659277312E2,6.372745037E-1,NaN,1.135211618E1,6.647597024E0
1.177450711E1,5.058249926E1,8.684128491E0,1.659275202E2,4.830413312E-2,NaN,9.705812783E0,9.142352111E0
1.272476656E1,5.058249265E1,8.684139393E0,1.659350009E2,1.710838974E-1,NaN,9.200055822E0,1.066612112E1
1.367551333E1,5.058249002E1,8.684145840E0,1.659375294E2,1.427692324E-1,NaN,9.445739561E0,8.191089487E0
1.462624854E1,5.058249358E1,8.684143509E0,1.659485001E2,1.818442531E-2,3.518150470E2,1.057511750E1,8.892413258E0
1.557694740E1,5.058249436E1,8.684147777E0,1.659570935E2,2.462394238E-1,2.214017811E2,1.059389846E1,6.433507171E0
1.652760751E1,5.058248625E1,8.684154971E0,1.659723201E2,2.462394238E-1,1.904332832E2,8.521530354E0,1.283733275E1
1.747855741E1,5.058248491E1,8.684154609E0,1.659723202E2,2.462394238E-1,NaN,8.555637753E0,1.283733275E1
1.842913360E1,5.058247350E1,8.684157108E0,1.659806349E2,5.070282221E-1,1.939047837E2,7.549515198E0,8.115372539E0
1.937934799E1,5.058247049E1,8.684154174E0,1.659953400E2,5.070282221E-1,2.103575288E2,6.605269383E0,6.526489614E0
2.032984132E1,5.058246680E1,8.684152170E0,1.659961101E2,2.624658346E-1,NaN,6.154555884E0,1.316284196E1
2.223109454E1,5.058247609E1,8.684137990E0,1.659986706E2,3.285394907E-1,NaN,9.341445231E0,1.328734749E1
2.318150086E1,5.058247473E1,8.684136819E0,1.659932240E2,2.172344178E-1,NaN,1.007957192E1,1.176331481E1
2.413156444E1,5.058247246E1,8.684133737E0,1.659897786E2,2.779403329E-1,NaN,1.030241701E1,1.117998571E1
2.508191044E1,5.058247548E1,8.684123814E0,1.659797397E2,6.738533974E-1,3.321903145E2,8.188928763E0,7.340506504E0
2.603223140E1,5.058247623E1,8.684115629E0,1.659714952E2,6.738533974E-1,3.315595939E2,7.981069014E0,6.889107035E0
2.698253304E1,5.058247565E1,8.684114873E0,1.659547789E2,6.634330153E-1,3.388131508E2,7.999773298E0,6.831671264E0
2.793981928E1,5.058247464E1,8.684106670E0,1.659360176E2,5.788319111E-1,2.895170752E2,6.871413676E0,1.008300174E1
2.894009954E1,5.058246809E1,8.684100020E0,1.659170667E2,4.278547168E-1,NaN,6.187022714E0,7.208168032E0
2.994036180E1,5.058245966E1,8.684094698E0,1.659009707E2,3.698562384E-1,NaN,7.001694272E0,6.806591864E0
3.094060773E1,5.058244391E1,8.684092176E0,1.658906335E2,2.478295714E-1,NaN,7.164218203E0,8.577339425E0
3.194083685E1,5.058241647E1,8.684106228E0,1.658909033E2,3.698562384E-1,NaN,6.443849327E0,6.622624653E0
3.294105322E1,5.058240691E1,8.684106687E0,1.659042186E2,8.075137734E-1,1.573743058E2,6.796642928E0,6.773800818E0
3.394125432E1,5.058239619E1,8.684107659E0,1.659317450E2,7.095511556E-1,1.619477619E2,6.589024988E0,6.646428298E0
3.494144267E1,5.058238451E1,8.684107853E0,1.659573906E2,7.095511556E-1,1.726509786E2,6.628505625E0,6.693074312E0
3.594162006E1,5.058237280E1,8.684109662E0,1.659863503E2,6.969843507E-1,1.598882641E2,6.521636331E0,6.728932626E0
3.694178445E1,5.058235957E1,8.684094480E0,1.660113479E2,6.969843507E-1,1.863790337E2,6.353246709E0,6.603372465E0
3.794193918E1,5.058233459E1,8.684106314E0,1.660594848E2,9.914574386E-1,1.491725499E2,4.968928326E0,3.000000000E0
3.894208378E1,5.058231505E1,8.684111535E0,1.659859316E2,1.138456030E0,1.623975196E2,4.666752657E0,3.000000000E0
3.994221849E1,5.058229062E1,8.684116907E0,1.659583546E2,8.916368691E-1,1.619475330E2,4.914691180E0,3.000000000E0
4.094234509E1,5.058227636E1,8.684133176E0,1.665365223E2,1.365470336E0,1.543964284E2,4.875749820E0,3.000000000E0
4.194246263E1,5.058226483E1,8.684146452E0,1.662949427E2,1.350598406E0,1.494920443E2,4.960859498E0,3.000000000E0
4.294257290E1,5.058225627E1,8.684157629E0,1.666410544E2,1.076668159E0,1.475806938E2,4.931710925E0,3.000000000E0
4.394267661E1,5.058224774E1,8.684166160E0,1.667723467E2,8.867194234E-1,1.471851098E2,4.881195677E0,3.000000000E0
4.494277257E1,5.058224280E1,8.684185494E0,1.664320243E2,9.294495479E-1,1.211169936E2,4.871073854E0,3.000000000E0
4.594286293E1,5.058223409E1,8.684200250E0,1.668499855E2,1.025980907E0,1.314820338E2,4.942563071E0,3.000000000E0
4.694294662E1,5.058221909E1,8.684203045E0,1.664811451E2,1.198915124E0,1.699439857E2,4.804165130E0,3.000000000E0
4.794302542E1,5.058220472E1,8.684190506E0,1.667665892E2,1.262139656E0,1.977355190E2,4.779392664E0,3.000000000E0
4.894309956E1,5.058219026E1,8.684188538E0,1.668449962E2,1.416225103E0,1.978286054E2,4.776263978E0,3.000000000E0
4.994316799E1,5.058217941E1,8.684182446E0,1.671303147E2,1.266530098E0,2.039665460E2,4.853382257E0,3.000000000E0
5.094323153E1,5.058216919E1,8.684161360E0,1.668274378E2,1.635589784E0,2.247081249E2,4.965469918E0,3.000000000E0
5.194329066E1,5.058215520E1,8.684163417E0,1.667559481E2,1.362192101E0,2.041221763E2,5.114493455E0,3.000000000E0
5.294334657E1,5.058213562E1,8.684164301E0,1.678648702E2,1.593275447E0,1.930779930E2,5.197904696E0,3.000000000E0
5.394339794E1,5.058211706E1,8.684159188E0,1.671524580E2,1.686404783E0,1.962438933E2,5.161212856E0,3.000000000E0
5.494344575E1,5.058209716E1,8.684144847E0,1.672950497E2,2.054868937E0,2.049280075E2,5.161437698E0,3.000000000E0
5.594349129E1,5.058208306E1,8.684135017E0,1.668365990E2,1.652429766E0,2.053077913E2,5.057342860E0,3.000000000E0
5.694353265E1,5.058206261E1,8.684128391E0,1.674147486E2,1.751233062E0,2.082086284E2,5.311370628E0,3.000000000E0
5.794357044E1,5.058204145E1,8.684132429E0,1.670515104E2,1.631603978E0,1.983930672E2,5.535961158E0,3.000000000E0
5.894360620E1,5.058202075E1,8.684126868E0,1.674939294E2,1.919334120E0,1.903253910E2,5.479214389E0,3.000000000E0
5.994363994E1,5.058200559E1,8.684130509E0,1.672908052E2,1.705870603E0,1.743494189E2,5.411566966E0,3.000000000E0
6.094367058E1,5.058198874E1,8.684102760E0,1.677355827E2,1.988923808E0,2.011877960E2,5.422053758E0,3.000000000E0
6.194369966E1,5.058197292E1,8.684094757E0,1.675186918E2,1.722126253E0,2.048687960E2,5.350047878E0,3.000000000E0
6.294372696E1,5.058195408E1,8.684086565E0,1.673736181E2,1.719654932E0,2.044096794E2,5.301956059E0,3.000000000E0
6.394375069E1,5.058193517E1,8.684082315E0,1.675557734E2,1.671154300E0,1.994137567E2,5.335685604E0,3.000000000E0
6.494377369E1,5.058191607E1,8.684081129E0,1.673293385E2,1.622585617E0,1.900580508E2,5.479193485E0,3.000000000E0
6.594379515E1,5.058190039E1,8.684069151E0,1.676092253E2,1.633274928E0,1.992392751E2,5.524005744E0,3.000000000E0
6.694381470E1,5.058188778E1,8.684058330E0,1.677145446E2,1.752379545E0,1.974951707E2,5.546524495E0,3.000000000E0
6.794383163E1,5.058187533E1,8.684043484E0,1.676569917E2,1.624300476E0,2.057038754E2,5.542443970E0,3.000000000E0
6.894384856E1,5.058186202E1,8.684026727E0,1.676551721E2,1.578302176E0,2.110737399E2,5.636694909E0,3.000000000E0
6.994386393E1,5.058184489E1,8.684018039E0,1.677121998E2,1.654539171E0,2.070736190E2,5.735244952E0,3.000000000E0
7.094387717E1,5.058183320E1,8.684003275E0,1.677894265E2,1.567865653E0,2.113414202E2,5.905924223E0,3.000000000E0
7.194388956E1,5.058181815E1,8.683986784E0,1.675380437E2,1.658630420E0,2.131182566E2,5.952283825E0,3.000000000E0
7.294390160E1,5.058181026E1,8.683965164E0,1.678803025E2,1.503594397E0,2.228447560E2,5.913091001E0,3.000000000E0
