"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.775087499E-2,3.820968628E0,-3.991470337E1,-2.386831665E1
5.778087499E-2,3.802490234E0,-3.990583801E1,-2.384780884E1
6.781087500E-2,3.803039551E0,-3.989231873E1,-2.379208374E1
7.783987500E-2,3.646179199E0,-3.991915894E1,-2.370516968E1
8.786987500E-2,3.609375000E0,-4.003460693E1,-2.382495117E1
9.789987499E-2,3.516845703E0,-4.003012085E1,-2.401943970E1
1.079298750E-1,3.366577148E0,-3.973980713E1,-2.417062378E1
1.179588750E-1,3.408477783E0,-3.969128418E1,-2.425396729E1
1.279888750E-1,3.446624756E0,-3.989283752E1,-2.466281128E1
1.380188750E-1,3.342086792E0,-3.965287781E1,-2.467291260E1
1.480488750E-1,3.293167114E0,-3.983174133E1,-2.504019165E1
1.580778750E-1,3.277984619E0,-3.978025818E1,-2.466973877E1
1.681078750E-1,3.548248291E0,-3.975508118E1,-2.464343262E1
1.781378750E-1,3.528411865E0,-3.983346558E1,-2.487362671E1
1.881678750E-1,3.156005859E0,-3.991874695E1,-2.499401855E1
1.981968750E-1,3.171371460E0,-3.969209290E1,-2.481027222E1
2.082268750E-1,3.151260376E0,-3.962963867E1,-2.495489502E1
2.182568750E-1,3.093841553E0,-3.958213806E1,-2.466275024E1
2.282868750E-1,3.045272827E0,-3.954992676E1,-2.546707153E1
2.383158750E-1,2.918701172E0,-3.957809448E1,-2.540615845E1
2.483458750E-1,2.937835693E0,-3.971885681E1,-2.510247803E1
2.583758750E-1,2.787811279E0,-3.967300415E1,-2.564996338E1
2.684058750E-1,2.851287842E0,-3.938441467E1,-2.552828979E1
2.784348750E-1,2.826843262E0,-3.936737061E1,-2.562237549E1
2.884648750E-1,2.833953857E0,-3.922566223E1,-2.554681396E1
2.984948750E-1,3.031188965E0,-3.924560547E1,-2.578781128E1
3.085248750E-1,3.075851440E0,-3.955307007E1,-2.574676514E1
3.185538750E-1,3.165832520E0,-3.937207031E1,-2.595706177E1
3.285838750E-1,3.269866943E0,-3.920832825E1,-2.593063354E1
3.386138750E-1,3.316452026E0,-3.901884460E1,-2.576745605E1
3.486438750E-1,3.348648071E0,-3.912249756E1,-2.554138184E1
3.586728750E-1,3.139556885E0,-3.901185608E1,-2.585452271E1
3.687028750E-1,2.999832153E0,-3.883496094E1,-2.534490967E1
3.787328750E-1,3.153289795E0,-3.929296875E1,-2.557504272E1
3.887628750E-1,3.169143677E0,-3.926306152E1,-2.588589478E1
3.987918750E-1,2.830093384E0,-3.913330078E1,-2.566616821E1
4.088218750E-1,2.821746826E0,-3.938531494E1,-2.614538574E1
4.188518750E-1,2.873596191E0,-3.939813232E1,-2.612994385E1
4.288818750E-1,2.839050293E0,-3.938134766E1,-2.597946167E1
4.389108750E-1,2.956466675E0,-3.958314514E1,-2.593914795E1
4.489408750E-1,3.192718506E0,-3.923075867E1,-2.564410400E1
4.589708750E-1,3.180541992E0,-3.940060425E1,-2.618832397E1
4.690008750E-1,2.927001953E0,-3.939237976E1,-2.584341431E1
4.790298750E-1,3.119354248E0,-3.924403381E1,-2.609365845E1
4.890598750E-1,3.074340820E0,-3.911663818E1,-2.566491699E1
4.990898750E-1,2.941390991E0,-3.914793396E1,-2.612283325E1
5.091198750E-1,2.902191162E0,-3.938481140E1,-2.609869385E1
5.191498750E-1,2.973297119E0,-3.931716919E1,-2.633129883E1
5.291788750E-1,2.821228027E0,-3.917132568E1,-2.604058838E1
5.392088750E-1,2.751922607E0,-3.904827881E1,-2.563638306E1
5.492388750E-1,2.890762329E0,-3.918760681E1,-2.619107056E1
5.592688750E-1,3.064758301E0,-3.925439453E1,-2.605871582E1
5.692978750E-1,3.144088745E0,-3.920663452E1,-2.635937500E1
5.793278750E-1,2.942977905E0,-3.880841064E1,-2.616287231E1
5.893578750E-1,2.480117798E0,-3.865481567E1,-2.629071045E1
5.993878750E-1,2.393371582E0,-3.851290894E1,-2.664981079E1
6.094168750E-1,2.620788574E0,-3.871429443E1,-2.693313599E1
6.194468750E-1,2.638946533E0,-3.896705627E1,-2.674462891E1
6.294768750E-1,2.687683105E0,-3.887049866E1,-2.659234619E1
6.395068750E-1,2.815902710E0,-3.884289551E1,-2.625619507E1
6.495358750E-1,2.689987183E0,-3.892489624E1,-2.667318726E1
6.595658750E-1,2.600021362E0,-3.889193726E1,-2.668362427E1
6.695958750E-1,2.688217163E0,-3.883833313E1,-2.658969116E1
6.796258750E-1,2.816925049E0,-3.901098633E1,-2.659832764E1
6.896548750E-1,2.798965454E0,-3.877151489E1,-2.671551514E1
6.996848750E-1,2.779968262E0,-3.875111389E1,-2.689346313E1
7.097148750E-1,2.769882202E0,-3.876846313E1,-2.695684814E1
7.197448750E-1,2.783340454E0,-3.893234253E1,-2.693853760E1
7.297738750E-1,2.673858643E0,-3.901275635E1,-2.705947876E1
7.398038750E-1,2.571731567E0,-3.887408447E1,-2.719335938E1
7.498338750E-1,2.489135742E0,-3.884710693E1,-2.688092041E1
7.598638750E-1,2.766250610E0,-3.898190308E1,-2.723458862E1
7.698928750E-1,2.687286377E0,-3.899140930E1,-2.718829346E1
7.799228750E-1,2.696258545E0,-3.866969299E1,-2.687091064E1
7.899528750E-1,2.400131226E0,-3.844931030E1,-2.670269775E1
7.999828750E-1,2.168441772E0,-3.804432678E1,-2.705422974E1
8.100128750E-1,1.839569092E0,-3.820497131E1,-2.721972656E1
8.200418750E-1,1.311798096E0,-3.806776428E1,-2.746112061E1
8.300718750E-1,7.867889404E-1,-3.802288818E1,-2.833819580E1
8.401018750E-1,9.375000000E-2,-3.742436218E1,-2.873754883E1
8.501318750E-1,-4.266204834E-1,-3.684724426E1,-2.908892822E1
8.601608750E-1,-1.565597534E0,-3.628112793E1,-3.024792480E1
8.701908750E-1,-2.578491211E0,-3.568966675E1,-3.145468140E1
8.802208750E-1,-3.584472656E0,-3.474880981E1,-3.212176514E1
8.902508750E-1,-4.842269897E0,-3.426820374E1,-3.274673462E1
9.002798750E-1,-5.838119507E0,-3.382844543E1,-3.301809692E1
9.103098750E-1,-6.850570679E0,-3.341972351E1,-3.315725708E1
9.203398750E-1,-7.054901123E0,-3.297375488E1,-3.356420898E1
9.303698750E-1,-7.592834473E0,-3.270265198E1,-3.371145630E1
9.403988750E-1,-7.843399048E0,-3.285336304E1,-3.318307495E1
9.504288750E-1,-8.234558105E0,-3.274649048E1,-3.307559204E1
9.604588750E-1,-8.311050415E0,-3.326541138E1,-3.294757080E1
9.704888750E-1,-8.559951782E0,-3.361842346E1,-3.257296753E1
9.805178750E-1,-8.986846924E0,-3.386351013E1,-3.171572876E1
9.905478750E-1,-9.262283325E0,-3.424171448E1,-3.123788452E1
1.000577875E0,-9.707992554E0,-3.449363708E1,-3.071899414E1
1.010607875E0,-9.869430542E0,-3.490028381E1,-3.058847046E1
1.020636875E0,-1.035765076E1,-3.487603760E1,-2.990585327E1
1.030663792E0,-1.071022034E1,-3.481370544E1,-3.002578735E1
1.040693792E0,-1.095524597E1,-3.484417725E1,-3.001202393E1
1.050723792E0,-1.110139465E1,-3.500494385E1,-2.933001709E1
1.060753792E0,-1.109474182E1,-3.544866943E1,-2.908312988E1
1.070782792E0,-1.132745361E1,-3.554714966E1,-2.862075806E1
1.080812792E0,-1.136538696E1,-3.582800293E1,-2.807870483E1
1.090842792E0,-1.153092957E1,-3.632528687E1,-2.713076782E1
1.100872792E0,-1.188879395E1,-3.648719788E1,-2.713644409E1
1.110901792E0,-1.180369568E1,-3.676893616E1,-2.704357910E1
1.120931792E0,-1.176808167E1,-3.691181946E1,-2.690621948E1
1.130961792E0,-1.169262695E1,-3.695869446E1,-2.671548462E1
1.140991792E0,-1.134619141E1,-3.668721008E1,-2.663208008E1
1.151020792E0,-1.113162231E1,-3.665069580E1,-2.674288940E1
1.161050792E0,-1.084197998E1,-3.683447266E1,-2.648205566E1
1.171080792E0,-1.090812683E1,-3.697203064E1,-2.665829468E1
1.181110792E0,-1.082159424E1,-3.687451172E1,-2.743298340E1
1.191139792E0,-1.083706665E1,-3.667932129E1,-2.736483765E1
1.201169792E0,-1.038359070E1,-3.645846558E1,-2.738833618E1
1.211199792E0,-1.015556335E1,-3.679010010E1,-2.768890381E1
1.221229792E0,-1.016201782E1,-3.688819885E1,-2.758282471E1
1.231259792E0,-9.770523071E0,-3.688250732E1,-2.727783203E1
1.241288792E0,-9.758148193E0,-3.678894043E1,-2.760931396E1
1.251318792E0,-9.600158691E0,-3.691966248E1,-2.749807739E1
1.261348792E0,-9.355209351E0,-3.698890686E1,-2.786380005E1
1.271378792E0,-9.270034790E0,-3.711726379E1,-2.751718140E1
1.281407792E0,-9.350677490E0,-3.698602295E1,-2.737777710E1
1.291437792E0,-9.387435913E0,-3.695056152E1,-2.724511719E1
1.301467792E0,-9.274108887E0,-3.694355774E1,-2.704937744E1
1.311497792E0,-8.989425659E0,-3.728465271E1,-2.714163208E1
1.321526792E0,-9.049301147E0,-3.712059021E1,-2.690884399E1
1.331556792E0,-8.960937500E0,-3.709678650E1,-2.668557739E1
1.341586792E0,-9.212432861E0,-3.734251404E1,-2.709130859E1
1.351616792E0,-9.340270996E0,-3.723461914E1,-2.711276245E1
1.361646792E0,-8.982086182E0,-3.723095703E1,-2.712945557E1
1.371675792E0,-9.046478271E0,-3.717021179E1,-2.717895508E1
1.381705792E0,-9.338485718E0,-3.705865479E1,-2.727203369E1
1.391735792E0,-9.418594360E0,-3.683222961E1,-2.741085815E1
1.401765792E0,-9.411041260E0,-3.705163574E1,-2.765051270E1
1.411794792E0,-9.112808228E0,-3.687109375E1,-2.745495605E1
1.421824792E0,-9.358795166E0,-3.677836609E1,-2.755749512E1
1.431854792E0,-9.769042969E0,-3.669757080E1,-2.784933472E1
1.441884792E0,-9.624420166E0,-3.693318176E1,-2.782910156E1
1.451913792E0,-9.714630127E0,-3.696891785E1,-2.770993042E1
1.461943792E0,-9.934432983E0,-3.700755310E1,-2.807614136E1
1.471973792E0,-9.797348022E0,-3.712063599E1,-2.828750610E1
1.482003792E0,-9.911254883E0,-3.668424988E1,-2.791763306E1
1.492033792E0,-9.913192749E0,-3.653594971E1,-2.797286987E1
1.502062792E0,-9.927490234E0,-3.651502991E1,-2.815115356E1
1.512092792E0,-9.782455444E0,-3.656037903E1,-2.833456421E1
1.522122792E0,-9.664474487E0,-3.658518982E1,-2.830068970E1
1.532152792E0,-9.404113770E0,-3.668157959E1,-2.829708862E1
1.542181792E0,-9.637939453E0,-3.643988037E1,-2.842831421E1
1.552211792E0,-9.798599243E0,-3.620056152E1,-2.826272583E1
1.562241792E0,-9.699859619E0,-3.664302063E1,-2.793997192E1
1.572271792E0,-9.613128662E0,-3.631872559E1,-2.851962280E1
1.582300792E0,-9.529159546E0,-3.621351624E1,-2.861193848E1
1.592330792E0,-9.355316162E0,-3.616786194E1,-2.863702393E1
1.602360792E0,-9.555709839E0,-3.612773132E1,-2.817950439E1
1.612390792E0,-9.426132202E0,-3.610324097E1,-2.847293091E1
1.622420792E0,-9.256698608E0,-3.632435608E1,-2.801113892E1
1.632449792E0,-9.438095093E0,-3.627282715E1,-2.791931152E1
1.642479792E0,-9.385574341E0,-3.629359436E1,-2.818707275E1
1.652509792E0,-9.295516968E0,-3.630519104E1,-2.830477905E1
1.662539792E0,-9.153686523E0,-3.621443176E1,-2.821237183E1
1.672568792E0,-9.222213745E0,-3.609384155E1,-2.830966187E1
1.682598792E0,-9.238555908E0,-3.637286377E1,-2.844348145E1
1.692628792E0,-9.285675049E0,-3.652319336E1,-2.838482666E1
1.702658792E0,-8.970352173E0,-3.651995850E1,-2.824609375E1
1.712688792E0,-9.314285278E0,-3.641949463E1,-2.783169556E1
1.735247750E0,2.432449341E0,-4.223918152E1,-2.197515869E1
1.745276750E0,2.346801758E0,-4.222808838E1,-2.192196655E1
