"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.011079166E-2,3.729068756E1,-2.784919739E1,-3.140478516E1
2.014079167E-2,3.713210297E1,-2.801184082E1,-3.166061401E1
3.017079167E-2,3.707744598E1,-2.802995300E1,-3.183398438E1
4.020079166E-2,3.670880127E1,-2.793072510E1,-3.224478149E1
5.023079167E-2,3.628849792E1,-2.767764282E1,-3.255273438E1
6.026179167E-2,3.597750854E1,-2.764163208E1,-3.301016235E1
7.029179166E-2,3.585860443E1,-2.744992065E1,-3.344927979E1
8.032179167E-2,3.568483353E1,-2.743067932E1,-3.365582275E1
9.035179167E-2,3.550692749E1,-2.706759644E1,-3.421896362E1
1.003817917E-1,3.560906219E1,-2.717404175E1,-3.433645630E1
1.104117917E-1,3.564544678E1,-2.708338928E1,-3.441345215E1
1.204427917E-1,3.563486481E1,-2.709194946E1,-3.477026367E1
1.304727917E-1,3.549396133E1,-2.694224548E1,-3.477053833E1
1.405027917E-1,3.546189117E1,-2.673675537E1,-3.491217041E1
1.505327917E-1,3.554969025E1,-2.674053955E1,-3.501376343E1
1.605627917E-1,3.525381088E1,-2.647843933E1,-3.551101685E1
1.705927917E-1,3.534033966E1,-2.634323120E1,-3.513085938E1
1.806237917E-1,3.527141571E1,-2.630143738E1,-3.539648438E1
1.906537917E-1,3.546235657E1,-2.621655273E1,-3.526165771E1
2.006837917E-1,3.530231094E1,-2.615647888E1,-3.537536621E1
2.107137917E-1,3.547754669E1,-2.598500061E1,-3.545239258E1
2.207437917E-1,3.539530563E1,-2.589469910E1,-3.511712646E1
2.307737917E-1,3.554518890E1,-2.589807129E1,-3.525207520E1
2.408047917E-1,3.553551865E1,-2.600184631E1,-3.556173706E1
2.508347917E-1,3.538545227E1,-2.562403870E1,-3.544760132E1
2.608647917E-1,3.536880112E1,-2.550990295E1,-3.560089111E1
2.708947917E-1,3.510203171E1,-2.509744263E1,-3.606024170E1
2.809247917E-1,3.502346802E1,-2.518521118E1,-3.629873657E1
2.909557917E-1,3.487503815E1,-2.506912231E1,-3.657733154E1
3.009857917E-1,3.477847672E1,-2.510063171E1,-3.671932983E1
3.110157917E-1,3.472650909E1,-2.495524597E1,-3.716516113E1
3.210457917E-1,3.453583908E1,-2.485244751E1,-3.701132202E1
3.310757917E-1,3.460824203E1,-2.508670044E1,-3.712588501E1
3.411057917E-1,3.471133041E1,-2.485371399E1,-3.652395630E1
3.511367917E-1,3.453742599E1,-2.491441345E1,-3.663864136E1
3.611667917E-1,3.474211884E1,-2.485704041E1,-3.691702271E1
3.711967917E-1,3.477748489E1,-2.490867615E1,-3.698135376E1
3.812267917E-1,3.476115799E1,-2.493389893E1,-3.689294434E1
3.912567917E-1,3.470917892E1,-2.491435242E1,-3.666397095E1
4.012867917E-1,3.466009903E1,-2.503207397E1,-3.665365601E1
4.113177917E-1,3.456913757E1,-2.510693359E1,-3.684820557E1
4.213477917E-1,3.478750610E1,-2.494033813E1,-3.670507812E1
4.313777917E-1,3.479314423E1,-2.480899048E1,-3.679632568E1
4.414077917E-1,3.497461319E1,-2.461145020E1,-3.701870728E1
4.514377917E-1,3.481658554E1,-2.498701477E1,-3.681283569E1
4.614687917E-1,3.460529327E1,-2.505459595E1,-3.672665405E1
4.714987917E-1,3.467252350E1,-2.521301270E1,-3.657351685E1
4.815287917E-1,3.494949341E1,-2.550956726E1,-3.666250610E1
4.915587917E-1,3.489813995E1,-2.493644714E1,-3.668304443E1
5.015887917E-1,3.510239029E1,-2.487049866E1,-3.677145386E1
5.116187917E-1,3.514879608E1,-2.473670959E1,-3.690307617E1
5.216497917E-1,3.519697952E1,-2.475924683E1,-3.716339111E1
5.316797917E-1,3.504245377E1,-2.452980042E1,-3.753985596E1
5.417088750E-1,3.511667252E1,-2.461518860E1,-3.721420288E1
5.517388750E-1,3.507107925E1,-2.435519409E1,-3.735794067E1
5.617688750E-1,3.503393555E1,-2.436523438E1,-3.672613525E1
5.717998750E-1,3.486568069E1,-2.432269287E1,-3.768994141E1
5.818298750E-1,3.479475021E1,-2.424501038E1,-3.801730347E1
5.918598750E-1,3.464263153E1,-2.421385193E1,-3.779992676E1
6.018898750E-1,3.461042023E1,-2.442718506E1,-3.750387573E1
6.119198750E-1,3.473049545E1,-2.462167358E1,-3.778060913E1
6.219498750E-1,3.485766220E1,-2.443708801E1,-3.740994263E1
6.319808750E-1,3.486502838E1,-2.451869202E1,-3.730761719E1
6.420108750E-1,3.473477936E1,-2.467500305E1,-3.727560425E1
6.520408750E-1,3.467058182E1,-2.469305420E1,-3.732995605E1
6.620708750E-1,3.454219055E1,-2.448464966E1,-3.691226196E1
6.721008750E-1,3.442390060E1,-2.456283569E1,-3.728271484E1
6.821318750E-1,3.460232162E1,-2.445564270E1,-3.727276611E1
6.921618750E-1,3.462281799E1,-2.447215271E1,-3.802371216E1
7.021918750E-1,3.448630905E1,-2.493766785E1,-3.776190186E1
7.122218750E-1,3.436762619E1,-2.488275146E1,-3.773660278E1
7.222518750E-1,3.452600479E1,-2.497525024E1,-3.745724487E1
7.322818750E-1,3.465570068E1,-2.474768066E1,-3.734466553E1
7.423128750E-1,3.470571136E1,-2.466990662E1,-3.710519409E1
7.523428750E-1,3.461111832E1,-2.477407837E1,-3.728768921E1
7.623728750E-1,3.453305054E1,-2.470701599E1,-3.719238281E1
7.724028750E-1,3.465414810E1,-2.476284790E1,-3.731176758E1
7.824328750E-1,3.466033936E1,-2.497378540E1,-3.772592163E1
7.924638750E-1,3.435082245E1,-2.488439941E1,-3.743890381E1
8.024938750E-1,3.453252029E1,-2.499952698E1,-3.700875854E1
8.125238750E-1,3.459833527E1,-2.501921082E1,-3.683285522E1
8.225538750E-1,3.475160599E1,-2.511312866E1,-3.720318604E1
8.325838750E-1,3.441889954E1,-2.514060974E1,-3.712277222E1
8.426138750E-1,3.469020081E1,-2.502732849E1,-3.701779175E1
8.526448750E-1,3.449002838E1,-2.518328857E1,-3.705111694E1
8.626748750E-1,3.444105911E1,-2.534736633E1,-3.717523193E1
8.727048750E-1,3.478098679E1,-2.528598022E1,-3.712603760E1
8.827348750E-1,3.474450302E1,-2.528733826E1,-3.704837036E1
8.927648750E-1,3.481383896E1,-2.501193237E1,-3.719186401E1
9.027958750E-1,3.471255875E1,-2.530895996E1,-3.718646240E1
9.128258750E-1,3.469050980E1,-2.501358032E1,-3.674887085E1
9.228558750E-1,3.475751495E1,-2.516642761E1,-3.668814087E1
9.328858750E-1,3.477825546E1,-2.511860657E1,-3.646353149E1
9.429158750E-1,3.495813751E1,-2.509730530E1,-3.672348022E1
9.529468750E-1,3.499940109E1,-2.515466309E1,-3.674075317E1
9.629768750E-1,3.490200424E1,-2.523606873E1,-3.672039795E1
9.730068750E-1,3.477892303E1,-2.505053711E1,-3.707424927E1
9.830368750E-1,3.469454193E1,-2.508613586E1,-3.685922241E1
9.930668750E-1,3.477109528E1,-2.507572937E1,-3.686108398E1
1.003097875E0,3.484259415E1,-2.480899048E1,-3.669076538E1
1.013127875E0,3.488734055E1,-2.511355591E1,-3.665591431E1
1.023157875E0,3.487580872E1,-2.500042725E1,-3.641662598E1
1.033187875E0,3.504300308E1,-2.515556335E1,-3.679415894E1
1.043217875E0,3.486293411E1,-2.492561340E1,-3.640908813E1
1.053247875E0,3.481529999E1,-2.492152405E1,-3.680792236E1
1.063278875E0,3.478380585E1,-2.484338379E1,-3.645407104E1
1.073308875E0,3.464164734E1,-2.483528137E1,-3.658285522E1
1.083338875E0,3.471263885E1,-2.474266052E1,-3.645394897E1
1.093368875E0,3.478888702E1,-2.478372192E1,-3.676727295E1
1.103398875E0,3.495287704E1,-2.488131714E1,-3.688806152E1
1.113429875E0,3.443678665E1,-2.484756470E1,-3.687951660E1
1.123459875E0,3.464498901E1,-2.514448547E1,-3.722293091E1
1.133489875E0,3.458153915E1,-2.491230774E1,-3.695114136E1
1.143519875E0,3.456465912E1,-2.495301819E1,-3.725140381E1
1.153549875E0,3.454253387E1,-2.472831726E1,-3.719680786E1
1.163580875E0,3.449372864E1,-2.441940308E1,-3.733187866E1
1.173610875E0,3.459398651E1,-2.491413879E1,-3.770343018E1
1.183640875E0,3.465148163E1,-2.471066284E1,-3.779486084E1
1.193670875E0,3.460176849E1,-2.468237305E1,-3.781405640E1
1.203700875E0,3.478581238E1,-2.458663940E1,-3.753002930E1
1.213730875E0,3.468191910E1,-2.469755554E1,-3.747790527E1
1.223761875E0,3.479805756E1,-2.437214661E1,-3.777380371E1
1.233791875E0,3.507249832E1,-2.425248718E1,-3.751095581E1
1.243821875E0,3.519449997E1,-2.437922668E1,-3.719915771E1
1.253851875E0,3.535894775E1,-2.429147339E1,-3.734970093E1
1.263881875E0,3.544326782E1,-2.447705078E1,-3.729757690E1
1.273912875E0,3.554652786E1,-2.462954712E1,-3.721206665E1
1.283942875E0,3.555797195E1,-2.470692444E1,-3.690679932E1
1.293972875E0,3.546532059E1,-2.472416687E1,-3.687667847E1
1.304002875E0,3.534452820E1,-2.492654419E1,-3.654092407E1
1.314032875E0,3.546485901E1,-2.467680359E1,-3.668441772E1
1.324063875E0,3.538470840E1,-2.517623901E1,-3.684536743E1
1.334093875E0,3.534407043E1,-2.542012024E1,-3.634277344E1
1.344123875E0,3.527480316E1,-2.547872925E1,-3.633355713E1
1.354153875E0,3.530461502E1,-2.534968567E1,-3.613113403E1
1.364183875E0,3.550372696E1,-2.546485901E1,-3.622372437E1
1.374214875E0,3.547224808E1,-2.540361023E1,-3.591827393E1
1.384244875E0,3.549183273E1,-2.566902161E1,-3.592117310E1
1.394274875E0,3.583160019E1,-2.584757996E1,-3.607589722E1
1.404304875E0,3.568381500E1,-2.553906250E1,-3.615432739E1
1.414334875E0,3.580191422E1,-2.552702332E1,-3.609597778E1
1.424365875E0,3.568459320E1,-2.580679321E1,-3.550421143E1
1.434395875E0,3.581300735E1,-2.592095947E1,-3.555902100E1
1.444425875E0,3.599605942E1,-2.570742798E1,-3.535003662E1
1.454455875E0,3.596166992E1,-2.585362244E1,-3.527529907E1
1.464485875E0,3.631122589E1,-2.597810364E1,-3.539508057E1
1.474515875E0,3.643073273E1,-2.593743896E1,-3.467376709E1
1.484546875E0,3.647688675E1,-2.584379578E1,-3.445562744E1
1.494576875E0,3.657727432E1,-2.582742310E1,-3.458404541E1
1.504606875E0,3.685223007E1,-2.577262878E1,-3.453186035E1
1.514636875E0,3.714353180E1,-2.561985779E1,-3.458660889E1
1.524666875E0,3.712316132E1,-2.564834595E1,-3.423345947E1
1.534697875E0,3.739978409E1,-2.586296082E1,-3.421331787E1
1.544728750E0,3.753180313E1,-2.567700195E1,-3.396929932E1
1.554758750E0,3.767675781E1,-2.582200623E1,-3.370034790E1
1.564788750E0,3.761817551E1,-2.615884399E1,-3.398126221E1
1.574818750E0,3.786808395E1,-2.583978271E1,-3.370422363E1
1.584849750E0,3.781012726E1,-2.589819336E1,-3.373825073E1
1.594879750E0,3.789651489E1,-2.572816467E1,-3.370458984E1
1.604909750E0,3.787193680E1,-2.548362732E1,-3.338732910E1
1.614939750E0,3.803197861E1,-2.535919189E1,-3.352691650E1
1.624969750E0,3.782291412E1,-2.525611877E1,-3.337713623E1
1.635000750E0,3.792966080E1,-2.542266846E1,-3.365869141E1
1.645030750E0,3.763949585E1,-2.569650269E1,-3.390255737E1
1.655060750E0,3.764067841E1,-2.542240906E1,-3.391802979E1
1.665090750E0,3.753590775E1,-2.543608093E1,-3.400347900E1
1.675120750E0,3.735627747E1,-2.548985291E1,-3.400976562E1
1.685151750E0,3.714689255E1,-2.537380981E1,-3.396868896E1
1.695181750E0,3.724246979E1,-2.556886292E1,-3.399310303E1
1.705211750E0,3.718954849E1,-2.519821167E1,-3.404867554E1
1.715241750E0,3.702432632E1,-2.514695740E1,-3.413803101E1
1.725271750E0,3.700203705E1,-2.504264832E1,-3.395196533E1
1.735302750E0,3.679352951E1,-2.522731018E1,-3.399182129E1
1.745332750E0,3.662171936E1,-2.536294556E1,-3.438836670E1
1.755362750E0,3.652220535E1,-2.543693542E1,-3.455801392E1
1.765392750E0,3.682890320E1,-2.560751343E1,-3.478674316E1
1.775422750E0,3.679346466E1,-2.562942505E1,-3.486071777E1
1.785453750E0,3.663840485E1,-2.583250427E1,-3.452545166E1
1.795483750E0,3.643473434E1,-2.562272644E1,-3.493252563E1
1.805513750E0,3.635422516E1,-2.565248108E1,-3.473855591E1
1.815543750E0,3.642272186E1,-2.561611938E1,-3.507400513E1
1.825573750E0,3.649758530E1,-2.544696045E1,-3.471118164E1
1.835604750E0,3.632744598E1,-2.554992676E1,-3.512115479E1
1.845634750E0,3.602815247E1,-2.549380493E1,-3.490917969E1
1.855664750E0,3.601082230E1,-2.555607605E1,-3.525595093E1
1.865694750E0,3.607505417E1,-2.567863464E1,-3.534902954E1
1.875724750E0,3.600523376E1,-2.595335388E1,-3.528097534E1
1.885755750E0,3.606070328E1,-2.567425537E1,-3.547872925E1
1.895785750E0,3.573856354E1,-2.541131592E1,-3.555569458E1
1.905815750E0,3.585055161E1,-2.570874023E1,-3.549826050E1
1.915845750E0,3.591708374E1,-2.539567566E1,-3.554199219E1
1.925875750E0,3.589740753E1,-2.510194397E1,-3.599450684E1
1.935906750E0,3.599057388E1,-2.505830383E1,-3.596600342E1
1.945936750E0,3.580913162E1,-2.512225342E1,-3.635150146E1
1.955966750E0,3.584397888E1,-2.516802979E1,-3.623403931E1
1.965996750E0,3.580239487E1,-2.512506104E1,-3.648455811E1
1.976026750E0,3.571355820E1,-2.477017212E1,-3.664700317E1
1.986057750E0,3.582996368E1,-2.464231873E1,-3.710000610E1
1.996087750E0,3.565439224E1,-2.432295227E1,-3.756692505E1
2.006117750E0,3.539368820E1,-2.422871399E1,-3.738284302E1
2.016147750E0,3.520169449E1,-2.410005188E1,-3.702133179E1
2.026177750E0,3.532191467E1,-2.366345215E1,-3.740225220E1
2.036208750E0,3.519908142E1,-2.324340820E1,-3.740643311E1
2.046238750E0,3.547900391E1,-2.348699951E1,-3.739395142E1
2.056268750E0,3.552628708E1,-2.305706787E1,-3.787701416E1
2.066298750E0,3.553522491E1,-2.304248047E1,-3.800909424E1
2.076328750E0,3.557807922E1,-2.264695740E1,-3.812927246E1
2.086359750E0,3.544662476E1,-2.228594971E1,-3.840036011E1
2.096389750E0,3.528516006E1,-2.209783936E1,-3.862966919E1
2.106419750E0,3.510190582E1,-2.199655151E1,-3.923791504E1
2.116449750E0,3.493705368E1,-2.208265686E1,-3.985565186E1
2.126479750E0,3.436876297E1,-2.187203979E1,-4.015960693E1
2.136510750E0,3.350703430E1,-2.208137512E1,-4.022741699E1
2.146540750E0,3.307461548E1,-2.214283752E1,-4.052560425E1
2.156570750E0,3.299828720E1,-2.258049011E1,-4.040838623E1
2.166600750E0,3.314746094E1,-2.285655212E1,-4.009606934E1
2.176630750E0,3.314759827E1,-2.361880493E1,-3.989007568E1
2.186661750E0,3.295058060E1,-2.392700195E1,-3.932553101E1
2.196691750E0,3.310145187E1,-2.410818481E1,-3.919210815E1
2.206721750E0,3.324729919E1,-2.453544617E1,-3.884811401E1
2.216751750E0,3.315507507E1,-2.473985291E1,-3.886447144E1
2.226781750E0,3.319691086E1,-2.515173340E1,-3.881396484E1
2.236812750E0,3.307779312E1,-2.534536743E1,-3.861853027E1
2.246842750E0,3.299375534E1,-2.528987122E1,-3.836453247E1
2.256872750E0,3.275189972E1,-2.530320740E1,-3.836816406E1
2.266902750E0,3.280734253E1,-2.521163940E1,-3.855682373E1
2.276932750E0,3.273161316E1,-2.523672485E1,-3.861978149E1
2.286963750E0,3.263500214E1,-2.512643433E1,-3.822512817E1
2.296993750E0,3.259774399E1,-2.514425659E1,-3.842413330E1
2.307023750E0,3.261554337E1,-2.538064575E1,-3.883026123E1
2.317053750E0,3.232979965E1,-2.540048218E1,-3.953109741E1
2.327084750E0,3.224381256E1,-2.502687073E1,-3.951330566E1
2.337114750E0,3.236408615E1,-2.492398071E1,-3.917123413E1
2.347144750E0,3.245137787E1,-2.489628601E1,-3.870962524E1
2.357174750E0,3.253103256E1,-2.508848572E1,-3.884509277E1
2.367204750E0,3.237136078E1,-2.527853394E1,-3.894869995E1
2.377235750E0,3.261854172E1,-2.552828979E1,-3.902590942E1
2.387265750E0,3.237794113E1,-2.532569885E1,-3.872494507E1
2.397295750E0,3.285754395E1,-2.537734985E1,-3.876565552E1
2.407325750E0,3.275834656E1,-2.541061401E1,-3.877249146E1
2.417355750E0,3.279089355E1,-2.529791260E1,-3.864395142E1
2.427386750E0,3.267303848E1,-2.502836609E1,-3.881994629E1
2.437416750E0,3.264767075E1,-2.503286743E1,-3.899517822E1
2.447446750E0,3.269221497E1,-2.495138550E1,-3.916305542E1
2.457476750E0,3.253353500E1,-2.492987061E1,-3.964547729E1
2.467506750E0,3.248614502E1,-2.487503052E1,-3.955239868E1
2.477537750E0,3.264982605E1,-2.493708801E1,-3.966708374E1
2.487567750E0,3.248982620E1,-2.475610352E1,-3.933889771E1
2.497597750E0,3.277677917E1,-2.460206604E1,-3.945968628E1
2.507627750E0,3.279920578E1,-2.441423035E1,-3.960546875E1
2.517658750E0,3.277119446E1,-2.443386841E1,-3.940209961E1
2.527688750E0,3.250237274E1,-2.451644897E1,-3.976049805E1
2.537722542E0,3.226560593E1,-2.423355103E1,-4.036462402E1
2.547752542E0,3.215055847E1,-2.410536194E1,-4.039141846E1
2.557782542E0,3.179615402E1,-2.389152527E1,-4.075067139E1
2.567813542E0,3.153796768E1,-2.378071594E1,-4.058831787E1
2.577843542E0,3.159741974E1,-2.369409180E1,-4.093286133E1
2.587873542E0,3.168400574E1,-2.400459290E1,-4.079913330E1
2.597903542E0,3.182910538E1,-2.408839417E1,-4.028860474E1
2.607933542E0,3.182510376E1,-2.405981445E1,-4.016552734E1
2.617964542E0,3.197643661E1,-2.433270264E1,-4.012399292E1
2.627994542E0,3.194239807E1,-2.398907471E1,-4.057254028E1
2.638024542E0,3.200709152E1,-2.339790344E1,-4.042562866E1
2.648054542E0,3.204082108E1,-2.282571411E1,-4.077032471E1
2.658085542E0,3.207663727E1,-2.196456909E1,-4.121789551E1
2.668115542E0,3.205178070E1,-2.155935669E1,-4.172711182E1
2.678145542E0,3.172997665E1,-2.101660156E1,-4.255511475E1
2.688175542E0,3.104853058E1,-2.016404724E1,-4.280209351E1
