"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.689141035E-1,5.058420756E1,8.700990252E0,1.796419434E2,0.000000000E0,NaN,4.743070569E0,3.365682488E0
1.768898726E0,5.058420615E1,8.700989522E0,1.792947906E2,4.250282628E-1,NaN,4.752987153E0,3.351663789E0
2.768882990E0,5.058421667E1,8.701001138E0,1.784498533E2,6.200020862E-1,3.474943883E1,4.763453174E0,3.336772527E0
3.768867970E0,5.058423884E1,8.701032736E0,1.782974037E2,2.079460071E0,4.031973532E1,4.770275846E0,3.327011480E0
4.768852949E0,5.058425964E1,8.701052633E0,1.783639003E2,2.348143557E0,3.670135390E1,4.775731803E0,3.319175015E0
5.768837929E0,5.058428324E1,8.701074127E0,1.784611097E2,2.561863073E0,3.458238866E1,4.779348363E0,3.313965338E0
6.768823981E0,5.058431264E1,8.701086055E0,1.783729890E2,2.559073216E0,2.729096684E1,4.782545607E0,3.309349566E0
7.768807292E0,5.058432588E1,8.701100312E0,1.782715628E2,2.407186710E0,2.890896394E1,4.777532417E0,3.316582734E0
8.768792748E0,5.058435043E1,8.701110622E0,1.781832214E2,2.622859974E0,2.063098733E1,4.774154613E0,3.321443175E0
9.768777966E0,5.058437741E1,8.701113103E0,1.786952397E2,2.750633891E0,1.236088432E1,4.773357315E0,3.322588896E0
1.076876402E1,5.058439794E1,8.701119350E0,1.783189410E2,2.543068442E0,1.435637619E1,4.772713405E0,3.323513770E0
1.176874888E1,5.058442281E1,8.701121607E0,1.782731352E2,2.620393801E0,1.046512315E1,4.772225370E0,3.324214501E0
1.276873410E1,5.058444574E1,8.701121560E0,1.785192814E2,2.638332328E0,5.294042712E0,4.773460020E0,3.322441341E0
1.376871932E1,5.058447570E1,8.701122841E0,1.783307554E2,2.826835305E0,3.347013965E0,4.773226019E0,3.322777514E0
1.476870418E1,5.058450373E1,8.701109784E0,1.782855256E2,2.861270954E0,3.525458248E2,4.772086091E0,3.324414440E0
1.576868904E1,5.058452435E1,8.701099987E0,1.780916780E2,2.549162915E0,3.518327953E2,4.771891592E0,3.324693620E0
1.676867485E1,5.058454904E1,8.701086722E0,1.778555177E2,2.646699362E0,3.464565340E2,4.770372296E0,3.326873185E0
1.776866055E1,5.058457904E1,8.701071982E0,1.784601772E2,2.782501314E0,3.415484214E2,4.770293796E0,3.326985743E0
1.876864576E1,5.058459933E1,8.701058514E0,1.779046849E2,2.582078072E0,3.435407839E2,4.769672817E0,3.327875937E0
1.976863170E1,5.058462263E1,8.701037286E0,1.782084443E2,2.638777147E0,3.352071617E2,4.767490918E0,3.331000958E0
2.076861656E1,5.058464027E1,8.701005961E0,1.787191099E2,2.743121468E0,3.268790846E2,4.766858333E0,3.331906161E0
2.176860142E1,5.058465177E1,8.700990742E0,1.786838800E2,2.768325498E0,3.260275187E2,4.737248803E0,3.373871784E0
2.276858699E1,5.058466932E1,8.700960621E0,1.786153184E2,2.742958758E0,3.199335766E2,4.736820751E0,3.374472730E0
2.376857305E1,5.058468655E1,8.700933172E0,1.788806669E2,2.667725786E0,3.174630743E2,4.735868126E0,3.375809551E0
2.476855874E1,5.058470502E1,8.700901539E0,1.793747667E2,2.827145247E0,3.153399789E2,4.736304896E0,3.375196730E0
2.576854467E1,5.058471699E1,8.700869976E0,1.796890213E2,2.683493662E0,3.090908293E2,4.735287044E0,3.376624593E0
2.676852965E1,5.058472683E1,8.700839074E0,1.794068862E2,2.532861995E0,3.027984190E2,4.734694121E0,3.377455939E0
2.776851535E1,5.058473824E1,8.700801574E0,1.797572725E2,2.680720995E0,2.983264213E2,4.733894298E0,3.378576892E0
2.876850092E1,5.058474487E1,8.700768908E0,1.796303597E2,2.569383718E0,2.932086504E2,4.735209402E0,3.376733473E0
2.976848602E1,5.058474453E1,8.700733345E0,1.793807868E2,2.520432336E0,2.812804570E2,4.736367725E0,3.375108563E0
3.076847172E1,5.058476241E1,8.700700996E0,1.801859474E2,2.591552218E0,2.934418932E2,4.734591602E0,3.377599650E0
3.176845717E1,5.058476953E1,8.700671179E0,1.790197036E2,2.518266951E0,2.936578375E2,4.742737360E0,3.366152012E0
3.276844323E1,5.058476921E1,8.700621176E0,1.795430586E2,2.857432454E0,2.818825021E2,4.730365759E0,3.383515453E0
3.376842868E1,5.058476398E1,8.700588212E0,1.786158394E2,2.553252901E0,2.700116986E2,4.733988273E0,3.378445214E0
3.476841450E1,5.058476318E1,8.700548254E0,1.788171865E2,2.677665766E0,2.703813511E2,4.735478612E0,3.376355927E0
3.576839983E1,5.058475788E1,8.700503136E0,1.784756994E2,2.814827633E0,2.637274019E2,4.734797998E0,3.377310314E0
3.676838529E1,5.058475132E1,8.700470965E0,1.786816539E2,2.555948320E0,2.588239766E2,4.736056216E0,3.375545667E0
3.776837194E1,5.058474895E1,8.700427449E0,1.790411374E2,2.736420280E0,2.625703815E2,4.736995080E0,3.374228008E0
3.876835752E1,5.058473725E1,8.700390250E0,1.788209769E2,2.680491165E0,2.543147743E2,4.737213741E0,3.373921014E0
3.976834214E1,5.058472493E1,8.700353896E0,1.791470060E2,2.697324862E0,2.487941155E2,4.737497742E0,3.373522221E0
4.076832807E1,5.058471441E1,8.700313073E0,1.790807390E2,2.853973979E0,2.490776199E2,4.738225667E0,3.372499750E0
4.176831496E1,5.058469694E1,8.700285172E0,1.793349149E2,2.698230679E0,2.386385290E2,4.738424562E0,3.372220293E0
4.276830006E1,5.058467873E1,8.700251428E0,1.793212235E2,2.839148907E0,2.349445563E2,4.737287624E0,3.373817274E0
4.376828551E1,5.058465894E1,8.700218155E0,1.786532479E2,2.966405988E0,2.313135806E2,4.737163269E0,3.373991878E0
4.476827145E1,5.058463768E1,8.700197697E0,1.798087436E2,2.752384702E0,2.229786779E2,4.736857629E0,3.374420963E0
4.576825690E1,5.058462337E1,8.700162977E0,1.793855489E2,2.783591226E0,2.297080328E2,4.737663939E0,3.373288815E0
4.676824236E1,5.058460387E1,8.700134381E0,1.795514290E2,2.823608280E0,2.274153375E2,4.734854773E0,3.377230717E0
4.776822817E1,5.058458477E1,8.700111828E0,1.798700794E2,2.703359668E0,2.225854916E2,4.736306528E0,3.375194440E0
4.876821423E1,5.058456670E1,8.700081721E0,1.786687380E2,2.795479547E0,2.250476840E2,4.736115182E0,3.375462933E0
4.976819992E1,5.058454759E1,8.700057116E0,1.792633897E2,2.705339178E0,2.233940666E2,4.735216720E0,3.376723212E0
5.076818728E1,5.058452914E1,8.700033326E0,1.795822052E2,2.672588083E0,2.212428578E2,4.735988362E0,3.375640867E0
5.176817214E1,5.058451118E1,8.700005839E0,1.791815151E2,2.714106032E0,2.218779207E2,4.737167173E0,3.373986398E0
5.276815701E1,5.058449370E1,8.699975378E0,1.795632954E2,2.706973445E0,2.241409086E2,4.737699686E0,3.373238610E0
5.376814330E1,5.058447630E1,8.699949198E0,1.789203923E2,2.694981129E0,2.238888501E2,4.738840054E0,3.371636395E0
5.476812923E1,5.058445533E1,8.699925043E0,1.793110516E2,2.730155860E0,2.206284552E2,4.738375224E0,3.372289618E0
5.576811516E1,5.058444047E1,8.699898956E0,1.790918457E2,2.604575641E0,2.229750677E2,4.737701817E0,3.373235617E0
5.676810110E1,5.058441792E1,8.699866342E0,1.797889971E2,2.897865906E0,2.216076032E2,4.735476651E0,3.376358678E0
5.776808643E1,5.058440193E1,8.699843662E0,1.790942576E2,2.684762912E0,2.207779771E2,4.735367988E0,3.376511077E0
5.876807201E1,5.058438746E1,8.699813445E0,1.788487290E2,2.661528818E0,2.266096036E2,4.735962390E0,3.375677306E0
5.976805747E1,5.058436793E1,8.699789029E0,1.790957853E2,2.699858130E0,2.224034168E2,4.735902351E0,3.375761536E0
6.076804376E1,5.058435164E1,8.699766605E0,1.787479959E2,2.566493264E0,2.219980339E2,4.736114463E0,3.375463943E0
6.176802945E1,5.058433112E1,8.699736018E0,1.791721583E2,2.800736784E0,2.235590819E2,4.735281130E0,3.376632886E0
6.276801562E1,5.058431722E1,8.699709945E0,1.787311344E2,2.639900750E0,2.262338138E2,4.734618626E0,3.377561768E0
6.376800108E1,5.058429796E1,8.699681946E0,1.791272140E2,2.760870111E0,2.244723888E2,4.734870189E0,3.377209103E0
6.476798666E1,5.058427980E1,8.699656376E0,1.791133597E2,2.773154968E0,2.226916650E2,4.736122005E0,3.375453360E0
6.576797247E1,5.058426285E1,8.699633239E0,1.786849245E2,2.690045881E0,2.214789652E2,4.735364528E0,3.376515930E0
6.676795805E1,5.058424550E1,8.699614837E0,1.796563296E2,2.550569299E0,2.185279129E2,4.735337086E0,3.376554415E0
6.776794446E1,5.058423012E1,8.699591677E0,1.781603711E2,2.562700886E0,2.212703576E2,4.736505286E0,3.374915511E0
6.876792979E1,5.058421395E1,8.699565733E0,1.794236748E2,2.599067778E0,2.224543260E2,4.738081165E0,3.372702760E0
6.976791573E1,5.058420050E1,8.699540003E0,1.787054350E2,2.657521092E0,2.240496613E2,4.738461601E0,3.372168247E0
7.076790047E1,5.058418455E1,8.699516543E0,1.780670228E2,2.660183035E0,2.228003192E2,4.738141479E0,3.372618027E0
7.176788735E1,5.058416893E1,8.699491961E0,1.786065866E2,2.557060307E0,2.233569238E2,4.740053149E0,3.369930738E0
7.276787257E1,5.058415113E1,8.699461955E0,1.780652871E2,2.522739715E0,2.251326337E2,4.741063244E0,3.368509514E0
7.376785886E1,5.058413828E1,8.699444221E0,1.785364778E2,2.382763912E0,2.237621347E2,4.737888112E0,3.372973951E0
7.476784480E1,5.058412148E1,8.699420435E0,1.787813757E2,2.436748394E0,2.232967706E2,4.738139723E0,3.372620494E0
7.576783049E1,5.058410279E1,8.699396808E0,1.786561404E2,2.597371563E0,2.209706641E2,4.737417348E0,3.373635118E0
7.676781487E1,5.058408712E1,8.699372171E0,1.789567913E2,2.477947265E0,2.238700847E2,4.734955360E0,3.377089689E0
7.776780188E1,5.058407227E1,8.699348204E0,1.792060738E2,2.522730215E0,2.231372210E2,4.733775348E0,3.378743552E0
7.876778710E1,5.058405457E1,8.699322227E0,1.787186359E2,2.617591175E0,2.221416125E2,4.730299819E0,3.383607638E0
7.976777327E1,5.058403852E1,8.699299812E0,1.779518586E2,2.598434434E0,2.218096316E2,4.728896752E0,3.385568275E0
8.076775885E1,5.058402059E1,8.699275074E0,1.784091252E2,2.652895829E0,2.188796830E2,4.733394186E0,3.379277514E0
8.176774514E1,5.058400310E1,8.699251719E0,1.778195979E2,2.655952264E0,2.191918858E2,4.738535770E0,3.372064025E0
8.276773107E1,5.058398482E1,8.699250026E0,1.792225511E2,2.433734510E0,2.086215155E2,4.744554854E0,3.363589789E0
8.376771665E1,5.058396726E1,8.699235477E0,1.772743101E2,2.499387053E0,2.053366357E2,4.745940584E0,3.361634276E0
8.476770234E1,5.058394171E1,8.699225942E0,1.788125342E2,2.478503218E0,2.013161885E2,4.745592108E0,3.362126198E0
8.576768804E1,5.058392027E1,8.699219905E0,1.788883765E2,2.528140521E0,2.008377730E2,4.745698802E0,3.361975597E0
8.676767409E1,5.058389763E1,8.699215639E0,1.791262467E2,2.515760498E0,1.970105678E2,4.742830612E0,3.366020621E0
