"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.741750010E-3,-5.502856750E0,4.307592316E0,6.341113586E0
1.277075001E-2,-5.595514069E0,4.116888885E0,6.341263275E0
2.279875000E-2,-5.635031891E0,3.988605652E0,6.353986816E0
3.282775002E-2,-5.667514343E0,4.016298065E0,6.318211212E0
4.285575001E-2,-5.777834930E0,4.055965576E0,6.409221954E0
5.288375000E-2,-5.794749756E0,4.095633087E0,6.502028961E0
6.291275000E-2,-5.873486023E0,4.157604218E0,6.536008301E0
7.294075002E-2,-5.900429993E0,4.140839081E0,6.540199585E0
8.296975002E-2,-5.901477814E0,4.062402191E0,6.515201569E0
9.299775001E-2,-5.869294739E0,4.033961334E0,6.461613007E0
1.030257500E-1,-5.777535553E0,3.958817596E0,6.437213745E0
1.130547500E-1,-5.756130066E0,3.859573975E0,6.432124329E0
1.230827500E-1,-5.696703644E0,3.789669342E0,6.389912109E0
1.331117500E-1,-5.609435120E0,3.699556732E0,6.338568878E0
1.431397500E-1,-5.492528229E0,3.569477234E0,6.412664795E0
1.531677500E-1,-5.353916473E0,3.489842834E0,6.494394836E0
1.631967500E-1,-5.305866394E0,3.486250305E0,6.516249390E0
1.732247500E-1,-5.296436005E0,3.519930267E0,6.584657135E0
1.832537500E-1,-5.329068146E0,3.549718323E0,6.703060913E0
1.932817500E-1,-5.308261414E0,3.550317078E0,6.740034027E0
2.033097500E-1,-5.239703979E0,3.500021667E0,6.799011383E0
2.133387500E-1,-5.190755768E0,3.467239838E0,6.961872711E0
2.233667500E-1,-5.077890472E0,3.475622406E0,7.084767151E0
2.333957500E-1,-4.996759186E0,3.484454041E0,7.131919098E0
2.434237500E-1,-4.987478485E0,3.532653809E0,7.271428986E0
2.534517500E-1,-5.037773895E0,3.548969879E0,7.383695526E0
2.634807500E-1,-5.077740784E0,3.537443848E0,7.360194397E0
2.735087500E-1,-5.087769928E0,3.518732758E0,7.398664398E0
2.835377500E-1,-5.339995422E0,3.558250580E0,7.622299347E0
2.935657500E-1,-5.495072937E0,3.721860352E0,7.976911926E0
3.035937500E-1,-5.393583984E0,3.785178680E0,8.174650726E0
3.136227500E-1,-5.217699738E0,3.646417236E0,8.256380768E0
3.236507500E-1,-5.286855927E0,3.463497620E0,8.410709839E0
3.336797500E-1,-5.464686127E0,3.459905090E0,8.480614471E0
3.437077500E-1,-5.561834106E0,3.510649567E0,8.341553650E0
3.537357500E-1,-5.643414459E0,3.482208710E0,8.362061005E0
3.637647500E-1,-5.789061584E0,3.394640808E0,8.508306885E0
3.737927500E-1,-5.875881042E0,3.365900574E0,8.685538330E0
3.838217500E-1,-5.761369171E0,3.359164581E0,8.931327209E0
3.938497500E-1,-5.445226593E0,3.319048004E0,9.242230682E0
4.038777500E-1,-5.168601837E0,3.016227722E0,9.652976532E0
4.139067500E-1,-5.192402344E0,2.471211090E0,1.070184540E1
4.239347500E-1,-4.913083191E0,2.335892487E0,1.183004929E1
4.339637500E-1,-4.221072235E0,3.161575470E0,1.130299530E1
4.439917500E-1,-3.622317352E0,3.492836609E0,1.112935638E1
4.540197500E-1,-3.045417023E0,3.217708740E0,1.107472000E1
4.640487500E-1,-2.629282379E0,2.717449036E0,1.112142288E1
4.740767500E-1,-2.553689575E0,2.163900146E0,1.106154739E1
4.841057500E-1,-2.611170044E0,1.718127136E0,1.104568039E1
4.941337500E-1,-2.505938873E0,1.330433350E0,1.136840927E1
5.041627500E-1,-2.331252136E0,1.064885559E0,1.131347351E1
5.141871250E-1,-2.465373230E0,9.822573853E-1,1.020428009E1
5.242151250E-1,-1.080303497E0,1.054706726E0,8.593928833E0
5.342441250E-1,-4.071533203E-2,1.242566071E0,4.709805908E0
5.442721250E-1,1.526824951E-1,3.924838257E-1,4.762945404E0
5.543011250E-1,-6.107299805E-2,-1.075363770E0,6.415359192E0
5.643291250E-1,-6.908134460E-1,-1.747166748E0,7.353308716E0
5.743571250E-1,-1.379082184E0,-1.553619232E0,7.924371185E0
5.843861250E-1,-1.554667053E0,-6.975494385E-1,8.463400269E0
5.944141250E-1,-1.454674988E0,2.613565063E-1,9.109007721E0
6.044431250E-1,-1.702709198E0,7.515870667E-1,1.008647507E1
6.144711250E-1,-1.919757843E0,8.988807678E-1,1.110076584E1
6.244991250E-1,-2.060465240E0,7.518864441E-1,1.246098724E1
6.345281250E-1,-2.362237701E0,5.704637146E-1,1.397508865E1
6.445561250E-1,-2.622097321E0,9.232800293E-1,1.372630600E1
6.545851250E-1,-2.267933807E0,2.014660492E0,1.112576385E1
6.646131250E-1,-1.219214630E0,2.371967468E0,8.946894836E0
6.746411250E-1,-3.339555359E-1,1.317111053E0,9.867031403E0
6.846701250E-1,-5.613327026E-2,-1.136137390E-1,1.112007568E1
6.946981250E-1,1.101708984E-1,-2.332150269E-1,1.051473450E1
7.047271250E-1,4.349954224E-1,1.306483154E0,9.102870483E0
7.147551250E-1,-2.727328491E-1,1.742825775E0,9.234596558E0
