"Time (s)","X (hPa)"
-5.664429167E-1,9.987944794E2
4.344180833E-1,9.988005066E2
1.435271083E0,9.988043976E2
2.436142083E0,9.988060760E2
3.437010083E0,9.988043976E2
3.794184083E0,9.988053131E2
4.861779083E0,9.988032532E2
5.929297083E0,9.988032532E2
6.996852083E0,9.987979126E2
8.064393083E0,9.987968445E2
9.131899083E0,9.987916565E2
1.019942408E1,9.987889862E2
1.126696908E1,9.987881470E2
1.233451608E1,9.987876129E2
1.340200608E1,9.987881470E2
1.446951908E1,9.987889862E2
1.553701908E1,9.987901306E2
1.660451708E1,9.987905884E2
1.767206208E1,9.987911987E2
1.873956008E1,9.987911987E2
1.980707208E1,9.987911987E2
2.087466308E1,9.987928772E2
2.194224208E1,9.987944794E2
2.300978308E1,9.987969208E2
2.407731708E1,9.987985229E2
2.514490108E1,9.987989044E2
2.621248508E1,9.987989044E2
2.728006908E1,9.987924957E2
2.834763208E1,9.987889099E2
2.941519708E1,9.987862396E2
3.048276708E1,9.987828827E2
3.155033108E1,9.987817383E2
3.261790508E1,9.987817383E2
3.368545808E1,9.987822723E2
3.475299408E1,9.987860870E2
3.582054608E1,9.987864685E2
3.688808208E1,9.987864685E2
3.795564008E1,9.987863159E2
3.902315608E1,9.987809753E2
4.009069008E1,9.987764740E2
4.115821308E1,9.987723541E2
4.222565708E1,9.987722778E2
4.329314508E1,9.987692261E2
4.436062008E1,9.987651062E2
4.542811008E1,9.987692261E2
4.649560308E1,9.987661743E2
4.756309808E1,9.987703705E2
4.863055608E1,9.987661743E2
4.969798808E1,9.987586975E2
5.076543808E1,9.987570190E2
5.183293008E1,9.987443542E2
5.290041308E1,9.987400818E2
5.396787508E1,9.987400818E2
5.503534408E1,9.987399292E2
5.610279208E1,9.987406158E2
5.717022708E1,9.987442780E2
5.823762208E1,9.987448120E2
5.930502208E1,9.987442780E2
6.037238308E1,9.987384796E2
6.143981308E1,9.987371063E2
6.250725308E1,9.987371063E2
6.357469708E1,9.987426758E2
6.464213008E1,9.987536621E2
6.570959308E1,9.987641144E2
6.677705508E1,9.987751007E2
6.784446308E1,9.987767792E2
6.891191708E1,9.987770081E2
6.997936708E1,9.987780762E2
7.104678208E1,9.987780762E2
7.211418508E1,9.987799072E2
7.318159908E1,9.987799072E2
7.424905508E1,9.987775421E2
7.531653208E1,9.987775421E2
7.638407108E1,9.987783051E2
7.745157908E1,9.987838745E2
7.851897808E1,9.987910461E2
7.958637808E1,9.987963867E2
8.065377408E1,9.988018036E2
8.172115708E1,9.988018036E2
8.278856608E1,9.987985992E2
8.385595308E1,9.987985992E2
8.492335608E1,9.988010406E2
8.599079908E1,9.988026428E2
8.705824008E1,9.988050842E2
8.812563108E1,9.988061523E2
8.919306208E1,9.988061523E2
9.026058208E1,9.988031006E2
9.132805608E1,9.987988281E2
9.239556708E1,9.987963104E2
9.346303208E1,9.987907410E2
9.453044808E1,9.987907410E2
9.559794608E1,9.987931061E2
9.666538308E1,9.987987518E2
9.773275408E1,9.988007355E2
9.880018408E1,9.988099670E2
9.986758408E1,9.988114166E2
1.009350341E2,9.988114166E2
1.020024751E2,9.988107300E2
1.030699211E2,9.988087463E2
1.041373691E2,9.988084412E2
1.052048151E2,9.988058472E2
1.062722131E2,9.988053131E2
1.073395991E2,9.988040161E2
1.084070171E2,9.988038635E2
1.094743391E2,9.988040161E2
1.105417121E2,9.988038635E2
1.116090741E2,9.988047791E2
1.126764331E2,9.988035583E2
1.137438171E2,9.988040161E2
1.148111991E2,9.988034058E2
