Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),DGM_Height_m
0.9120234251,50.58421113,8.700968754,177.8280573,0.0,238.4294407,4.746058846,3.361467308,161.8590087890625
1.912010908,50.58421401,8.700972584,177.4874134,0.1232929997,238.4294437,4.744694848,3.36339231,161.8560028076172
2.911998391,50.58422499,8.700987027,177.6078182,0.2300408516,238.4294547,4.743639281,3.36488089,161.86900329589844
3.911985874,50.58425463,8.701021553,177.2364566,1.721166556,25.77568939,4.741933383,3.367284488,161.75100708007812
4.911973,50.58428177,8.701048595,177.2142129,2.629051674,30.14323118,4.740322052,3.369552474,161.7580108642578
5.91196084,50.58430946,8.701072806,177.568238,3.011646498,29.79731447,4.740532201,3.369256815,161.85000610351562
6.911948442,50.58433531,8.701094481,177.2284939,3.132100916,29.3546457,4.739105441,3.371263361,161.7580108642578
7.91193521,50.5843583,8.70110722,177.5220251,3.012247369,24.08949456,4.737717537,3.373213538,161.71400451660156
8.911923885,50.58438669,8.701111652,177.0416355,3.041309299,14.20821294,4.736287446,3.375221217,161.7480010986328
9.911911488,50.5844152,8.7011148,177.7362918,3.115751889,9.413127194,4.737389741,3.373673883,161.78500366210938
10.91189897,50.58444399,8.701115014,177.0685611,3.125377946,5.142481469,4.736943667,3.374300183,161.78700256347656
11.91188633,50.58446968,8.701111329,177.6361294,2.942240295,0.3941019544,4.736111802,3.375467677,161.79800415039062
12.91187394,50.58449701,8.701105653,177.0017371,3.030787186,355.6165308,4.734386307,3.377887406,161.7740020751953
13.91186106,50.58452124,8.701093827,177.5800063,2.869080889,350.0339734,4.733686846,3.378867543,161.81800842285156
14.91184855,50.58454492,8.701083389,177.1796138,2.78905036,346.415013,4.735173645,3.376783615,161.8660125732422
15.91183662,50.58457317,8.701071148,177.251445,2.947133639,345.1160074,4.730792842,3.382918285,161.7760009765625
16.91182303,50.58459672,8.701051582,177.9168545,2.878708792,338.1292433,4.730419443,3.383440398,161.75100708007812
