Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),DGM_Height_m
0.4736166,50.58308122,8.661671468,157.1161811,0.0467215827,,16.39489654,7.625741744,155.0860137939453
1.473624468,50.58307567,8.661661884,157.2470423,0.04774875523,,16.54725149,7.604079212,155.01901245117188
2.473631978,50.58306945,8.66166734,157.0802557,0.1988156734,,16.0902246,7.468566749,155.11500549316406
3.473638177,50.58306743,8.661670659,157.0756139,0.1557234028,,16.0902246,7.253413647,155.11500549316406
4.473643422,50.58306505,8.661669632,156.9493358,0.1559500296,,16.38035172,6.66081077,155.11500549316406
5.473649144,50.58305872,8.661664211,156.8205786,0.5218554782,,16.4656598,5.374782617,154.98500061035156
6.473653078,50.58304177,8.661649773,156.614503,0.9535531278,218.3030153,16.92270983,4.970589505,155.03001403808594
7.473656178,50.5830371,8.66162512,156.6022318,1.620471929,233.4673072,16.92270978,5.532202473,155.0780029296875
8.473659396,50.58303356,8.661608009,156.7032514,1.600568339,240.7673642,16.52886467,5.807099776,155.0380096435547
9.4736619,50.58301817,8.661582229,156.7757393,2.039555954,239.5642771,16.92298842,5.921802536,155.01600646972656
10.47366428,50.58300704,8.661540965,156.8469048,2.368089146,254.0071963,16.69805224,5.921169128,154.95401000976562
11.47366536,50.58301314,8.661518822,156.9262283,2.299616727,247.5800307,16.06744544,6.063340167,154.92601013183594
12.47366524,50.58300012,8.661484062,157.0843086,2.316187731,247.9203677,15.66358691,5.807064063,154.97601318359375
13.47366691,50.58298925,8.661461858,157.1940672,2.235018777,239.8413456,15.05348267,4.955051118,154.9810028076172
14.47366714,50.58297183,8.661417817,157.4088044,2.621300472,244.3953909,14.70206109,4.57980676,154.9860076904297
15.47366667,50.58296448,8.661376788,157.6044952,3.098746303,247.9848288,14.16704586,4.165182086,155.0330047607422
16.47366548,50.58296628,8.661358322,157.8925196,2.46262307,247.5764362,13.6422423,4.344669376,155.03700256347656
17.47366536,50.5829329,8.661329601,158.2313991,2.371974483,247.463413,13.6422423,4.620069095,155.06300354003906
18.47366285,50.58292522,8.661302756,158.3583184,2.248866911,250.886148,13.64224229,4.893631092,155.06900024414062
19.47366178,50.58291562,8.661250052,158.1908121,2.86006909,249.4435508,12.41870837,4.585653893,155.0880126953125
20.47365952,50.58289428,8.661211567,158.2478152,2.92776657,250.3690763,12.41870838,4.695843245,155.15501403808594
21.47365773,50.58288808,8.661180819,158.2152616,2.635060808,250.7499109,12.4187084,4.611126693,155.177001953125
22.47365594,50.58288627,8.661154525,158.4148969,2.759083391,255.5526993,12.41870843,4.60745158,155.1850128173828
23.47365308,50.58288583,8.66112138,158.3515509,2.835966786,257.199033,10.5557551,3.928598478,155.21800231933594
24.47364938,50.58288173,8.661095503,158.2938966,2.259070616,256.109553,10.0984666,3.687663096,155.2530059814453
25.47364616,50.58289204,8.661054566,158.2188931,2.385211985,264.2074901,9.540918449,3.49032797,155.2840118408203
26.47364378,50.58288922,8.661006964,158.0085795,2.844387155,263.7308009,8.801911025,3.203200736,155.26600646972656
