"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.891783333E-2,-3.376512229E-1,-1.603145748E-1,-1.455211937E-1
4.894883334E-2,-3.747213483E-1,-1.396560520E-1,-1.264035106E-1
5.897983335E-2,-3.313741386E-1,-1.328628510E-1,-9.971223772E-2
6.900983333E-2,-2.194377780E-1,-1.618553549E-1,-9.495449811E-2
7.904083334E-2,-1.361047179E-1,-1.785691381E-1,-9.790715575E-2
8.907183335E-2,-1.111842319E-1,-1.558491588E-1,-1.012524217E-1
9.910183333E-2,-1.488336027E-1,-1.299222112E-1,-1.086094081E-1
1.091328333E-1,-2.005114406E-1,-1.041516513E-1,-1.148292795E-1
1.191638334E-1,-2.334520817E-1,-1.322836876E-1,-1.258105636E-1
1.291938333E-1,-2.309637368E-1,-1.758671552E-1,-1.412869841E-1
1.392248333E-1,-2.158992887E-1,-2.231403887E-1,-1.367207319E-1
1.492558333E-1,-2.122505009E-1,-2.740118504E-1,-1.190123111E-1
1.592868333E-1,-2.177491188E-1,-3.055135608E-1,-1.043894291E-1
1.693168333E-1,-2.111617774E-1,-3.109687567E-1,-1.130243987E-1
1.793478333E-1,-1.941670924E-1,-2.943897545E-1,-1.232197806E-1
1.893788333E-1,-1.695969999E-1,-2.703385055E-1,-1.236010715E-1
1.994088333E-1,-1.573453993E-1,-2.378852218E-1,-1.109859422E-1
2.094398333E-1,-1.364461035E-1,-1.972656846E-1,-9.397433698E-2
2.194708333E-1,-9.954534471E-2,-1.555882692E-1,-6.732594967E-2
2.295008333E-1,-6.765171885E-2,-1.114940047E-1,-5.296631530E-2
2.395318333E-1,-5.442672595E-2,-7.602229714E-2,-4.762694240E-2
2.495628333E-1,-5.714491755E-2,-6.729477644E-2,-4.263744876E-2
2.595938334E-1,-8.442500234E-2,-8.656727523E-2,-3.305166587E-2
2.696238333E-1,-1.271612048E-1,-1.207396910E-1,-2.126505226E-2
2.796548333E-1,-1.607593745E-1,-1.905400902E-1,-7.772413548E-3
2.896858334E-1,-1.727574766E-1,-2.694561183E-1,-2.055798657E-3
2.997158333E-1,-1.524972171E-1,-3.211507499E-1,-1.281363796E-2
3.097468333E-1,-1.212904155E-1,-3.366481364E-1,-3.033544309E-2
3.197778333E-1,-1.028392389E-1,-3.000088930E-1,-5.889065564E-2
3.298078333E-1,-9.781937301E-2,-2.358038872E-1,-8.223092556E-2
3.398388333E-1,-1.067276448E-1,-1.861010492E-1,-8.607839793E-2
3.498698333E-1,-1.349670738E-1,-1.797980368E-1,-1.024501175E-1
3.599008333E-1,-1.694962829E-1,-2.126566619E-1,-1.110223010E-1
3.699308333E-1,-1.897528470E-1,-2.965575457E-1,-1.284708679E-1
3.799618333E-1,-2.837435603E-1,-2.426415980E-1,-1.675090790E-1
3.899928333E-1,-3.153690994E-1,-3.546120971E-2,-1.103493199E-1
4.000228333E-1,-4.019758999E-1,8.088403940E-2,2.051707916E-2
4.100544583E-1,-4.500367045E-1,1.837815046E-1,9.346538782E-2
4.200854583E-1,-4.672772288E-1,1.888739914E-1,8.102975786E-2
4.301164583E-1,-4.720932543E-1,1.433665752E-1,2.461714670E-2
4.401464583E-1,-4.796374440E-1,1.350258384E-2,-5.240174010E-2
4.501774583E-1,-4.187234640E-1,-1.332358569E-1,-1.158325747E-1
4.602084583E-1,-4.150595069E-1,-1.293529570E-1,-1.708857119E-1
4.702384583E-1,-5.173520446E-1,1.094286796E-3,-1.749602854E-1
4.802694583E-1,-6.502520442E-1,1.543352306E-1,-1.685122401E-1
4.903004583E-1,-7.977825403E-1,3.328925371E-1,-2.086786926E-1
5.003314583E-1,-9.888717532E-1,5.861316919E-1,-2.606502771E-1
5.103614583E-1,-1.183641315E0,1.016771197E0,-3.382536769E-1
5.203924583E-1,-1.352714777E0,1.483907223E0,-3.867426515E-1
