"Time (s)","X (hPa)"
-5.464712917E-1,9.797917938E2
4.867937085E-1,9.797990417E2
1.520042708E0,9.798062134E2
2.553248708E0,9.798101044E2
3.586456708E0,9.798151398E2
3.778100708E0,9.798155975E2
4.844621708E0,9.798177338E2
5.911147709E0,9.798181915E2
6.977668708E0,9.798194885E2
8.044290708E0,9.798202515E2
9.110834708E0,9.798207092E2
1.017739571E1,9.798211670E2
1.124394471E1,9.798212433E2
1.231049271E1,9.798212433E2
1.337707371E1,9.798188782E2
1.444362371E1,9.798179626E2
1.551019771E1,9.798171234E2
1.657679271E1,9.798143768E2
1.764339971E1,9.798129272E2
1.870999771E1,9.798129272E2
1.977658371E1,9.798126221E2
2.084314571E1,9.798125458E2
2.190966471E1,9.798125458E2
2.297620471E1,9.798127747E2
2.404275171E1,9.798127747E2
2.510932471E1,9.798126984E2
2.617587771E1,9.798100281E2
2.724236171E1,9.798088837E2
2.830889471E1,9.798085785E2
2.937546371E1,9.798056793E2
3.044202671E1,9.798044586E2
3.150861071E1,9.798038483E2
3.257511871E1,9.798037720E2
3.364166871E1,9.798017120E2
3.470821171E1,9.798001862E2
3.577473771E1,9.797978210E2
3.684129671E1,9.797947693E2
3.790782171E1,9.797931671E2
3.897438171E1,9.797903442E2
4.004100971E1,9.797891235E2
4.110764471E1,9.797866058E2
4.217427471E1,9.797847748E2
4.324089771E1,9.797810364E2
4.430748771E1,9.797745514E2
4.537404271E1,9.797743225E2
4.644064571E1,9.797743225E2
4.750725371E1,9.797743225E2
4.857386271E1,9.797741699E2
4.964050971E1,9.797735596E2
5.070714171E1,9.797695160E2
5.177377071E1,9.797678375E2
5.284034971E1,9.797695160E2
5.390694071E1,9.797708893E2
5.497356471E1,9.797724152E2
5.604018171E1,9.797791290E2
5.710674471E1,9.797791290E2
5.817327271E1,9.797864532E2
5.923981871E1,9.797914886E2
6.030641871E1,9.797917938E2
6.137299471E1,9.798069763E2
6.243956571E1,9.798108673E2
6.350615171E1,9.798184967E2
6.457272771E1,9.798184967E2
6.563928271E1,9.798163605E2
6.670590271E1,9.798112488E2
6.777252471E1,9.798163605E2
6.883913371E1,9.798219299E2
6.990576971E1,9.798258972E2
7.097247671E1,9.798336029E2
7.203916471E1,9.798336029E2
7.310579571E1,9.798335266E2
7.417251371E1,9.798335266E2
7.523917971E1,9.798471069E2
7.630578271E1,9.798524475E2
7.737248271E1,9.798531342E2
7.843915471E1,9.798585510E2
7.950588071E1,9.798585510E2
8.057257871E1,9.798524475E2
8.163922271E1,9.798454285E2
8.270583871E1,9.798251343E2
8.377244671E1,9.798241425E2
8.483902471E1,9.798088837E2
8.590569071E1,9.798088837E2
8.697233871E1,9.798101807E2
8.803897471E1,9.798103333E2
8.910562671E1,9.798147583E2
9.017232871E1,9.798183441E2
9.123899371E1,9.798249817E2
9.230557071E1,9.798293304E2
9.337218071E1,9.798589325E2
9.443875871E1,9.798721313E2
9.550538271E1,9.798772430E2
9.657195771E1,9.798897552E2
9.763858071E1,9.798897552E2
9.870529171E1,9.798875427E2
9.977193371E1,9.798834991E2
1.008385587E2,9.798834991E2
1.019051367E2,9.798887634E2
1.029716817E2,9.798954010E2
1.040382317E2,9.798976135E2
1.051047737E2,9.798992920E2
1.061713767E2,9.798976135E2
