"Time (s)","X (hPa)"
-5.309300417E-1,9.741466522E2
4.968329583E-1,9.741496277E2
1.524542958E0,9.741526031E2
2.552196958E0,9.741622925E2
3.579927958E0,9.741622925E2
3.779082958E0,9.741622925E2
4.839934958E0,9.741681671E2
5.900835958E0,9.741803741E2
6.961695958E0,9.741897583E2
8.022565958E0,9.742098236E2
9.083441958E0,9.742098236E2
1.014422996E1,9.742076874E2
1.120505996E1,9.742039490E2
1.226594996E1,9.741997528E2
1.332682896E1,9.741903687E2
1.438774796E1,9.741903687E2
1.544870596E1,9.741970825E2
1.650958596E1,9.742064667E2
1.757049096E1,9.742147064E2
1.863142296E1,9.742150116E2
1.969232396E1,9.742150116E2
2.075325696E1,9.742134094E2
2.181416096E1,9.742077637E2
2.287507196E1,9.742005920E2
2.393588396E1,9.741902924E2
2.499670496E1,9.741781616E2
2.605762596E1,9.741720581E2
2.711853796E1,9.741651917E2
2.817940396E1,9.741616058E2
2.924026996E1,9.741616058E2
3.030112096E1,9.741703796E2
3.136200696E1,9.741703796E2
3.242294196E1,9.741697693E2
3.348386696E1,9.741629028E2
3.454474996E1,9.741604614E2
3.560558996E1,9.741580963E2
3.666646596E1,9.741471863E2
3.772737196E1,9.741376495E2
3.878827396E1,9.741320038E2
3.984921696E1,9.741242981E2
4.091013596E1,9.741076660E2
4.197100096E1,9.741033936E2
4.303187196E1,9.740931702E2
4.409275796E1,9.740905762E2
4.515360696E1,9.740759277E2
4.621449696E1,9.740741730E2
4.727543596E1,9.740602112E2
4.833635396E1,9.740554047E2
4.939724096E1,9.740419006E2
5.045806296E1,9.740345764E2
5.151888896E1,9.740215302E2
5.257975996E1,9.740093231E2
5.364063896E1,9.740036774E2
5.470146296E1,9.739928436E2
5.576234396E1,9.739832306E2
5.682318796E1,9.739710236E2
5.788411696E1,9.739682770E2
5.894499296E1,9.739511108E2
6.000587396E1,9.739375305E2
6.106670896E1,9.739195251E2
6.212757696E1,9.738997650E2
6.318855596E1,9.738812256E2
6.424958496E1,9.738548279E2
6.531059096E1,9.738433075E2
6.637154696E1,9.738268280E2
6.743251696E1,9.738173676E2
6.849347096E1,9.738088989E2
6.955441296E1,9.738070679E2
7.061543396E1,9.737888336E2
7.167642996E1,9.737813568E2
7.273737996E1,9.737670898E2
7.379833596E1,9.737550354E2
7.485929496E1,9.737280273E2
7.592031496E1,9.737146759E2
7.698137396E1,9.736938477E2
7.804233696E1,9.736788177E2
7.910321096E1,9.736614227E2
8.016403196E1,9.736475372E2
8.122480496E1,9.736332703E2
8.228564196E1,9.736195374E2
8.334656096E1,9.736011505E2
8.440757896E1,9.735809326E2
8.546855796E1,9.735647583E2
8.652949996E1,9.735492706E2
8.759042396E1,9.735372162E2
8.865130796E1,9.735195923E2
8.971220096E1,9.735092926E2
9.077311596E1,9.734880066E2
9.183404896E1,9.734735870E2
9.289496696E1,9.734505463E2
9.395585696E1,9.734388733E2
9.501683896E1,9.734197235E2
9.607778596E1,9.734043121E2
9.713875796E1,9.733857727E2
9.819973596E1,9.733673096E2
9.926068796E1,9.733483124E2
1.003216290E2,9.733267212E2
1.013825400E2,9.733129120E2
1.024434280E2,9.732932281E2
1.035043440E2,9.732817841E2
1.045652400E2,9.732588196E2
1.056261780E2,9.732482147E2
1.066871150E2,9.732282257E2
1.077479890E2,9.732222748E2
1.088088960E2,9.732161713E2
1.098697440E2,9.732135773E2
1.109304720E2,9.732000732E2
1.119912460E2,9.731991577E2
1.130520600E2,9.731792450E2
1.141128540E2,9.731575775E2
1.151736670E2,9.731320953E2
1.162345580E2,9.731116486E2
1.172954240E2,9.730894470E2
1.183563350E2,9.730632782E2
1.194171710E2,9.730368805E2
1.204780840E2,9.730162811E2
1.215389040E2,9.729847717E2
1.225997740E2,9.729684448E2
1.236607100E2,9.729400635E2
1.247215600E2,9.729224396E2
1.257824460E2,9.729062653E2
1.268433080E2,9.728910828E2
1.279042110E2,9.728720093E2
1.289651100E2,9.728556824E2
1.300260200E2,9.728396606E2
1.310868870E2,9.728197479E2
1.321477700E2,9.728021240E2
1.332087360E2,9.727794647E2
1.342697360E2,9.727627563E2
1.353306630E2,9.727417755E2
1.363916040E2,9.727175903E2
1.374525120E2,9.726943970E2
1.385134000E2,9.726742554E2
1.395742730E2,9.726553345E2
1.406351340E2,9.726343536E2
1.416960040E2,9.726185608E2
1.427568730E2,9.725975037E2
1.438177410E2,9.725719452E2
1.448786200E2,9.725588226E2
1.459395060E2,9.725440216E2
1.470004140E2,9.725254822E2
1.480612700E2,9.725062561E2
1.491221500E2,9.724922180E2
1.501830160E2,9.724736786E2
1.512439290E2,9.724524689E2
1.523048510E2,9.724354553E2
1.533657460E2,9.724117279E2
1.544266410E2,9.723925018E2
1.554875020E2,9.723751831E2
1.565484160E2,9.723524475E2
1.576093970E2,9.723280334E2
1.586703230E2,9.723126221E2
1.597312710E2,9.722907257E2
1.607922300E2,9.722718811E2
1.618531300E2,9.722581482E2
1.629140080E2,9.722365570E2
1.639748550E2,9.722158051E2
1.650356950E2,9.722005463E2
1.660966450E2,9.721831512E2
1.671575580E2,9.721666718E2
1.682184530E2,9.721562195E2
1.692793020E2,9.721379852E2
1.703401880E2,9.721277618E2
1.714010270E2,9.721066284E2
1.724619050E2,9.720867920E2
1.735228240E2,9.720610046E2
1.745836800E2,9.720364380E2
1.756445220E2,9.720048523E2
1.767054230E2,9.719812775E2
1.777663330E2,9.719551086E2
1.788271890E2,9.719377136E2
1.798881170E2,9.719184875E2
1.809490220E2,9.719010925E2
1.820099410E2,9.718905640E2
1.830708350E2,9.718740845E2
1.841317160E2,9.718561554E2
1.851925580E2,9.718399811E2
1.862533720E2,9.718233490E2
1.873141810E2,9.718033600E2
1.883750510E2,9.717901611E2
1.894358910E2,9.717755127E2
1.904967120E2,9.717633057E2
1.915575370E2,9.717486572E2
1.926183700E2,9.717282104E2
1.936791240E2,9.717130280E2
1.947399200E2,9.716860962E2
