"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.087908333E-2,-1.636450738E-1,-3.809624314E-1,-2.373845130E-1
2.090808333E-2,-9.583225846E-2,-4.399060011E-1,-1.767808497E-1
3.093708333E-2,-1.000057012E-1,-4.406698048E-1,-1.163667813E-1
4.096608334E-2,-1.111359969E-1,-4.311180711E-1,-7.041794807E-2
5.099508334E-2,-7.787951082E-2,-4.386026263E-1,-5.397745222E-2
6.102408333E-2,-6.477036327E-2,-4.425736666E-1,-7.202729583E-2
7.105308333E-2,-8.653558046E-2,-4.165090322E-1,-8.143224567E-2
8.108208333E-2,-1.229125187E-1,-3.836666048E-1,-6.219145283E-2
9.111108333E-2,-1.360245943E-1,-3.720562756E-1,-3.892048821E-2
1.011401250E-1,-1.514421552E-1,-3.642883301E-1,-1.630474254E-2
1.111691250E-1,-1.897807568E-1,-3.776227832E-1,1.267060405E-3
1.211981250E-1,-2.164107412E-1,-4.449466765E-1,-1.787767746E-2
1.312271250E-1,-2.105592489E-1,-4.989356399E-1,-8.348917961E-2
1.412561250E-1,-2.054597735E-1,-5.262362361E-1,-1.631220132E-1
1.512851250E-1,-2.129624337E-1,-5.128474832E-1,-2.074743062E-1
1.613141250E-1,-2.287432551E-1,-4.823205769E-1,-1.942007542E-1
1.713431250E-1,-2.554912567E-1,-4.465918541E-1,-1.528951228E-1
1.813721250E-1,-2.315405905E-1,-3.927402794E-1,-9.411405772E-2
1.914021250E-1,-1.617146283E-1,-3.303645253E-1,-3.076198697E-2
2.014311250E-1,-1.091622338E-1,-2.759041786E-1,9.078175761E-3
2.114601250E-1,-6.960390508E-2,-2.313963920E-1,2.296442911E-2
2.214891250E-1,-4.636305198E-2,-2.087336183E-1,-4.124991130E-3
2.315181250E-1,-5.996914208E-2,-2.256763726E-1,-5.622094870E-2
2.415471250E-1,-1.142832041E-1,-2.692477107E-1,-9.532970935E-2
2.515761250E-1,-1.486470401E-1,-3.119466901E-1,-1.132895350E-1
2.616051250E-1,-1.566386670E-1,-3.473505378E-1,-1.130268574E-1
2.716351250E-1,-1.579393446E-1,-3.996925950E-1,-1.138982475E-1
2.816641250E-1,-1.754549444E-1,-4.591496587E-1,-1.103894338E-1
2.916931250E-1,-2.102768421E-1,-4.495537579E-1,-1.309261322E-1
3.017221250E-1,-2.499598861E-1,-4.089822769E-1,-1.299164146E-1
3.117511250E-1,-2.532696724E-1,-3.554543555E-1,-1.255613416E-1
3.217801250E-1,-2.188556939E-1,-3.114964664E-1,-1.074932590E-1
3.318091250E-1,-1.835267395E-1,-2.840382159E-1,-8.872143924E-2
3.418381250E-1,-1.438099444E-1,-2.913720310E-1,-8.239350468E-2
3.518681250E-1,-1.111830324E-1,-3.047107458E-1,-7.878385484E-2
3.618971250E-1,-1.015181392E-1,-3.199332356E-1,-8.061574399E-2
3.719261250E-1,-1.039416119E-1,-3.391029537E-1,-8.744728565E-2
3.819551250E-1,-1.200569347E-1,-3.614937365E-1,-9.625782073E-2
3.919841250E-1,-1.570293307E-1,-3.686768115E-1,-1.255544573E-1
4.020131250E-1,-1.910048276E-1,-3.652307391E-1,-1.447172910E-1
4.120421250E-1,-2.266413867E-1,-3.694377244E-1,-1.572232246E-1
4.220711250E-1,-2.687660158E-1,-3.522981107E-1,-1.619632691E-1
4.321011250E-1,-2.683665454E-1,-3.399346471E-1,-1.520405859E-1
4.421301250E-1,-2.357075512E-1,-3.333017826E-1,-1.256548017E-1
4.521591250E-1,-1.826408654E-1,-3.416678309E-1,-9.429609030E-2
4.621881250E-1,-1.330515295E-1,-3.654846847E-1,-6.329496205E-2
4.722171250E-1,-1.184933558E-1,-3.975371718E-1,-5.234671384E-2
4.822461250E-1,-1.305385083E-1,-3.915907145E-1,-7.219708711E-2
4.922751250E-1,-1.270513684E-1,-3.605646193E-1,-1.186583266E-1
5.023041250E-1,-1.208374053E-1,-3.241419792E-1,-1.810735017E-1
5.123341250E-1,-1.259932816E-1,-3.146001399E-1,-2.522352636E-1
5.223631250E-1,-1.713414043E-1,-3.638474345E-1,-3.149153888E-1
5.323921250E-1,-2.522628903E-1,-4.553989172E-1,-3.691783845E-1
5.424211250E-1,-3.454223871E-1,-5.593309999E-1,-4.127417505E-1
5.524501250E-1,-4.314049482E-1,-6.606054306E-1,-4.475069046E-1
5.624791250E-1,-5.003945827E-1,-7.404678464E-1,-4.646055996E-1
5.725081250E-1,-5.725864768E-1,-7.998778820E-1,-4.539532065E-1
5.825381250E-1,-6.755307317E-1,-7.933662534E-1,-4.256034493E-1
5.925671250E-1,-7.335290313E-1,-7.314911485E-1,-3.545905352E-1
6.025961250E-1,-6.924915910E-1,-7.063896060E-1,-2.697150409E-1
6.126251250E-1,-5.919870734E-1,-7.016326785E-1,-2.132826596E-1
6.226541250E-1,-4.811167717E-1,-7.268272638E-1,-1.589190215E-1
6.326831250E-1,-4.026044011E-1,-7.716961503E-1,-1.348488331E-1
6.427121250E-1,-3.549912572E-1,-7.900878787E-1,-1.529444456E-1
6.527421250E-1,-3.883721232E-1,-8.290837407E-1,-1.675100625E-1
6.627711250E-1,-4.676043391E-1,-9.366693497E-1,-1.282783151E-1
6.728001250E-1,-5.892942548E-1,-1.030474067E0,-5.325201154E-2
6.828291250E-1,-7.775166631E-1,-1.035592556E0,2.485625213E-3
6.928581250E-1,-1.028295279E0,-9.579821229E-1,2.395283431E-2
7.028871250E-1,-1.292278647E0,-8.459924459E-1,1.768297330E-2
7.129161250E-1,-1.524998665E0,-7.319718599E-1,-6.355808582E-4
7.229461250E-1,-1.674523115E0,-5.861459970E-1,-4.035139084E-2
7.329751250E-1,-1.651852131E0,-4.430199862E-1,-1.077711806E-1
7.430041250E-1,-1.458655477E0,-3.520686924E-1,-1.526710242E-1
7.530331250E-1,-1.156765938E0,-3.789373040E-1,-1.352848411E-1
7.630621250E-1,-8.015955091E-1,-5.003600121E-1,-4.399758205E-2
7.730911250E-1,-4.152161777E-1,-5.931475163E-1,8.501579612E-2
7.831201250E-1,-3.819379956E-2,-5.445579886E-1,2.144578397E-1
7.931501250E-1,2.603473663E-1,-3.927474320E-1,3.228508830E-1
8.031791250E-1,4.364643097E-1,-1.879330873E-1,3.763695955E-1
8.132081250E-1,4.569349587E-1,3.004368162E-3,3.602327108E-1
8.232371250E-1,3.412570953E-1,1.072487533E-1,2.742911577E-1
8.332661250E-1,1.448178291E-1,1.199866459E-1,2.115550786E-1
8.432951250E-1,-8.204010874E-2,6.556362845E-3,1.846453398E-1
8.533241250E-1,-2.826693356E-1,-1.269963682E-1,2.071240246E-1
8.633531250E-1,-4.288360476E-1,-2.340454906E-1,3.518384695E-1
8.733831250E-1,-4.962020516E-1,-3.733253479E-1,6.297633052E-1
8.834121250E-1,-5.055603385E-1,-4.138509929E-1,1.032360315E0
8.934411250E-1,-4.010046721E-1,-5.258617401E-1,1.454819202E0
9.034701250E-1,-2.386778444E-1,-8.929541707E-1,1.911818981E0
9.134991250E-1,-1.215602178E-2,-9.958448410E-1,2.109624863E0
9.235281250E-1,2.873074114E-1,-8.520122170E-1,2.098338842E0
9.335581250E-1,5.131762028E-1,-7.114069462E-1,1.935412526E0
9.435871250E-1,6.625050306E-1,-5.604985356E-1,1.750532150E0
9.536161250E-1,7.703849077E-1,-3.489253521E-1,1.690265298E0
9.636451250E-1,8.030967116E-1,-1.671047211E-1,1.830787659E0
9.736741250E-1,6.884436011E-1,-3.670892119E-1,2.079329729E0
9.837031250E-1,4.618973434E-1,-7.980353832E-1,2.195375443E0
9.937321250E-1,3.768695295E-1,-1.115917206E0,2.149734735E0
1.003762125E0,3.717580736E-1,-1.476498246E0,2.054624319E0
1.013791125E0,4.383879602E-1,-1.776462913E0,1.998254895E0
1.023820125E0,6.625249386E-1,-1.861672521E0,2.015640736E0
1.033849125E0,9.612591863E-1,-1.982511282E0,2.028917551E0
1.043878125E0,1.137262344E0,-1.959569454E0,1.997090936E0
1.053907125E0,1.181401610E0,-1.921633482E0,1.953427911E0
1.063936125E0,1.285277486E0,-1.948864698E0,1.954275131E0
1.073966125E0,1.543003559E0,-1.996586561E0,2.091012478E0
1.083995125E0,1.852962375E0,-1.968558073E0,2.184654713E0
1.094024125E0,1.946530104E0,-1.600556016E0,2.181681633E0
1.104053833E0,1.712670684E0,-7.918235064E-1,2.177810431E0
1.114082833E0,1.278604388E0,1.227915064E-1,2.276693344E0
1.124111833E0,8.181359172E-1,8.982719183E-1,2.449162960E0
1.134141833E0,3.652352691E-1,1.356378436E0,2.571439505E0
1.144170833E0,1.084743515E-1,1.449510098E0,2.631972313E0
1.154199833E0,1.359294057E-1,1.314877987E0,2.803694248E0
1.164228833E0,3.993144929E-1,1.199020028E0,3.064900875E0
1.174257833E0,8.629772663E-1,1.168736696E0,3.361877203E0
1.184286833E0,1.478751659E0,9.766101837E-1,3.647322655E0
1.194315833E0,2.103958368E0,6.441305280E-1,3.899768353E0
1.204345833E0,2.519760609E0,1.515893191E-1,3.912386417E0
1.214374833E0,2.458513498E0,-2.513336241E-1,3.539068699E0
1.224403833E0,2.112137794E0,-1.672403812E-1,3.174628735E0
1.234432833E0,1.698664784E0,2.401902378E-1,3.098821163E0
1.244461833E0,1.195294499E0,8.140102625E-1,3.096837044E0
1.254490833E0,6.726906896E-1,1.308608294E0,3.009300232E0
1.264520833E0,2.397926450E-1,1.518379807E0,2.865838528E0
1.274549833E0,-2.003227547E-2,1.372753620E0,2.804070950E0
1.284578833E0,-6.881563459E-3,8.176227808E-1,2.890796423E0
1.294607833E0,3.728788197E-1,1.505525708E-1,3.113863707E0
1.304636833E0,9.726706743E-1,-3.348036110E-1,3.181314707E0
1.314665833E0,1.416221142E0,-6.500289440E-1,3.045224905E0
1.324694833E0,1.477281928E0,-8.044705987E-1,2.872316599E0
1.334724833E0,1.334820390E0,-1.002554178E0,2.878010035E0
1.344753833E0,1.222152233E0,-1.196025848E0,2.982589006E0
1.354782833E0,1.039273977E0,-1.364693761E0,3.061790466E0
1.364811833E0,6.563492417E-1,-1.854409337E0,3.125032663E0
1.374840833E0,-1.455165893E-1,-1.153201222E0,2.657999992E0
1.384869833E0,-5.982285738E-1,-6.102696657E-1,2.214015484E0
1.394899833E0,-7.380200624E-1,-6.433541179E-1,1.870411754E0
1.404928833E0,-5.046849847E-1,-2.685940266E-1,1.924463868E0
1.414957833E0,-1.755997241E-1,2.055248022E-1,2.243664026E0
1.424986833E0,8.635818213E-2,-7.963684946E-2,2.560595989E0
1.435015833E0,4.236333966E-1,-1.977813393E-1,2.606832981E0
1.445044833E0,7.305396199E-1,-5.143445730E-1,2.213170767E0
1.455074833E0,6.692235470E-1,-1.000463843E0,1.557940960E0
