"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.031044245E-1,5.058438807E1,8.687460928E0,1.636553697E2,5.992533172E-2,NaN,1.579696923E1,7.309786437E0
1.903089046E0,5.058438649E1,8.687465009E0,1.634190570E2,9.314483752E-2,NaN,1.567404824E1,7.065678434E0
2.903073788E0,5.058438174E1,8.687457866E0,1.633301904E2,2.528520724E-1,NaN,1.537444963E1,6.783685647E0
3.903057098E0,5.058436775E1,8.687453010E0,1.635511228E2,8.606720369E-2,NaN,1.574806771E1,6.716899645E0
4.903040409E0,5.058436003E1,8.687453165E0,1.635183730E2,6.683693554E-2,NaN,1.635399446E1,6.718033471E0
5.903024793E0,5.058436063E1,8.687458602E0,1.632680065E2,7.494168217E-2,NaN,1.673370468E1,6.621532331E0
6.903008223E0,5.058435524E1,8.687460581E0,1.631246024E2,1.845047497E-1,NaN,1.653902107E1,6.390714635E0
7.902992368E0,5.058434538E1,8.687470137E0,1.630679875E2,1.114564192E-1,NaN,1.630187614E1,6.254451164E0
8.902975917E0,5.058434098E1,8.687469943E0,1.631420858E2,7.553752070E-2,NaN,1.628426505E1,6.396638637E0
9.902960062E0,5.058433910E1,8.687473176E0,1.634960109E2,5.980301680E-2,NaN,1.631766444E1,6.341735164E0
1.090294421E1,5.058434034E1,8.687483046E0,1.638211872E2,5.246061608E-1,6.347221453E1,1.592510667E1,6.171177923E0
1.190292823E1,5.058434413E1,8.687494223E0,1.636590785E2,5.547793130E-1,6.339481795E1,1.581012640E1,6.090308126E0
1.290291178E1,5.058434283E1,8.687514364E0,1.636726019E2,6.484966895E-1,7.054274334E1,1.588314693E1,6.010886013E0
1.390289593E1,5.058434643E1,8.687553023E0,1.636095275E2,1.034469769E0,6.468869436E1,1.579435131E1,5.874156030E0
1.490287960E1,5.058434564E1,8.687583861E0,1.638197390E2,1.072124640E0,6.825807347E1,1.576609633E1,5.802873034E0
1.590286362E1,5.058433744E1,8.687606998E0,1.628211892E2,1.117949997E0,7.145814888E1,1.530465681E1,5.532579762E0
1.690284693E1,5.058433908E1,8.687628703E0,1.623475191E2,1.272427762E0,6.840556095E1,1.473716063E1,5.298482164E0
1.790283048E1,5.058434194E1,8.687660022E0,1.619240599E2,1.876882860E0,7.196912279E1,1.415824723E1,5.201318701E0
1.890281498E1,5.058435278E1,8.687688801E0,1.617186276E2,1.620856758E0,6.414659452E1,1.364637782E1,5.203239971E0
1.990279830E1,5.058436043E1,8.687730773E0,1.614727434E2,2.400788205E0,7.165812347E1,1.313455801E1,5.136354257E0
2.090278268E1,5.058436553E1,8.687764278E0,1.618819613E2,2.329010605E0,7.063615579E1,1.258851161E1,4.926149203E0
2.190276599E1,5.058437639E1,8.687803176E0,1.623115742E2,2.295033968E0,6.983119964E1,1.219391399E1,4.873080623E0
2.290275037E1,5.058437567E1,8.687838863E0,1.617012541E2,2.300938004E0,7.658724802E1,1.175039501E1,4.737760563E0
2.390273345E1,5.058438025E1,8.687880961E0,1.618014232E2,2.651492941E0,7.978028964E1,1.140795141E1,4.590408366E0
2.490271723E1,5.058437958E1,8.687917183E0,1.617401220E2,2.100346647E0,8.375846660E1,1.110152330E1,4.336189691E0
2.590270102E1,5.058438735E1,8.687964118E0,1.616407355E2,1.988049250E0,7.880820574E1,1.076029110E1,4.105183076E0
2.690268505E1,5.058440054E1,8.688013998E0,1.616166907E2,2.785103676E0,7.103219043E1,1.050421401E1,3.971600959E0
2.790266919E1,5.058439962E1,8.688077947E0,1.624769291E2,3.157529216E0,7.627954113E1,1.021559453E1,3.809974237E0
2.890265298E1,5.058440921E1,8.688120031E0,1.619462246E2,3.123895114E0,7.503058292E1,9.912150090E0,3.825170578E0
2.990263653E1,5.058441088E1,8.688165593E0,1.620295309E2,2.979384651E0,7.951060375E1,9.602486607E0,3.870638888E0
3.090262091E1,5.058442315E1,8.688224243E0,1.615882672E2,2.976015048E0,7.747775013E1,9.560199905E0,3.946493566E0
3.190260530E1,5.058443749E1,8.688273048E0,1.620810828E2,2.943785337E0,7.473477512E1,9.325750422E0,3.904645908E0
3.290258777E1,5.058443508E1,8.688325973E0,1.627206476E2,3.356218806E0,8.312338972E1,9.009625736E0,5.031640031E0
3.390257227E1,5.058445740E1,8.688348377E0,1.628332090E2,2.802196684E0,6.400380454E1,8.775320473E0,5.023378873E0
3.490255654E1,5.058446707E1,8.688396165E0,1.629225986E2,3.006708264E0,6.783804541E1,8.534144970E0,4.922280513E0
3.590253949E1,5.058448342E1,8.688441098E0,1.632603604E2,3.233532634E0,6.551038640E1,8.336202703E0,4.784696657E0
3.690252340E1,5.058449430E1,8.688468717E0,1.630897896E2,2.794319529E0,6.717944757E1,8.214634694E0,4.873296884E0
3.790250754E1,5.058450154E1,8.688508803E0,1.631951952E2,2.701897266E0,7.021255149E1,8.013620071E0,4.876397084E0
3.890249097E1,5.058451286E1,8.688547954E0,1.628796002E2,2.917795028E0,7.100455492E1,7.969789334E0,4.983517615E0
3.990247428E1,5.058452321E1,8.688595805E0,1.629854041E2,3.124333800E0,7.248981402E1,7.765113924E0,4.756763172E0
4.090245903E1,5.058453083E1,8.688651493E0,1.633012071E2,3.360972352E0,7.643529153E1,7.571662452E0,4.564200851E0
4.190244174E1,5.058454114E1,8.688689374E0,1.630029064E2,3.072572383E0,7.251736720E1,7.596805172E0,4.613817329E0
4.290242577E1,5.058455013E1,8.688724385E0,1.629612643E2,2.718087987E0,7.063830700E1,7.364461152E0,4.550769981E0
4.390241003E1,5.058455749E1,8.688757220E0,1.626720824E2,2.664798731E0,7.262766851E1,7.161301250E0,4.585613926E0
