"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.723618507E-2,5.058441412E1,8.699884571E0,1.777220284E2,1.375261990E-1,NaN,1.568205014E1,7.701122531E0
1.067218304E0,5.058441618E1,8.699879161E0,1.776588109E2,4.933712549E-2,NaN,1.584421689E1,7.580516632E0
2.067198992E0,5.058441341E1,8.699876043E0,1.775253034E2,6.076004004E-2,NaN,1.584421689E1,7.702049465E0
3.067180991E0,5.058441415E1,8.699871640E0,1.775238037E2,1.572558971E-1,NaN,1.584421689E1,7.745423938E0
4.067163110E0,5.058441398E1,8.699866101E0,1.774333588E2,2.804322772E-2,NaN,1.581937206E1,7.623668999E0
5.067144394E0,5.058442043E1,8.699856922E0,1.774254961E2,1.417615890E-1,NaN,1.581937206E1,7.843009192E0
6.067125082E0,5.058442236E1,8.699851409E0,1.773600250E2,1.769981072E-1,NaN,1.580286535E1,7.973132513E0
7.067107439E0,5.058442469E1,8.699840677E0,1.773906528E2,9.615626890E-2,NaN,1.580286535E1,8.281127303E0
8.067089081E0,5.058441046E1,8.699816688E0,1.770650694E2,1.391968271E0,2.361096955E2,1.556453105E1,8.072384785E0
9.067070365E0,5.058439104E1,8.699787863E0,1.769848873E2,2.332592517E0,2.296292682E2,1.551683812E1,7.970130072E0
1.006705165E1,5.058436765E1,8.699765451E0,1.770403264E2,2.499172191E0,2.237938267E2,1.526784824E1,7.874598923E0
1.106703389E1,5.058435075E1,8.699741139E0,1.769417296E2,2.603083926E0,2.280300525E2,1.500405884E1,7.812139754E0
1.206701481E1,5.058433111E1,8.699713721E0,1.767307209E2,2.576139866E0,2.255981467E2,1.479050193E1,7.807804681E0
1.306699669E1,5.058430635E1,8.699681897E0,1.766440417E2,2.854461361E0,2.232713736E2,1.427357422E1,8.025795010E0
1.406697857E1,5.058428225E1,8.699646355E0,1.766039503E2,2.949926299E0,2.238638581E2,1.378760724E1,7.939423750E0
1.506696010E1,5.058426147E1,8.699621284E0,1.764798880E2,2.760774253E0,2.240340524E2,1.328438380E1,8.140695110E0
1.606694174E1,5.058424227E1,8.699578935E0,1.765112895E2,2.946231154E0,2.269474670E2,1.287312332E1,8.174136225E0
1.706692266E1,5.058422027E1,8.699540345E0,1.766280460E2,2.952253792E0,2.276979585E2,1.253828362E1,8.036754309E0
1.806690502E1,5.058420308E1,8.699513604E0,1.764922791E2,2.944548302E0,2.278099277E2,1.253828363E1,8.148537899E0
1.906688619E1,5.058418351E1,8.699482129E0,1.761685005E2,2.743966978E0,2.290561396E2,1.208774582E1,7.929428445E0
2.006686795E1,5.058416338E1,8.699453501E0,1.760603077E2,3.054458212E0,2.266626806E2,1.173977418E1,7.778038675E0
2.106684959E1,5.058414441E1,8.699428407E0,1.759054887E2,2.943744106E0,2.227489786E2,1.173977414E1,7.828733139E0
2.206683099E1,5.058412644E1,8.699400579E0,1.758734741E2,2.830614266E0,2.256638926E2,1.142862267E1,7.690843946E0
2.306681204E1,5.058410294E1,8.699367928E0,1.759534607E2,2.828120738E0,2.271150282E2,1.109216174E1,7.514314451E0
2.406679404E1,5.058407589E1,8.699342602E0,1.762834647E2,2.883849116E0,2.208991607E2,1.109216170E1,7.545811340E0
2.506677580E1,5.058405132E1,8.699321977E0,1.764918096E2,2.850568135E0,2.180183316E2,1.109216176E1,7.598361578E0
2.606675732E1,5.058403072E1,8.699297590E0,1.765828750E2,2.781695263E0,2.227929387E2,1.109216178E1,7.643838460E0
2.706673837E1,5.058400612E1,8.699276587E0,1.767507136E2,2.722818047E0,2.148290313E2,7.233614271E0,5.050906425E0
2.806672037E1,5.058398093E1,8.699265835E0,1.764608158E2,2.627155551E0,2.145712644E2,6.029284962E0,4.167686319E0
2.906670189E1,5.058395298E1,8.699251187E0,1.766060654E2,2.779621274E0,2.099028105E2,6.040703491E0,4.233044060E0
3.006668341E1,5.058392296E1,8.699244436E0,1.764789321E2,2.715432068E0,2.025819157E2,5.845121797E0,4.033800981E0
3.106666565E1,5.058388927E1,8.699243637E0,1.764448755E2,2.801797845E0,1.958842667E2,5.668514935E0,3.819865765E0
3.206664741E1,5.058385637E1,8.699239895E0,1.763132090E2,2.994258695E0,1.906892265E2,5.297875122E0,3.489661224E0
3.306662834E1,5.058383124E1,8.699245733E0,1.765890099E2,2.860384396E0,1.851621360E2,5.557445459E0,3.641675768E0
3.406660998E1,5.058380406E1,8.699243179E0,1.767748976E2,2.818926308E0,1.856837948E2,5.455827896E0,3.536986323E0
3.506659126E1,5.058377132E1,8.699248978E0,1.764846602E2,2.806165418E0,1.793206186E2,5.262730124E0,3.427168593E0
3.606657350E1,5.058374135E1,8.699271016E0,1.766393838E2,2.914743717E0,1.718758197E2,5.248861988E0,3.333790217E0
3.706655467E1,5.058371293E1,8.699278073E0,1.766669487E2,2.834013494E0,1.687803542E2,5.251816006E0,3.278612828E0
3.806653643E1,5.058368928E1,8.699295304E0,1.766178820E2,2.813070317E0,1.644415786E2,5.358638147E0,3.256096000E0
3.906651819E1,5.058366943E1,8.699319364E0,1.766381764E2,2.802361262E0,1.592209833E2,5.503806915E0,3.305459094E0
4.006649983E1,5.058364689E1,8.699345483E0,1.768205609E2,2.880556803E0,1.514255133E2,5.397556599E0,3.239168646E0
4.106648147E1,5.058362819E1,8.699379224E0,1.768218158E2,2.847370249E0,1.488463328E2,5.329201260E0,3.066250124E0
4.206646311E1,5.058360567E1,8.699410244E0,1.766896928E2,2.984858544E0,1.452717749E2,5.252194625E0,3.008222054E0
4.306644511E1,5.058358630E1,8.699442143E0,1.765411796E2,2.894075040E0,1.416777499E2,5.287442218E0,3.003905145E0
4.406642663E1,5.058356853E1,8.699471589E0,1.763594973E2,2.800539733E0,1.382255496E2,5.417037788E0,3.000000000E0
4.506640828E1,5.058355236E1,8.699508728E0,1.764612697E2,2.749036382E0,1.387923341E2,5.436068570E0,3.000000000E0
4.606638896E1,5.058353918E1,8.699556045E0,1.763056312E2,2.760633774E0,1.291875901E2,5.469796609E0,3.000000000E0
4.706637084E1,5.058353291E1,8.699600083E0,1.763487189E2,2.884690295E0,1.207626103E2,5.439391214E0,3.000000000E0
4.806816065E1,5.058352388E1,8.699633149E0,1.760427602E2,2.658466761E0,1.205403083E2,5.436505536E0,3.000000000E0
4.906816971E1,5.058351946E1,8.699672699E0,1.760336158E2,2.617140321E0,1.139720673E2,5.460532783E0,3.000000000E0
5.006815434E1,5.058351254E1,8.699711564E0,1.762959456E2,2.831411745E0,1.086456822E2,5.473796870E0,3.000000000E0
5.106816101E1,5.058350651E1,8.699756970E0,1.766545400E2,2.865970349E0,1.133913529E2,5.468088581E0,3.000000000E0
5.206817210E1,5.058350921E1,8.699767027E0,1.769076687E2,2.876083621E0,1.020353415E2,5.436105357E0,3.810485915E0
5.306815922E1,5.058351060E1,8.699819634E0,1.770481287E2,3.134117941E0,9.342779890E1,5.407283592E0,3.886740313E0
5.406817222E1,5.058351217E1,8.699865940E0,1.771422131E2,3.033210647E0,8.860358583E1,5.356682770E0,3.858484770E0
5.506818342E1,5.058351843E1,8.699906305E0,1.765173568E2,2.949035225E0,8.337826802E1,5.395270858E0,3.808531433E0
5.606816936E1,5.058352749E1,8.699956489E0,1.766626413E2,3.068913134E0,7.835105187E1,5.397939847E0,3.873332943E0
5.706818199E1,5.058353548E1,8.700000804E0,1.763944995E2,3.110353047E0,7.627221677E1,5.389482287E0,3.931368261E0
5.806819618E1,5.058354457E1,8.700036331E0,1.762477095E2,2.880507133E0,7.196172999E1,5.401472894E0,4.114514577E0
5.906818557E1,5.058355926E1,8.700080520E0,1.762285236E2,3.056331738E0,6.929891328E1,5.393423501E0,4.129797864E0
6.006820071E1,5.058357922E1,8.700105205E0,1.769268722E2,2.949484883E0,5.777101698E1,5.467086317E0,4.421856123E0
6.106821442E1,5.058360375E1,8.700126790E0,1.768034242E2,2.996289058E0,4.682747131E1,5.527323454E0,4.591787915E0
6.206820476E1,5.058362576E1,8.700153904E0,1.767591348E2,3.075068871E0,4.270746222E1,5.523566480E0,4.635441553E0
6.306819618E1,5.058364957E1,8.700179332E0,1.763217458E2,3.127191084E0,3.884385503E1,5.367082303E0,4.417340822E0
6.406818652E1,5.058366890E1,8.700205159E0,1.764719590E2,3.026774966E0,3.904342696E1,5.561476889E0,4.690048721E0
6.506817746E1,5.058369217E1,8.700231768E0,1.762402987E2,3.264635483E0,3.936758620E1,5.536876295E0,4.759821820E0
6.606816673E1,5.058371144E1,8.700258761E0,1.767807802E2,3.085844337E0,4.243686475E1,5.494331951E0,4.630183862E0
6.706815588E1,5.058373477E1,8.700295677E0,1.765331343E2,3.218237515E0,4.510595462E1,5.474799224E0,4.679322424E0
6.806814551E1,5.058375653E1,8.700324846E0,1.765755525E2,3.176376528E0,4.545182618E1,5.342007365E0,4.598394077E0
6.906813347E1,5.058378164E1,8.700355428E0,1.763070151E2,3.301214622E0,4.324791904E1,5.365015470E0,4.643528304E0
7.006812203E1,5.058379924E1,8.700382066E0,1.762143855E2,3.039660306E0,4.467795270E1,5.345726098E0,4.784411477E0
7.106810975E1,5.058381943E1,8.700414193E0,1.762695638E2,3.022075276E0,4.589014562E1,5.346015370E0,4.829446459E0
7.206809771E1,5.058384029E1,8.700438209E0,1.766248012E2,2.907148684E0,4.195294948E1,5.237417042E0,4.705874199E0
7.306808484E1,5.058386245E1,8.700471637E0,1.764642872E2,3.143828372E0,4.140030269E1,5.180782550E0,4.668400992E0
7.406807089E1,5.058388076E1,8.700497354E0,1.765139964E2,3.005249252E0,4.107740767E1,5.182537371E0,4.619086167E0
7.506805778E1,5.058390264E1,8.700529621E0,1.759728465E2,3.096673165E0,4.336802752E1,5.201793229E0,4.627573268E0
7.606804419E1,5.058392199E1,8.700559985E0,1.766015135E2,3.056066052E0,4.316909609E1,5.190588676E0,4.598478379E0
7.706803036E1,5.058394535E1,8.700587798E0,1.766512718E2,3.092493540E0,4.127443081E1,5.170863311E0,4.650890081E0
7.806801617E1,5.058396516E1,8.700616913E0,1.766843413E2,2.921645392E0,4.476093247E1,5.234448961E0,4.740707872E0
7.906800151E1,5.058398475E1,8.700649824E0,1.767276706E2,3.166059915E0,4.579827241E1,5.244745393E0,4.742355286E0
8.006798720E1,5.058399758E1,8.700675313E0,1.760327354E2,2.871996340E0,4.695665435E1,5.191771731E0,4.636195346E0
8.106797218E1,5.058402236E1,8.700706557E0,1.755428674E2,3.101459952E0,4.463174011E1,5.169920501E0,4.651252308E0
8.206795704E1,5.058404042E1,8.700735011E0,1.757006407E2,3.011359951E0,4.362330189E1,5.156170710E0,4.586056493E0
8.306794274E1,5.058406066E1,8.700768309E0,1.757534799E2,3.136938151E0,4.526828698E1,5.142626452E0,4.625696650E0
8.406792784E1,5.058408062E1,8.700794300E0,1.760914772E2,2.946964237E0,4.341278519E1,5.142444181E0,4.543330206E0
8.506791174E1,5.058409861E1,8.700824829E0,1.766155815E2,2.993479823E0,4.454164469E1,5.118516587E0,4.589302594E0
8.606789637E1,5.058412261E1,8.700857471E0,1.765659607E2,3.144818108E0,4.362882268E1,5.093265166E0,4.519093507E0
8.706788063E1,5.058414203E1,8.700884796E0,1.767608572E2,3.030198634E0,4.301923719E1,5.005041825E0,4.393295408E0
8.806786513E1,5.058416600E1,8.700918774E0,1.766304943E2,3.242485153E0,4.214716404E1,4.959212367E0,4.412732217E0
8.906784916E1,5.058418336E1,8.700942562E0,1.761444556E2,2.976918742E0,4.245366194E1,5.031973417E0,4.478442815E0
9.006783283E1,5.058420535E1,8.700973162E0,1.762344426E2,3.017364369E0,4.345654437E1,5.018853009E0,4.526052171E0
9.106781757E1,5.058422645E1,8.700994711E0,1.766087277E2,2.827047879E0,3.969972907E1,5.037808986E0,4.370899102E0
9.206780064E1,5.058424826E1,8.701023869E0,1.768203594E2,3.009049627E0,3.719745658E1,5.005320843E0,4.340765192E0
9.306778431E1,5.058427389E1,8.701046091E0,1.767971668E2,3.041841549E0,3.208975054E1,5.036585230E0,4.284336953E0
9.406776786E1,5.058430574E1,8.701064733E0,1.770488286E2,3.365803940E0,2.484786503E1,4.944469923E0,4.284303195E0
9.506775165E1,5.058433136E1,8.701081370E0,1.770921438E2,3.211255134E0,2.259978908E1,4.932873666E0,4.479812098E0
9.606773508E1,5.058435796E1,8.701096734E0,1.766955739E2,3.180978744E0,2.097662389E1,4.854847422E0,4.549842975E0
9.706771851E1,5.058437834E1,8.701106750E0,1.771515169E2,2.815590594E0,1.887989835E1,4.801062960E0,4.388499862E0
