"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.455324999E-2,2.108444214E1,-3.512777328E1,-3.806653595E1
5.458224998E-2,2.111051941E1,-3.513848495E1,-3.803200531E1
6.461124998E-2,2.114884949E1,-3.499801254E1,-3.818436432E1
7.464024998E-2,2.095849609E1,-3.512740707E1,-3.823438263E1
8.466825000E-2,2.109140015E1,-3.513684464E1,-3.818193817E1
9.469725000E-2,2.108708191E1,-3.508566666E1,-3.814992523E1
1.047262500E-1,2.108068848E1,-3.512205124E1,-3.818436432E1
1.147552500E-1,2.095291138E1,-3.507438278E1,-3.804247284E1
1.247842500E-1,2.095469666E1,-3.511772537E1,-3.784632111E1
1.348132500E-1,2.078756714E1,-3.521845627E1,-3.795787811E1
1.448422500E-1,2.083937073E1,-3.527077866E1,-3.810868073E1
1.548712500E-1,2.091163635E1,-3.532851791E1,-3.813219452E1
1.649002500E-1,2.088862610E1,-3.539570999E1,-3.789588165E1
1.749292500E-1,2.078282166E1,-3.545315170E1,-3.786713409E1
1.849582500E-1,2.086244202E1,-3.552845383E1,-3.785656738E1
1.949872500E-1,2.090937805E1,-3.535364151E1,-3.782757568E1
2.050162500E-1,2.091806030E1,-3.542184830E1,-3.808473206E1
2.150452500E-1,2.085893250E1,-3.545988846E1,-3.813139343E1
2.250732500E-1,2.070883179E1,-3.557262039E1,-3.810612488E1
2.351022500E-1,2.085557556E1,-3.564770126E1,-3.817883301E1
2.451312500E-1,2.087089539E1,-3.560684586E1,-3.804029846E1
2.551602500E-1,2.080467224E1,-3.547806931E1,-3.812351990E1
2.651892500E-1,2.088415527E1,-3.544987106E1,-3.819038391E1
2.752181250E-1,2.095860291E1,-3.543059921E1,-3.813447571E1
2.852471250E-1,2.091160583E1,-3.528322983E1,-3.803279114E1
2.952761250E-1,2.089793396E1,-3.531031418E1,-3.790521240E1
3.053051250E-1,2.072908020E1,-3.536609268E1,-3.800610352E1
3.153341250E-1,2.073106384E1,-3.530748367E1,-3.805494690E1
3.253631250E-1,2.078567505E1,-3.522051620E1,-3.826971436E1
3.353921250E-1,2.088998413E1,-3.529967117E1,-3.828808594E1
3.454211250E-1,2.084170532E1,-3.526931381E1,-3.815013123E1
3.554501250E-1,2.090919495E1,-3.517414474E1,-3.832945251E1
3.654791250E-1,2.084477234E1,-3.514564133E1,-3.822315979E1
3.755081250E-1,2.069021606E1,-3.508433914E1,-3.848468018E1
3.855361250E-1,2.071607971E1,-3.505928421E1,-3.869886780E1
3.955651250E-1,2.072840881E1,-3.492496109E1,-3.871270752E1
4.055941250E-1,2.061930847E1,-3.491745377E1,-3.900880432E1
4.156231250E-1,2.051370239E1,-3.481599045E1,-3.878332520E1
4.256521250E-1,2.038845825E1,-3.468514633E1,-3.903207397E1
4.356811250E-1,2.041677856E1,-3.470251846E1,-3.898698425E1
4.457101250E-1,2.035389709E1,-3.472941208E1,-3.895567322E1
4.557391250E-1,2.018699646E1,-3.455076981E1,-3.941127014E1
4.657681250E-1,1.969096375E1,-3.443824768E1,-3.992967987E1
4.757971250E-1,1.938774109E1,-3.417198944E1,-4.019625092E1
4.858261250E-1,1.898580933E1,-3.419683075E1,-4.053144073E1
4.958551250E-1,1.898580933E1,-3.419683075E1,-4.053144073E1
5.058841250E-1,1.865095520E1,-3.417192841E1,-4.054218292E1
5.159131250E-1,1.822386169E1,-3.446743774E1,-4.056668854E1
5.259421250E-1,1.798625183E1,-3.457685089E1,-4.040737152E1
5.359711250E-1,1.784822083E1,-3.487615967E1,-4.015261078E1
5.460001250E-1,1.788090515E1,-3.500704193E1,-4.004308319E1
5.560281250E-1,1.782557678E1,-3.517330170E1,-3.994945526E1
5.660571250E-1,1.780274963E1,-3.521203232E1,-3.982821655E1
5.760861250E-1,1.762361145E1,-3.531496811E1,-3.990324402E1
5.861151250E-1,1.745744324E1,-3.527294540E1,-4.013838196E1
5.961441250E-1,1.718296814E1,-3.529364395E1,-4.005003357E1
6.061731250E-1,1.688449097E1,-3.546030045E1,-4.013941956E1
6.162021250E-1,1.673574829E1,-3.541930771E1,-4.022979736E1
6.262311250E-1,1.646965027E1,-3.560960007E1,-4.028355408E1
6.362601250E-1,1.642892456E1,-3.571796417E1,-4.026616669E1
6.462891250E-1,1.620088196E1,-3.598079681E1,-4.010045624E1
6.563181250E-1,1.616810608E1,-3.607233429E1,-3.993639374E1
6.663471250E-1,1.598175049E1,-3.623593903E1,-3.999202728E1
6.763761250E-1,1.591462708E1,-3.624102783E1,-3.977486420E1
6.864051250E-1,1.580339050E1,-3.636566925E1,-3.970215607E1
6.964341250E-1,1.567135620E1,-3.622525406E1,-3.980340576E1
7.064631250E-1,1.548048401E1,-3.626198196E1,-4.000169373E1
7.164921250E-1,1.533876038E1,-3.610364914E1,-4.017391968E1
7.265211250E-1,1.519059753E1,-3.579791641E1,-4.039927673E1
7.365501250E-1,1.517416382E1,-3.573739243E1,-4.058532715E1
7.465781250E-1,1.503958130E1,-3.569269943E1,-4.064799500E1
7.566071250E-1,1.517828369E1,-3.554777908E1,-4.089042664E1
7.666361250E-1,1.538874817E1,-3.549812698E1,-4.088847351E1
7.766651250E-1,1.581890869E1,-3.542037582E1,-4.082659912E1
7.866941250E-1,1.613862610E1,-3.543461227E1,-4.066093445E1
