"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.651958334E-3,-3.926484833E0,6.257437592E0,6.497987366E0
1.667995832E-2,-3.948788452E0,6.208489380E0,6.505920868E0
2.670895835E-2,-3.960913239E0,6.241420898E0,6.414461060E0
3.673695834E-2,-3.961062927E0,6.218967590E0,6.304140472E0
4.676495833E-2,-3.943699036E0,6.176905060E0,6.281537476E0
5.679395833E-2,-3.846251678E0,6.170318756E0,6.299350433E0
6.682195835E-2,-3.767066345E0,6.098767548E0,6.352789307E0
7.685095834E-2,-3.706143036E0,6.077661438E0,6.446793823E0
8.687895833E-2,-3.607647858E0,6.024821320E0,6.620133362E0
9.690795833E-2,-3.612587585E0,5.913003845E0,6.680906982E0
1.069359583E-1,-3.428320770E0,5.920937347E0,6.747518463E0
1.169649583E-1,-3.376678162E0,6.031856689E0,6.865473175E0
1.269929583E-1,-3.516786804E0,5.945486298E0,6.956932983E0
1.370219583E-1,-3.525019684E0,5.840105438E0,7.028334503E0
1.470499584E-1,-3.485950928E0,5.763165436E0,7.128476257E0
1.570789583E-1,-3.477418671E0,5.748795319E0,7.087012482E0
1.671069583E-1,-3.477568359E0,5.782325592E0,6.926546173E0
1.771349583E-1,-3.413351898E0,5.713319092E0,6.919959869E0
1.871639583E-1,-3.255579987E0,5.675447845E0,7.009473724E0
1.971919583E-1,-3.139122162E0,5.750741272E0,7.150929565E0
2.072209583E-1,-3.210523682E0,5.781726837E0,7.200177155E0
2.172489583E-1,-3.284320221E0,5.751938782E0,7.202422485E0
2.272779583E-1,-3.226540375E0,5.722450104E0,7.214547272E0
2.373059583E-1,-3.103047180E0,5.650300140E0,7.281757507E0
2.473349583E-1,-3.066373444E0,5.619913330E0,7.356452179E0
2.573629583E-1,-3.071911926E0,5.656736755E0,7.421716461E0
2.673919583E-1,-3.169808350E0,5.724545746E0,7.492219849E0
2.774199584E-1,-3.132236481E0,5.739364929E0,7.581584015E0
2.874489583E-1,-2.957400055E0,5.564079437E0,7.638615417E0
2.974769583E-1,-2.653831329E0,5.198539581E0,7.560028839E0
3.075059583E-1,-2.282603302E0,5.087919617E0,7.481442261E0
3.175339583E-1,-2.296374664E0,5.316793671E0,7.437733154E0
3.275619583E-1,-2.596799927E0,5.544170837E0,7.383845215E0
3.375909583E-1,-2.775977325E0,5.602549438E0,7.329508209E0
3.476189583E-1,-2.701731720E0,5.579497375E0,7.341782684E0
3.576479583E-1,-2.602039032E0,5.483247528E0,7.420219574E0
3.676759583E-1,-2.478096771E0,5.407654724E0,7.369026031E0
3.777049583E-1,-2.447709961E0,5.362598419E0,7.322173462E0
3.877329583E-1,-2.482737122E0,5.382956085E0,7.368576965E0
3.977619583E-1,-2.478845215E0,5.364993439E0,7.366930389E0
4.077899583E-1,-2.650987244E0,5.127437439E0,7.214098206E0
4.178189583E-1,-2.405647430E0,5.043911133E0,7.201374664E0
4.278469583E-1,-2.197430420E0,5.214556274E0,7.253765717E0
4.378759583E-1,-2.315684509E0,5.348377991E0,7.234306183E0
4.479039583E-1,-2.454895020E0,5.364993439E0,7.129673767E0
4.579329584E-1,-2.477048950E0,5.349575500E0,7.043602753E0
4.679609583E-1,-2.218686218E0,5.349725189E0,6.957831116E0
4.779899583E-1,-2.240391083E0,5.015919342E0,6.917864227E0
4.880179583E-1,-2.083517303E0,4.941823425E0,7.195237427E0
