Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),DGM_Height_m
0.612220645,50.58442946,8.699866758,176.4440954,0.0,204.6164088,13.05121485,9.292976785,161.6800079345703
1.612204671,50.5844284,8.699865989,176.3584842,0.09064856093,204.6164082,13.20878448,9.373843113,161.6800079345703
2.612187266,50.5844292,8.699867946,176.4746095,0.02651920295,204.6164088,13.23557092,9.489031708,161.6800079345703
3.612170458,50.58442854,8.699863487,176.1433695,0.1731353357,204.616408,13.01481495,9.597426935,161.77500915527344
4.612154126,50.58442888,8.699864481,176.297847,0.0,204.6164082,13.08084488,9.801782624,161.6800079345703
5.612137198,50.58442479,8.699865825,176.2674619,0.1832327173,204.6164065,13.2948641,9.29925255,161.6800079345703
6.612120986,50.58442425,8.699865398,176.6806644,0.09456603938,204.6164061,13.059504,9.370998525,161.73300170898438
7.612103701,50.58441819,8.699867194,176.6964269,0.2348724568,204.6164035,12.84812905,9.512897918,161.73300170898438
8.612087727,50.58439967,8.699846225,176.7339381,1.429423425,214.20263,12.61857278,9.586057476,161.91600036621094
9.612070799,50.58437437,8.699813429,176.8142777,2.428322593,216.6346349,12.85510196,10.03057643,162.0080108642578
10.61205339,50.58436066,8.699780402,176.6625094,2.542684399,223.9536967,12.85718655,10.0092884,162.0290069580078
11.61203742,50.5843415,8.6997436,177.1134284,2.810173254,228.3066904,12.99681726,10.06905631,162.08900451660156
12.61202013,50.58431859,8.699711312,176.4418939,3.00968475,224.3739444,12.89306394,10.0107769,162.24200439453125
13.61200368,50.58429765,8.69968144,176.4745436,2.985427556,221.9594557,12.76767918,10.10682832,162.33900451660156
14.61198723,50.58427523,8.699651993,176.2871553,3.053494684,220.8332261,12.30435526,9.970900806,162.45901489257812
15.61197066,50.58425483,8.699623082,176.2160456,3.075647784,220.9059661,11.86698893,9.81395638,162.4980010986328
16.61195421,50.58422958,8.699595964,176.5127828,3.053679367,218.3744476,11.5492023,9.656268058,162.68301391601562
17.61193788,50.58420998,8.699565842,175.8316429,3.111813982,218.9820029,11.14204324,9.405943139,162.65501403808594
18.61192131,50.58419304,8.699538885,176.2731746,2.899829051,222.123743,10.76218666,9.123629071,163.04600524902344
19.61190438,50.58416915,8.699510858,176.9415255,3.015233177,218.782615,10.46248283,8.865875592,163.16400146484375
20.61188817,50.5841486,8.699485044,177.2491023,2.945413768,216.8806695,10.21505861,8.686738351,163.19200134277344
21.61187148,50.58412958,8.699451542,177.3339534,3.028902773,222.2330945,9.94796774,8.553675372,163.04800415039062
22.61185563,50.58411644,8.699418956,176.6057664,2.847739304,229.8344856,9.741115941,8.592168682,163.0800018310547
23.61183894,50.5840949,8.699386212,176.1882141,3.04008019,226.1336937,9.408131539,8.43117253,163.2570037841797
24.61182189,50.58407464,8.699355803,176.3520957,2.918667114,226.4652365,9.138442451,8.286994243,163.39300537109375
25.6118058,50.5840543,8.699330238,176.6133444,2.968116483,222.2137379,9.052803611,8.245686935,163.4820098876953
26.61178946,50.58403657,8.699303565,177.1799176,2.907345331,222.6139856,8.937607596,8.225429848,163.62100219726562
27.61177361,50.58401713,8.699276831,176.849297,2.74441265,223.2504897,8.716499146,7.897751529,163.8050079345703
28.61175644,50.58398682,8.699256163,175.9345775,2.923681348,211.765328,8.521761047,7.708940273,164.09201049804688
29.61173987,50.58396006,8.699241521,175.6352141,2.988328595,206.2153016,8.355875952,7.531782368,164.37600708007812
30.61172354,50.58393627,8.699225134,176.4740956,2.968243549,206.043658,8.116159781,7.429072256,164.5240020751953
31.61170673,50.58390866,8.699220562,176.2444424,2.964432448,196.818911,7.919284037,7.316399053,164.74900817871094
32.611691,50.58387994,8.699212571,176.1968182,2.962025965,193.0430345,7.737546202,7.142049096,165.04100036621094
33.61167431,50.58385494,8.69920708,176.9783192,2.810994975,190.8378377,7.59556337,7.075945587,165.1680145263672
34.61165798,50.58382356,8.69921009,176.6788576,3.072025892,182.8541763,7.421365266,6.854850579,165.52301025390625
35.61164117,50.58379676,8.699215099,176.7687902,2.994310082,178.000988,7.265749949,6.610116487,166.82101440429688
36.61162436,50.58376763,8.699228992,176.9989238,3.157717596,171.9860032,7.142120371,6.544422647,168.8400115966797
37.61160851,50.58374095,8.699250273,176.7093969,3.255877181,163.7036453,7.053170699,6.348814945,171.05801391601562
38.61159217,50.58371401,8.699258453,176.3781275,3.218204317,166.1069981,6.921707744,6.299450435,172.2110137939453
39.61157608,50.58369208,8.699277154,176.3404251,2.884597086,160.604949,6.802072209,6.237697875,173.1610107421875
40.61155963,50.58366988,8.699301678,175.996489,2.810083995,152.9137442,6.736205374,6.134341884,173.3990020751953
41.61154366,50.58364496,8.699325123,175.7526839,2.922904922,152.461749,6.648090223,6.075552939,173.46200561523438
42.61152661,50.58362057,8.699347781,175.7401686,2.864751316,152.0255467,6.489127953,5.964424176,173.4130096435547
43.61150992,50.583603,8.699382288,175.9175279,2.797522189,142.3534338,6.380135218,5.730976058,173.46200561523438
44.61149418,50.58358296,8.699424445,176.0766713,3.102278855,134.5318138,6.305132371,5.592773431,173.52101135253906
45.61147785,50.58356782,8.699456383,175.8586874,2.891577093,132.803158,6.205333106,5.565340548,173.65301513671875
46.61146069,50.58355403,8.699490342,175.9226456,2.731773161,128.5933327,6.039355048,5.282483358,173.51400756835938
47.61144507,50.58354684,8.699546918,176.2752597,2.984260093,112.9930075,5.941572594,5.093895621,173.23001098632812
48.61142814,50.58353515,8.699592816,175.8645357,3.051800393,112.433843,5.987013896,5.001060778,173.18301391601562
49.61141145,50.58353069,8.699639895,176.2404128,3.009600471,104.9404547,5.929204457,4.944725713,173.1070098876953
50.61139536,50.58352492,8.699691191,176.1517577,3.194792309,102.7434778,5.886990369,4.808038261,172.64300537109375
