"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.566833472E-3,-3.597618713E0,1.937720490E0,8.885971527E0
2.661783341E-2,-3.702849884E0,1.922302551E0,8.938212891E0
3.664283338E-2,-3.728596344E0,1.906734924E0,8.895551605E0
4.666783335E-2,-3.701053619E0,1.908680878E0,8.840017090E0
5.669283331E-2,-3.689377899E0,1.919458466E0,8.814719696E0
6.671783351E-2,-3.713178406E0,1.932331696E0,8.769364014E0
7.674283348E-2,-3.764222260E0,1.957329712E0,8.755742340E0
8.676783345E-2,-3.752696228E0,1.922003174E0,8.854387207E0
9.679283341E-2,-3.764072571E0,1.899400177E0,8.912466431E0
1.068178334E-1,-3.763024750E0,1.900148621E0,8.857231293E0
1.168438334E-1,-3.780238953E0,1.901645508E0,8.783734131E0
1.268688333E-1,-3.850293274E0,1.871558075E0,8.744964752E0
1.368938333E-1,-3.896696777E0,1.902094574E0,8.698561249E0
1.469188335E-1,-3.836072845E0,1.934876404E0,8.722212067E0
1.569438335E-1,-3.738475800E0,1.977986755E0,8.731343079E0
1.669688334E-1,-3.700155487E0,2.011367340E0,8.735833740E0
1.769938334E-1,-3.705394592E0,2.041305084E0,8.737031250E0
1.870188334E-1,-3.681594086E0,2.051932983E0,8.682694244E0
1.970438333E-1,-3.641477509E0,2.095342712E0,8.664282532E0
2.070698333E-1,-3.646117859E0,2.104922791E0,8.677455139E0
2.170948335E-1,-3.672612762E0,2.083816681E0,8.674161987E0
2.271198335E-1,-3.703448639E0,2.062411194E0,8.726103973E0
2.371448334E-1,-3.736978912E0,2.063459015E0,8.761729889E0
2.471698334E-1,-3.799997864E0,2.013163605E0,8.818012848E0
2.571948334E-1,-3.842210083E0,2.007625122E0,8.832981720E0
2.672198333E-1,-3.791016541E0,2.024240570E0,8.801098022E0
2.772448333E-1,-3.720962219E0,2.033670959E0,8.732540588E0
2.872708335E-1,-3.695814514E0,2.018253021E0,8.648116150E0
2.972958335E-1,-3.727847900E0,2.024839325E0,8.578959961E0
3.073208334E-1,-3.773053894E0,2.038011932E0,8.578660583E0
3.173458334E-1,-3.718866577E0,2.068548431E0,8.531508636E0
3.273708334E-1,-3.672014008E0,2.098785553E0,8.473279724E0
3.373958333E-1,-3.724554749E0,2.108066254E0,8.406967621E0
3.474208333E-1,-3.724854126E0,2.129621429E0,8.233478394E0
3.574458335E-1,-3.676354980E0,2.193538513E0,8.083041229E0
3.674708335E-1,-3.626658325E0,2.317031708E0,7.869435425E0
3.774968334E-1,-3.527414703E0,2.474504242E0,7.673193512E0
3.875218334E-1,-3.314557343E0,2.677931213E0,7.636669464E0
3.975468334E-1,-3.014880524E0,2.956052856E0,7.679630127E0
4.075718333E-1,-2.592908020E0,3.381917267E0,7.759863281E0
4.175968333E-1,-2.299518127E0,3.704047394E0,8.103698273E0
4.276218335E-1,-2.018702087E0,3.863615570E0,8.338859253E0
4.376468335E-1,-1.709295502E0,4.019441528E0,8.382568359E0
4.476718334E-1,-1.447789307E0,4.117038574E0,8.148305511E0
4.576978334E-1,-1.237626343E0,4.114344177E0,7.727829895E0
4.677228334E-1,-9.503736877E-1,4.018693085E0,7.486531677E0
4.777478334E-1,-6.039939880E-1,3.845952301E0,7.430398407E0
4.877728333E-1,-4.538562012E-1,3.567381592E0,7.382498016E0
4.977978333E-1,-8.370593262E-1,3.247347107E0,6.940766602E0
