"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.566833472E-3,2.993096924E1,8.717468262E0,-3.675994873E1
2.661783341E-2,2.981311035E1,8.631530762E0,-3.670413208E1
3.664283338E-2,2.983729553E1,8.479064941E0,-3.671096802E1
4.666783335E-2,2.996456909E1,8.607849121E0,-3.676666260E1
5.669283331E-2,2.987811279E1,8.374389648E0,-3.712959290E1
6.671783351E-2,2.989006042E1,8.469207764E0,-3.700215149E1
7.674283348E-2,2.981919861E1,8.414825439E0,-3.698321533E1
8.676783345E-2,2.967648315E1,8.336578369E0,-3.693806458E1
9.679283341E-2,2.962844849E1,8.285827637E0,-3.688534546E1
1.068178334E-1,2.975712585E1,8.357269287E0,-3.717984009E1
1.168438334E-1,2.980111694E1,8.395111084E0,-3.730085754E1
1.268688333E-1,2.989898682E1,8.340545654E0,-3.722195435E1
1.368938333E-1,2.973844910E1,8.330596924E0,-3.725019836E1
1.469188335E-1,2.961871338E1,8.347198486E0,-3.749131775E1
1.569438335E-1,2.972627258E1,8.315490723E0,-3.727757263E1
1.669688334E-1,2.974987793E1,8.404052734E0,-3.750222778E1
1.769938334E-1,2.978820801E1,8.449005127E0,-3.730747986E1
1.870188334E-1,2.979142761E1,8.319671631E0,-3.731250000E1
1.970438333E-1,2.970732117E1,8.391204834E0,-3.726705933E1
2.070698333E-1,2.966876221E1,8.229461670E0,-3.737663269E1
2.170948335E-1,2.965980530E1,8.381103516E0,-3.722546387E1
2.271198335E-1,2.960107422E1,8.274200439E0,-3.739967346E1
2.371448334E-1,2.972760010E1,8.360626221E0,-3.716928101E1
2.471698334E-1,2.965402222E1,8.122131348E0,-3.743095398E1
2.571948334E-1,2.966577148E1,8.404357910E0,-3.721067810E1
2.672198333E-1,2.948503113E1,8.228210449E0,-3.731939697E1
2.772448333E-1,2.938002014E1,8.299194336E0,-3.716377258E1
2.872708335E-1,2.951524353E1,8.313232422E0,-3.735195923E1
2.972958335E-1,2.949858093E1,8.380737305E0,-3.698611450E1
3.073208334E-1,2.969931030E1,8.479187012E0,-3.722746277E1
3.173458334E-1,2.962596130E1,8.518859863E0,-3.712203979E1
3.273708334E-1,2.960012817E1,8.463256836E0,-3.722334290E1
3.373958333E-1,2.953038025E1,8.526428223E0,-3.712667847E1
3.474208333E-1,2.950167847E1,8.450775146E0,-3.725590515E1
3.574458335E-1,2.943411255E1,8.606201172E0,-3.715473938E1
3.674708335E-1,2.938136292E1,8.652862549E0,-3.740621948E1
3.774968334E-1,2.925054932E1,8.733581543E0,-3.717608643E1
3.875218334E-1,2.925393677E1,8.676086426E0,-3.751103210E1
3.975468334E-1,2.897996521E1,8.918151855E0,-3.751301575E1
4.075718333E-1,2.893235779E1,8.987091064E0,-3.776640320E1
4.175968333E-1,2.871595764E1,9.186859131E0,-3.760151672E1
4.276218335E-1,2.872525024E1,9.409210205E0,-3.775096130E1
4.376468335E-1,2.837622070E1,9.732971191E0,-3.771846008E1
4.476718334E-1,2.836216736E1,9.941040039E0,-3.816577148E1
4.576978334E-1,2.807269287E1,1.026257324E1,-3.785769653E1
4.677228334E-1,2.830337524E1,1.100045776E1,-3.763398743E1
4.777478334E-1,2.813783264E1,1.147116089E1,-3.797106934E1
4.877728333E-1,2.790660095E1,1.215182495E1,-3.771519470E1
4.977978333E-1,2.779701233E1,1.282116699E1,-3.789299011E1
5.078228335E-1,2.747837830E1,1.378305054E1,-3.794473267E1
5.178478335E-1,2.683102417E1,1.458642578E1,-3.841868591E1
5.278734583E-1,2.564228821E1,1.532791138E1,-3.881278992E1
