Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),DGM_Height_m
0.1288119555,50.58299321,8.691816616,175.6844415,0.06440531347,,29.99343813,16.79894255,187.9810028076172
1.128795028,50.58299934,8.691817565,175.76725,0.05937759871,,29.07024763,16.25431257,187.9810028076172
2.128776312,50.58300598,8.691822405,175.6848869,0.2479646042,,29.30607354,16.98411036,187.97100830078125
3.128759503,50.58300571,8.691824232,175.6006562,0.2145434913,,28.73422348,16.55084092,187.97100830078125
4.12874198,50.58300643,8.691833471,175.442093,0.1432507901,,28.24541575,16.34437518,187.97100830078125
5.128724933,50.58300644,8.691832931,175.526469,0.2474293814,,28.24541575,16.61707629,187.97100830078125
6.12870729,50.58301153,8.69183738,175.3198302,0.04435762066,,28.09764294,17.13712272,187.96400451660156
7.128689766,50.58300451,8.691835556,175.2255981,0.05886801574,,28.16296943,16.83564052,187.97100830078125
8.128673792,50.58301159,8.691843843,175.60691,0.1894745233,,27.65254403,16.56583764,187.96400451660156
9.128654957,50.58300891,8.691846105,175.511116,0.08033237648,,27.67205604,15.55459023,188.08401489257812
10.12863874,50.58301586,8.691829309,175.6800435,0.1628511021,,27.53613292,15.26319728,187.9350128173828
11.12862134,50.58302275,8.691830564,175.6384488,0.08770424723,,28.34504595,15.54953227,187.90301513671875
12.12860382,50.58302987,8.691821619,175.7945475,0.5420378763,318.6599473,28.23729482,14.98326545,187.81700134277344
13.12858689,50.58303231,8.691787617,175.4762625,1.706314856,307.0295143,28.35678618,14.61299561,187.84600830078125
14.12856984,50.58302929,8.691757133,175.1693497,1.702726686,285.902347,28.3170986,13.82979097,187.84800720214844
15.12855303,50.5830221,8.691718221,175.4361772,2.320012819,277.7788029,27.90001396,13.19205073,188.135009765625
16.12853575,50.58301365,8.691681151,174.538591,2.855730463,272.4734605,27.51079674,12.53198171,188.18301391601562
17.12851822,50.58300478,8.691642742,174.6767378,2.415369806,269.1220674,27.51145291,12.56265697,188.25401306152344
18.1285013,50.5829966,8.69161101,174.3655769,2.393713601,265.247955,26.61225866,12.41630862,188.2930145263672
19.12848461,50.58299225,8.691575603,174.4058953,2.3214365,269.8835933,25.8660626,12.22077865,188.31700134277344
20.12846768,50.58298908,8.691522731,174.5258198,2.48701679,271.0048234,25.86606256,12.44614168,188.39500427246094
21.12844992,50.58298926,8.691492908,174.0624585,2.621754287,275.9643406,25.8660624,12.64734553,188.33700561523438
22.12843382,50.5829884,8.691454779,174.3298797,2.267903815,276.3968609,22.01394889,10.975962,188.24501037597656
23.1284163,50.58298756,8.691404436,174.5675065,2.461676255,279.1509997,20.33020314,9.990618186,188.6160125732422
24.12839961,50.58298625,8.691367398,174.4792609,2.442945878,280.617218,18.01563825,8.905074921,188.54701232910156
25.12838233,50.58298221,8.691342313,174.4282339,2.255021991,273.2264984,16.53382883,8.00676138,188.57200622558594
26.12836504,50.58298382,8.691294003,174.7568309,2.477740255,278.2701437,16.04632514,7.722551868,188.11300659179688
27.12834871,50.58298724,8.691254215,174.5942908,2.397534187,281.9183815,15.55401938,7.413358264,188.11700439453125
28.12833178,50.58298209,8.691217995,174.7303984,2.367519536,272.6740277,15.47429051,7.476930213,188.17201232910156
29.1283145,50.58298456,8.69118297,174.5041843,2.354687796,276.0098767,14.53686793,7.152134976,188.24200439453125
30.12829864,50.58298538,8.691139693,174.3871912,2.509386281,276.9453268,14.06440989,6.910288589,188.2620086669922
31.12828112,50.58298958,8.691102056,174.0618494,2.630587923,278.1443967,13.64902325,6.662336254,188.2130126953125
32.12826419,50.58299124,8.691061401,174.3451286,2.594769389,273.1006185,13.42049084,6.556882097,188.3090057373047
33.12824726,50.58299709,8.691013349,174.2178972,2.729509157,280.2597128,12.8059666,6.132290566,188.33900451660156
34.12823021,50.5830058,8.690976627,174.0205254,2.686787073,287.6138119,12.73951317,6.032804359,188.53500366210938
35.12821436,50.58300699,8.690925285,173.9212305,2.575295896,282.970995,12.73951312,6.107588391,188.8260040283203
36.12819648,50.58300417,8.690884055,173.8825678,2.563433463,274.7631415,12.73951313,6.080575948,188.74400329589844
37.12817943,50.58300947,8.690835613,173.9791164,2.857337022,284.6287362,12.73951318,5.955941077,188.72801208496094
38.12816262,50.58300617,8.690802932,173.9503924,2.436538333,274.0590647,12.73951321,5.83185149,188.67901611328125
39.12814653,50.58301134,8.690762977,174.386054,2.309148568,290.1620192,12.26483719,5.626506868,188.64401245117188
40.12812936,50.58301071,8.690715921,174.1874733,2.588399096,279.4762869,13.41798098,6.122649814,188.60800170898438
41.12811208,50.58301233,8.69068127,173.8169584,2.267353249,274.4956182,14.06582625,6.434932568,188.59201049804688
42.12809515,50.58301511,8.690659364,173.1699535,1.626757707,282.4564889,13.23604645,6.110831784,188.49600219726562
43.12807894,50.58302595,8.690595952,172.9778401,2.744052686,296.766404,12.99664562,6.361489169,188.44700622558594
44.12806249,50.58302429,8.690560802,172.6804242,2.215216777,279.783486,13.20738371,6.573439647,188.3570098876953
45.12804544,50.58303683,8.690527122,172.0152651,2.211303615,300.9062903,12.95424925,6.583221994,188.239013671875
46.12802875,50.58304754,8.690497123,171.5546423,2.191263599,294.7372233,13.13811892,6.510568549,188.16000366210938
47.12801135,50.58305591,8.690459537,171.5395762,2.305374976,285.9719045,12.96257327,6.346034373,188.07701110839844
48.12799501,50.58306197,8.690416476,171.2195139,2.515952435,286.5994939,12.96257323,6.22352679,187.95901489257812
49.12797844,50.58306041,8.690370898,171.082738,2.541805045,273.6134608,13.65307993,6.500144378,187.89401245117188
50.12796128,50.58306443,8.690337162,170.9651194,2.408668946,277.3571404,13.76376956,6.590853602,187.78700256347656
51.12794471,50.58307382,8.69030489,170.8929244,2.354991593,286.7980184,13.59415158,6.550334389,187.69601440429688
52.1279279,50.58307033,8.690278876,170.1280211,2.646456547,274.9866832,13.1543357,6.447956867,187.63400268554688
53.12791109,50.58307314,8.690249968,170.3401068,2.418176864,280.3447066,12.78871357,6.255112617,187.59800720214844
54.12789345,50.58306716,8.690215934,169.8417524,2.129594886,273.5665731,12.43402302,5.877770847,187.5810089111328
55.12787676,50.58306558,8.690169491,169.6295142,2.084631471,270.490574,12.31210953,5.846749963,187.5760040283203
56.12786007,50.5830606,8.690125844,169.5221657,2.377051791,271.5334438,12.54560756,5.839609248,187.47801208496094
