"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.442083538E-4,3.371444702E0,-3.582717896E1,-4.401458740E1
1.096820831E-2,3.581024170E0,-3.551351929E1,-4.390008545E1
2.099220827E-2,3.632049561E0,-3.542111206E1,-4.398005676E1
3.101720847E-2,3.827377319E0,-3.522317505E1,-4.414273071E1
4.104120843E-2,3.929016113E0,-3.512887573E1,-4.435496521E1
5.106520839E-2,3.943374634E0,-3.509295654E1,-4.444082642E1
6.108920835E-2,4.079589844E0,-3.503747559E1,-4.458000183E1
7.111420855E-2,4.179519653E0,-3.506509399E1,-4.452896118E1
8.113820851E-2,4.176696777E0,-3.501300049E1,-4.434231567E1
9.116220847E-2,4.242904663E0,-3.504000854E1,-4.458151245E1
1.011862084E-1,4.248489380E0,-3.501016235E1,-4.456481934E1
1.112102084E-1,4.295608521E0,-3.495480347E1,-4.464163208E1
1.212352086E-1,4.510986328E0,-3.484136963E1,-4.464376831E1
1.312592085E-1,4.644409180E0,-3.490841675E1,-4.474105835E1
1.412832085E-1,4.742309570E0,-3.477301025E1,-4.493180847E1
1.513072085E-1,4.854171753E0,-3.462762451E1,-4.490098572E1
1.613322087E-1,4.923385620E0,-3.458847046E1,-4.480337524E1
1.713562086E-1,5.244094849E0,-3.447341919E1,-4.473040771E1
1.813802086E-1,5.244094849E0,-3.447341919E1,-4.473040771E1
1.914042085E-1,5.812850952E0,-3.414443970E1,-4.508082581E1
2.014292083E-1,5.859375000E0,-3.398010254E1,-4.512510681E1
2.114532082E-1,6.287155151E0,-3.381060791E1,-4.511761475E1
2.214772087E-1,6.550109863E0,-3.372088623E1,-4.531968689E1
2.315012086E-1,6.877258301E0,-3.360321045E1,-4.535626221E1
2.415262084E-1,7.103286743E0,-3.356649780E1,-4.541703796E1
2.515502083E-1,7.271942139E0,-3.347909546E1,-4.562834167E1
2.615742083E-1,7.537506104E0,-3.332705688E1,-4.577445984E1
2.715982082E-1,7.728820801E0,-3.320504761E1,-4.558862305E1
2.816222087E-1,7.898300171E0,-3.302297974E1,-4.572653198E1
2.916472084E-1,8.176712036E0,-3.286032104E1,-4.587358093E1
3.016712083E-1,8.482070923E0,-3.266058350E1,-4.584683228E1
3.116952083E-1,8.786529541E0,-3.241595459E1,-4.597395325E1
3.217192083E-1,9.186080933E0,-3.231744385E1,-4.599041748E1
3.317442085E-1,9.530441284E0,-3.211895752E1,-4.601063538E1
3.417682084E-1,9.780883789E0,-3.188925171E1,-4.645719910E1
3.517922084E-1,1.015757751E1,-3.172946167E1,-4.623764038E1
3.618162083E-1,1.041993713E1,-3.140188599E1,-4.624342346E1
3.718412085E-1,1.088841248E1,-3.116888428E1,-4.640959167E1
3.818652085E-1,1.128686523E1,-3.097766113E1,-4.646307373E1
3.918892085E-1,1.164584351E1,-3.073355103E1,-4.647114563E1
4.019132084E-1,1.200730896E1,-3.065090942E1,-4.659196472E1
4.119382086E-1,1.222128296E1,-3.047122192E1,-4.655871582E1
4.219622086E-1,1.257031250E1,-3.028900146E1,-4.648420715E1
4.319862085E-1,1.277600098E1,-3.010601807E1,-4.648391724E1
4.420102085E-1,1.287286377E1,-2.989703369E1,-4.670803833E1
4.520352082E-1,1.298431396E1,-2.981668091E1,-4.660571289E1
4.620592087E-1,1.310466003E1,-2.958160400E1,-4.677685547E1
4.720832086E-1,1.330725098E1,-2.928500366E1,-4.701126099E1
4.821072086E-1,1.322966003E1,-2.897268677E1,-4.708532715E1
4.921322083E-1,1.334957886E1,-2.864636230E1,-4.719763184E1
5.021562083E-1,1.321589661E1,-2.824792480E1,-4.753689575E1
5.121802082E-1,1.295674133E1,-2.788052368E1,-4.795802307E1
5.222042087E-1,1.302586365E1,-2.738534546E1,-4.822155762E1
5.322282086E-1,1.295829773E1,-2.682949829E1,-4.840826416E1
5.422532083E-1,1.296522522E1,-2.635781860E1,-4.853561401E1
5.522772083E-1,1.288627625E1,-2.576007080E1,-4.900434875E1
5.623012083E-1,1.262854004E1,-2.510321045E1,-4.950791931E1
5.723262085E-1,1.248393250E1,-2.457766724E1,-5.003454590E1
5.823497502E-1,1.246008301E1,-2.410409546E1,-5.029354858E1
5.923737502E-1,1.239465332E1,-2.357006836E1,-5.041786194E1
6.023977501E-1,1.229750061E1,-2.324203491E1,-5.067393494E1
6.124227503E-1,1.218093872E1,-2.283590698E1,-5.105409241E1
6.224467503E-1,1.192651367E1,-2.231130981E1,-5.122624207E1
6.324707502E-1,1.151022339E1,-2.203552246E1,-5.166020203E1
6.424947502E-1,1.116395569E1,-2.142462158E1,-5.192543030E1
6.525197499E-1,1.087812805E1,-2.078375244E1,-5.226869202E1
6.625437499E-1,1.059602356E1,-2.004827881E1,-5.259169006E1
6.725677503E-1,1.035452271E1,-1.929260254E1,-5.280323792E1
6.825917503E-1,1.019422913E1,-1.860839844E1,-5.329179382E1
6.926167500E-1,1.005108643E1,-1.777597046E1,-5.356832886E1
7.026407500E-1,9.761489868E0,-1.701318359E1,-5.373344421E1
7.126647499E-1,9.441635132E0,-1.623623657E1,-5.417866516E1
7.226887499E-1,9.142990112E0,-1.525616455E1,-5.453576660E1
7.327137501E-1,8.171432495E0,-1.339553833E1,-5.503060913E1
7.427377501E-1,7.384399414E0,-1.280355835E1,-5.544801331E1
7.527617500E-1,6.420211792E0,-1.223364258E1,-5.557450867E1
7.627857500E-1,5.633941650E0,-1.165744019E1,-5.581007385E1
7.728107502E-1,4.791412354E0,-1.134942627E1,-5.577600098E1
7.828347501E-1,3.996398926E0,-1.108468628E1,-5.584730530E1
7.928587501E-1,3.176788330E0,-1.095907593E1,-5.603654480E1
8.028827501E-1,2.383422852E0,-1.100326538E1,-5.605131531E1
8.129077503E-1,1.599929810E0,-1.087316895E1,-5.579891968E1
8.229317502E-1,9.763031006E-1,-1.095635986E1,-5.588661194E1
8.329557502E-1,3.182220459E-1,-1.115536499E1,-5.575553894E1
8.429797501E-1,-2.852783203E-1,-1.104769897E1,-5.580661011E1
8.530047503E-1,-8.444061279E-1,-1.112594604E1,-5.563919067E1
8.630287503E-1,-1.357727051E0,-1.103176880E1,-5.572532654E1
8.730527502E-1,-1.874725342E0,-1.100454712E1,-5.576295471E1
8.830767502E-1,-2.218963623E0,-1.078997803E1,-5.570652771E1
8.931017499E-1,-2.588317871E0,-1.055670166E1,-5.566885376E1
9.031257499E-1,-2.886184692E0,-1.020693970E1,-5.541424561E1
9.131497503E-1,-3.263809204E0,-1.007904053E1,-5.532090759E1
9.231737503E-1,-3.621826172E0,-1.011373901E1,-5.514179993E1
9.331987500E-1,-4.296615601E0,-1.015847778E1,-5.503210449E1
9.432227500E-1,-4.871566772E0,-1.032144165E1,-5.496701050E1
9.532467499E-1,-5.459732056E0,-1.058398438E1,-5.477590942E1
9.632717501E-1,-6.185913086E0,-1.090426636E1,-5.433158875E1
9.732957501E-1,-6.899032593E0,-1.130654907E1,-5.411880493E1
9.833197501E-1,-7.610214233E0,-1.179867554E1,-5.378004456E1
9.933437500E-1,-8.079269409E0,-1.246798706E1,-5.348883057E1
1.003368750E0,-8.629867554E0,-1.294845581E1,-5.291067505E1
1.013392750E0,-9.140274048E0,-1.323782349E1,-5.261349487E1
1.023416750E0,-9.270767212E0,-1.347726440E1,-5.246012878E1
1.033440750E0,-9.330383301E0,-1.367916870E1,-5.210404968E1
1.043465750E0,-9.341934204E0,-1.399475098E1,-5.178044128E1
1.053489750E0,-8.980026245E0,-1.419412231E1,-5.196893311E1
1.063513750E0,-8.544830322E0,-1.460894775E1,-5.152876282E1
1.073537750E0,-8.041595459E0,-1.498379517E1,-5.117530823E1
1.083562750E0,-7.279144287E0,-1.553027344E1,-5.091229248E1
1.093586750E0,-6.424652100E0,-1.614453125E1,-5.066813660E1
1.103610750E0,-5.863693237E0,-1.664697266E1,-5.062773132E1
1.113635750E0,-5.345779419E0,-1.722998047E1,-5.041241455E1
1.123659750E0,-4.871963501E0,-1.777218628E1,-5.028697205E1
1.133683750E0,-4.445434570E0,-1.835784912E1,-4.982275391E1
1.143707750E0,-4.107009888E0,-1.899243164E1,-4.941284180E1
1.153732750E0,-3.446609497E0,-1.958435059E1,-4.910678101E1
1.163756750E0,-2.837142944E0,-2.033407593E1,-4.872000122E1
1.173780750E0,-2.203994751E0,-2.090863037E1,-4.821339417E1
1.183804750E0,-1.601165771E0,-2.141387939E1,-4.784910583E1
1.193829750E0,-8.325958252E-1,-2.163836670E1,-4.762091064E1
1.203853750E0,-1.378479004E-1,-2.212936401E1,-4.748536682E1
1.213877750E0,2.759399414E-1,-2.241339111E1,-4.707374573E1
1.223901750E0,6.618194580E-1,-2.303448486E1,-4.678684998E1
1.233926750E0,7.836151123E-1,-2.361666870E1,-4.615830994E1
1.243950750E0,3.101501465E-1,-2.431365967E1,-4.554101562E1
1.253974750E0,-3.694610596E-1,-2.509567261E1,-4.528222656E1
1.263999750E0,-1.246078491E0,-2.634841919E1,-4.438667297E1
1.274023750E0,-3.707565308E0,-2.879367065E1,-4.242427063E1
1.284047750E0,-5.263641357E0,-3.020355225E1,-4.140101624E1
1.294071750E0,-7.034790039E0,-3.173190308E1,-4.023573303E1
1.304096750E0,-8.604263306E0,-3.302319336E1,-3.842254639E1
1.314120750E0,-1.005793762E1,-3.418530273E1,-3.660568237E1
1.324144750E0,-1.156362915E1,-3.538528442E1,-3.461912537E1
1.334168750E0,-1.269422913E1,-3.676507568E1,-3.271353149E1
1.344193750E0,-1.358145142E1,-3.780593872E1,-3.098280334E1
1.354217750E0,-1.446868896E1,-3.908309937E1,-2.896539307E1
1.364241750E0,-1.474925232E1,-4.015319824E1,-2.723347473E1
1.374266750E0,-1.503839111E1,-4.121942139E1,-2.526087952E1
1.384290750E0,-1.520214844E1,-4.230743408E1,-2.312825012E1
1.394314750E0,-1.504306030E1,-4.324176025E1,-2.162567139E1
1.404338750E0,-1.500280762E1,-4.408599854E1,-2.011021423E1
1.414363750E0,-1.496141052E1,-4.464648438E1,-1.834938049E1
1.424387750E0,-1.488365173E1,-4.508728027E1,-1.692912292E1
1.434411750E0,-1.492544556E1,-4.546023560E1,-1.569914246E1
