"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.164002419E-2,5.058444634E1,8.699853988E0,1.791972351E2,NaN,NaN,4.264889429E2,2.343998337E1
5.779850483E-1,5.058340004E1,8.700218951E0,1.775318298E2,NaN,NaN,1.383333333E2,1.880473137E1
6.285717487E-1,5.058437170E1,8.699836051E0,1.822084618E2,1.519999981E0,1.807031250E2,7.224631878E0,1.200000000E1
1.596585631E0,5.058438675E1,8.699838482E0,1.770442162E2,1.750000000E0,2.162109375E2,3.535533906E0,4.000000000E0
2.596612692E0,5.058438285E1,8.699819287E0,1.775924339E2,1.750000000E0,2.232421875E2,3.535533906E0,3.000000000E0
3.596639037E0,5.058437568E1,8.699793890E0,1.774971581E2,2.390000105E0,2.239453125E2,3.535533906E0,3.000000000E0
4.596663237E0,5.058436269E1,8.699765392E0,1.773303490E2,2.460000038E0,2.242968750E2,3.535533906E0,3.000000000E0
5.596687078E0,5.058434706E1,8.699734965E0,1.774444237E2,3.069999933E0,2.242968750E2,3.535533906E0,3.000000000E0
6.597324252E0,5.058433109E1,8.699705880E0,1.773977928E2,3.069999933E0,2.228906250E2,3.535533906E0,3.000000000E0
7.597334981E0,5.058431529E1,8.699677717E0,1.774172020E2,2.960000038E0,2.246484375E2,3.535533906E0,3.000000000E0
8.597321630E0,5.058429777E1,8.699648213E0,1.774239159E2,2.960000038E0,2.239453125E2,3.535533906E0,3.000000000E0
9.597325802E0,5.058428050E1,8.699617954E0,1.773387718E2,2.900000095E0,2.250000000E2,3.535533906E0,3.000000000E0
1.059732819E1,5.058426311E1,8.699588953E0,1.775051537E2,2.900000095E0,2.246484375E2,3.535533906E0,3.000000000E0
1.159730840E1,5.058424480E1,8.699559281E0,1.776869164E2,2.900000095E0,2.250000000E2,3.535533906E0,3.000000000E0
1.259730923E1,5.058422611E1,8.699530028E0,1.777736473E2,2.950000048E0,2.235937500E2,3.535533906E0,3.000000000E0
1.359730744E1,5.058420690E1,8.699501307E0,1.777736481E2,2.950000048E0,2.235937278E2,4.605029299E0,3.552216517E0
1.459728456E1,5.058418726E1,8.699472098E0,1.779716461E2,2.980000019E0,2.235937276E2,4.605029271E0,3.552216554E0
1.559727836E1,5.058416828E1,8.699443653E0,1.781376007E2,2.940000057E0,2.235937279E2,4.605029244E0,3.552216589E0
1.659728169E1,5.058414897E1,8.699413077E0,1.778863190E2,3.019999981E0,2.242968520E2,4.605029217E0,3.552216624E0
1.759725595E1,5.058413027E1,8.699385399E0,1.777456939E2,2.940000057E0,2.235937279E2,4.605029189E0,3.552216660E0
1.859724593E1,5.058411114E1,8.699358033E0,1.779184845E2,2.920000076E0,2.232421657E2,4.605029161E0,3.552216696E0
1.959724331E1,5.058409289E1,8.699330979E0,1.777266509E2,2.839999914E0,2.232421663E2,4.605029135E0,3.552216731E0
2.059721649E1,5.058407289E1,8.699304831E0,1.775916412E2,2.890000105E0,2.218359165E2,4.605029105E0,3.552216769E0
2.159718883E1,5.058405240E1,8.699281242E0,1.774257476E2,2.890000105E0,2.197265424E2,4.605029073E0,3.552216811E0
2.259716272E1,5.058402993E1,8.699261483E0,1.776148346E2,2.890000105E0,2.148046695E2,4.605029036E0,3.552216859E0
2.359713805E1,5.058400768E1,8.699244534E0,1.774040801E2,2.829999924E0,2.116406088E2,4.605028997E0,3.552216909E0
2.459711492E1,5.058398522E1,8.699229129E0,1.773949249E2,2.829999924E0,2.088281101E2,4.605028957E0,3.552216961E0
2.559709227E1,5.058396408E1,8.699215937E0,1.771304595E2,2.710000038E0,2.067187367E2,4.605028917E0,3.552217013E0
2.659707201E1,5.058394014E1,8.699207651E0,1.771785552E2,2.740000010E0,2.010937392E2,4.605028871E0,3.552217072E0
2.759705174E1,5.058391474E1,8.699203544E0,1.771708648E2,2.740000010E0,1.954687420E2,4.605028820E0,3.552217138E0
2.859703374E1,5.058388870E1,8.699203161E0,1.775022857E2,2.759999990E0,1.894921825E2,4.605028766E0,3.552217209E0
2.959701538E1,5.058386234E1,8.699204476E0,1.775516021E2,2.799999952E0,1.863281216E2,4.605028709E0,3.552217282E0
3.059699857E1,5.058383848E1,8.699209149E0,1.777240874E2,2.660000086E0,1.824609363E2,4.605028655E0,3.552217353E0
3.159698367E1,5.058381525E1,8.699214994E0,1.778390166E2,2.660000086E0,1.792968754E2,4.605028602E0,3.552217421E0
3.259696758E1,5.058379160E1,8.699225087E0,1.777907378E2,2.660000086E0,1.743750028E2,4.605028547E0,3.552217493E0
3.359695315E1,5.058374436E1,8.699251080E0,1.776451635E2,2.602915792E0,1.680538766E2,4.739206216E0,3.371121694E0
3.459693944E1,5.058372637E1,8.699263768E0,1.778137037E2,2.260931972E0,1.623704064E2,4.735942649E0,3.375705002E0
3.559692752E1,5.058370244E1,8.699276476E0,1.778743619E2,2.391174254E0,1.616765753E2,4.733492586E0,3.379139679E0
3.659691417E1,5.058368988E1,8.699301615E0,1.772334953E2,2.335579387E0,1.518118379E2,4.701211917E0,3.423907643E0
3.759690166E1,5.058367163E1,8.699321210E0,1.772725453E2,2.290710874E0,1.476897966E2,4.703273389E0,3.421075338E0
3.859689093E1,5.058365280E1,8.699342324E0,1.770543515E2,2.361188962E0,1.478873587E2,4.703789524E0,3.420365645E0
3.959687984E1,5.058363536E1,8.699368090E0,1.772256383E2,2.360680926E0,1.430763565E2,4.704372447E0,3.419563849E0
4.059686983E1,5.058361849E1,8.699390418E0,1.778132501E2,2.313945820E0,1.417956813E2,4.706097551E0,3.417189324E0
