"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.117083340E-3,-2.186203766E0,6.560108185E0,6.839876404E0
1.714608334E-2,-2.326761475E0,6.240672455E0,7.302115173E0
2.717508333E-2,-2.393372955E0,6.105653229E0,7.237898712E0
3.720408333E-2,-2.304757233E0,6.102809143E0,6.972350922E0
4.723308333E-2,-2.203717346E0,6.133794708E0,7.039710846E0
5.726208333E-2,-2.071542206E0,6.122717743E0,7.258555756E0
6.729108334E-2,-1.976489868E0,6.207890625E0,7.177723846E0
7.732008334E-2,-2.025737457E0,6.218368835E0,7.101382599E0
8.734908333E-2,-2.117047577E0,6.062093811E0,7.126081238E0
9.737812501E-2,-2.096839600E0,5.904920654E0,7.148235168E0
1.074071250E-1,-2.102078705E0,5.887556763E0,7.081923065E0
1.174361250E-1,-2.084415436E0,6.002517700E0,6.840175781E0
1.274651250E-1,-1.854044495E0,6.125412140E0,6.841972046E0
1.374941250E-1,-1.549278259E0,6.286477203E0,7.034322052E0
1.475231250E-1,-1.349443817E0,6.346951447E0,7.086563416E0
1.575521250E-1,-1.486858063E0,6.196663971E0,7.186106415E0
1.675811250E-1,-1.759141846E0,5.967939606E0,7.272925873E0
1.776101250E-1,-1.851350098E0,5.765560455E0,7.356601868E0
1.876401250E-1,-1.874252472E0,5.661826172E0,7.818092194E0
1.976691250E-1,-1.820963287E0,5.600603485E0,8.190218353E0
2.076981250E-1,-1.659149780E0,5.677693176E0,8.106841736E0
2.177271250E-1,-1.587897949E0,5.899232483E0,7.977061615E0
2.277561250E-1,-1.422641602E0,6.071075134E0,7.799231415E0
2.377851250E-1,-1.273401947E0,6.148015137E0,7.394473114E0
2.478141250E-1,-1.304537201E0,6.216422882E0,7.097490692E0
2.578431250E-1,-1.368603973E0,6.195915527E0,7.183861084E0
2.678731250E-1,-1.362616425E0,6.152356110E0,7.305108948E0
2.779021250E-1,-1.446891174E0,6.180048523E0,7.237299957E0
2.879311250E-1,-1.527872772E0,6.170019379E0,7.179370422E0
2.979601250E-1,-1.535357208E0,6.128106537E0,7.266788635E0
3.079891250E-1,-1.540596313E0,6.038442993E0,7.511978760E0
3.180181250E-1,-1.572629700E0,5.908662872E0,7.874375153E0
3.280471250E-1,-1.512604523E0,5.809718628E0,8.112529907E0
3.380761250E-1,-1.365759888E0,5.737718353E0,8.091423798E0
3.481061250E-1,-1.271605682E0,5.784271545E0,7.973768463E0
3.581351250E-1,-1.246158600E0,5.837860107E0,7.852969666E0
3.681641250E-1,-1.268013153E0,5.877826996E0,7.704478455E0
3.781931250E-1,-1.318607941E0,5.916895752E0,7.589816895E0
3.882221250E-1,-1.354682922E0,5.943390656E0,7.525001678E0
3.982511250E-1,-1.321601715E0,5.991141357E0,7.514373779E0
4.082801250E-1,-1.308728485E0,5.989494781E0,7.626041565E0
4.183091250E-1,-1.239123230E0,5.841901703E0,7.630681915E0
4.283391250E-1,-1.183439026E0,5.675597534E0,7.663014679E0
4.383681250E-1,-1.203347626E0,5.645061035E0,7.869585114E0
4.483971250E-1,-1.222058716E0,5.614524536E0,8.015980682E0
4.584261250E-1,-1.182091827E0,5.533542938E0,7.988737335E0
4.684551250E-1,-1.109343109E0,5.540578308E0,7.855065308E0
4.784841250E-1,-1.040785675E0,5.630840607E0,7.711962891E0
4.885131250E-1,-9.148974609E-1,5.791606293E0,7.864645386E0
4.985421250E-1,-8.512797546E-1,5.928122406E0,8.120313721E0
5.085721250E-1,-8.216413879E-1,5.943540344E0,8.246800690E0
5.186011250E-1,-8.310717773E-1,5.905369720E0,8.087831268E0
5.286301250E-1,-8.024812317E-1,5.858367462E0,7.665260010E0
5.386591250E-1,-8.529263306E-1,5.812263336E0,7.319479065E0
5.486881250E-1,-8.827143860E-1,5.776936798E0,7.184160461E0
5.587171250E-1,-8.391549683E-1,5.697003021E0,7.209457855E0
5.687461250E-1,-7.532336426E-1,5.464686127E0,7.270081787E0
5.787761250E-1,-6.297404480E-1,5.158273315E0,7.246580658E0
5.888051250E-1,-5.448669434E-1,4.957241364E0,7.298971710E0
5.988341250E-1,-3.568579102E-1,4.791535950E0,7.707621918E0
6.088631250E-1,-1.508862305E-1,4.683460693E0,8.124355316E0
6.188921250E-1,-1.356179810E-1,4.669240265E0,8.242609406E0
6.289211250E-1,-1.987866211E-1,4.777315521E0,8.153245239E0
6.389501250E-1,-1.095721436E-1,4.945415955E0,7.987689514E0
6.489801250E-1,6.286926270E-2,5.144352264E0,7.860005035E0
6.590091250E-1,-1.800755310E-1,5.184468842E0,7.619155884E0
6.690381250E-1,-6.426136780E-1,5.009033661E0,7.307953033E0
6.790671250E-1,-8.273295593E-1,4.747677155E0,7.212451630E0
6.890961250E-1,-7.086264038E-1,4.624333649E0,7.312294006E0
6.991251250E-1,-3.417393494E-1,4.635111237E0,7.541467438E0
7.091541250E-1,-1.197509766E-2,4.590653687E0,7.872878265E0
7.191841250E-1,1.305285645E-1,4.590354309E0,8.196355591E0
7.292131250E-1,2.724334717E-1,4.587659912E0,8.415200500E0
7.392421250E-1,3.203338623E-1,4.464017029E0,8.848399658E0
7.492711250E-1,2.200424194E-2,4.111350403E0,9.350755005E0
7.593001250E-1,-4.062551880E-1,3.705843658E0,9.728120270E0
