"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.950924999E-2,-1.148561554E0,4.672982483E0,8.425978088E0
3.953824998E-2,-1.313518524E0,4.658762054E0,8.498577118E0
4.956724998E-2,-1.338666229E0,4.625381470E0,8.582402802E0
5.959624998E-2,-1.261127472E0,4.616549835E0,8.632698212E0
6.962524998E-2,-1.226699066E0,4.644541626E0,8.697214050E0
7.965425000E-2,-1.249451752E0,4.642595673E0,8.666827240E0
8.968325000E-2,-1.279539185E0,4.691992950E0,8.641978912E0
9.971225000E-2,-1.271755371E0,4.718787231E0,8.716224518E0
1.097412500E-1,-1.257085876E0,4.736001434E0,8.744216309E0
1.197702500E-1,-1.246308289E0,4.736151123E0,8.702902222E0
1.297992500E-1,-1.187480621E0,4.684508514E0,8.661139069E0
1.398282500E-1,-1.194665680E0,4.705315247E0,8.649912415E0
1.498562500E-1,-1.173409882E0,4.748126221E0,8.645721130E0
1.598852500E-1,-1.203497314E0,4.745880890E0,8.627459106E0
1.699142500E-1,-1.185384979E0,4.705015869E0,8.563242645E0
1.799432500E-1,-1.144370270E0,4.685256958E0,8.534801788E0
1.899722500E-1,-1.139580231E0,4.664749603E0,8.469387817E0
2.000012500E-1,-1.194515991E0,4.684658203E0,8.343948669E0
2.100302500E-1,-1.261726227E0,4.681664429E0,8.222551117E0
2.200592500E-1,-1.242416382E0,4.672383728E0,8.280031586E0
2.300882500E-1,-1.188378754E0,4.636458435E0,8.330776062E0
2.401172500E-1,-1.172661438E0,4.606820068E0,8.385113068E0
2.501462500E-1,-1.121916962E0,4.656516724E0,8.430468750E0
2.601752500E-1,-1.058448944E0,4.665348358E0,8.323591003E0
2.702041250E-1,-1.051712952E0,4.650379486E0,8.117319946E0
2.802331250E-1,-1.096619568E0,4.647236023E0,8.025261383E0
2.902621250E-1,-1.153052216E0,4.715045013E0,8.161328430E0
3.002911250E-1,-1.200204163E0,4.707859955E0,8.311615906E0
3.103191250E-1,-1.207688599E0,4.689747620E0,8.317154388E0
3.203481250E-1,-1.261426849E0,4.689897308E0,8.303682404E0
3.303771250E-1,-1.262474670E0,4.631668396E0,8.242010651E0
3.404061250E-1,-1.145567780E0,4.614304504E0,8.096213837E0
3.504351250E-1,-1.145867157E0,4.642895050E0,7.930059357E0
3.604641250E-1,-1.056952057E0,4.665048981E0,7.918084259E0
3.704931250E-1,-9.901908875E-1,4.651726685E0,8.108787689E0
3.805221250E-1,-1.120120697E0,4.697980499E0,8.330326996E0
3.905511250E-1,-1.200952606E0,4.839436340E0,8.258476410E0
4.005801250E-1,-1.217867432E0,4.856800232E0,8.233328705E0
4.106091250E-1,-1.510359192E0,4.890929260E0,8.230933685E0
4.206381250E-1,-1.612297211E0,5.041067047E0,8.092022552E0
4.306671250E-1,-1.853296051E0,4.963079224E0,7.611222382E0
4.406961250E-1,-2.094594269E0,5.002896423E0,7.363786926E0
4.507251250E-1,-2.219584351E0,5.098697205E0,7.326364746E0
4.607541250E-1,-1.965263214E0,4.461771698E0,7.501799927E0
4.707821250E-1,-1.221160583E0,3.432811432E0,8.576265564E0
4.808111250E-1,-1.387015686E0,4.307442627E0,1.110076584E1
4.908401250E-1,-1.898651733E0,5.376818848E0,1.114148117E1
5.008691250E-1,-1.557660828E0,5.069507904E0,1.015997223E1
5.108981250E-1,-9.096583557E-1,4.392914886E0,8.940757599E0
5.209271250E-1,-1.087189178E0,3.988605652E0,7.763006744E0
5.309561250E-1,-1.165326691E0,4.408033447E0,7.422165527E0
5.409851250E-1,-1.097218323E0,4.597838745E0,7.469916229E0
5.510141250E-1,-1.008303223E0,4.468208313E0,7.515122223E0
5.610431250E-1,-9.503736877E-1,4.336332550E0,7.631430359E0
5.710721250E-1,-8.731343079E-1,4.309987335E0,8.040829010E0
5.811011250E-1,-7.309300232E-1,3.959715729E0,8.884923706E0
5.911301250E-1,-2.191442871E-1,4.772974548E0,9.417665863E0
6.011591250E-1,-2.109114075E-1,4.483326874E0,9.534722443E0
6.111881250E-1,-4.760101318E-2,4.043391724E0,9.402696991E0
6.212171250E-1,1.228944397E-1,3.932472382E0,9.270821228E0
6.312461250E-1,2.842588806E-1,4.210144958E0,9.074130249E0
6.412751250E-1,1.938468933E-1,4.254003754E0,8.795110474E0
6.513031250E-1,2.686912537E-1,4.270768890E0,8.419840851E0
6.613321250E-1,2.558180237E-1,4.129163361E0,8.257578278E0
6.713611250E-1,3.475772095E-1,4.157304840E0,8.129444733E0
6.813901250E-1,4.562512207E-1,4.236939240E0,8.199499054E0
6.914191250E-1,8.065228271E-1,4.205654297E0,8.249195709E0
7.014481250E-1,1.161434784E0,3.928580475E0,8.375682678E0
7.114771250E-1,1.361568604E0,3.702550507E0,8.509803772E0
7.215061250E-1,1.352437592E0,3.660338287E0,8.748108215E0
7.315351250E-1,1.180894318E0,3.446283417E0,8.798703003E0
7.415641250E-1,1.026714935E0,3.507805481E0,8.707692261E0
7.515931250E-1,9.445358276E-1,3.499722290E0,8.655750275E0
7.616221250E-1,9.339079285E-1,3.410058746E0,8.530760193E0
7.716511250E-1,9.367520142E-1,3.433559875E0,8.503816223E0
7.816801250E-1,8.500822449E-1,3.426374817E0,8.515491943E0
7.917091250E-1,7.849676514E-1,3.260968781E0,8.220305786E0
8.017381250E-1,5.592370605E-1,3.288212128E0,8.004903717E0
8.117671250E-1,-1.571731567E-1,3.366948395E0,8.222401428E0
8.217961250E-1,-1.000669098E0,3.682043152E0,8.873996429E0
8.318251250E-1,-1.825004883E0,4.078119507E0,9.364226990E0
8.418541250E-1,-2.333198090E0,4.699477386E0,9.570048981E0
8.518821250E-1,-2.352058868E0,4.509821777E0,9.836195526E0
8.619111250E-1,-2.605332184E0,4.975204010E0,8.524024200E0
8.719401250E-1,-2.919977875E0,3.890858917E0,7.926766205E0
8.819691250E-1,-1.615290985E0,3.620820465E0,8.651708679E0
8.919981250E-1,-3.284170532E-1,3.183280334E0,8.412057037E0
9.020271250E-1,5.837860107E-3,2.862796783E0,8.276738434E0
9.120561250E-1,4.819976807E-2,2.781366119E0,7.741601257E0
9.220851250E-1,-3.359014893E-1,2.390828247E0,7.878716125E0
9.321141250E-1,-1.112336884E0,2.511776733E0,8.538843384E0
9.421431250E-1,-2.051483917E0,2.871927795E0,8.791967010E0
9.521721250E-1,-3.031945038E0,3.311713257E0,8.229287109E0
9.622011250E-1,-4.197571106E0,3.976181488E0,7.878267059E0
9.722301250E-1,-5.139262848E0,3.729793854E0,7.715256042E0
9.822591250E-1,-5.050946503E0,4.024980011E0,7.961643677E0
9.922881250E-1,-4.389771423E0,4.448449402E0,8.987460480E0
1.002317125E0,-3.719764709E0,4.626129913E0,9.955497437E0
1.012346125E0,-2.646945648E0,4.234544220E0,9.589358826E0
1.022375125E0,-1.915566559E0,3.893104248E0,8.772058411E0
1.032404125E0,-1.454974365E-1,4.537214813E0,7.057673492E0
1.042433125E0,1.746867371E-1,4.634512482E0,7.584877167E0
1.052462125E0,1.041833496E-1,4.783153381E0,8.461604004E0
1.062491125E0,6.776408386E-1,5.289700012E0,6.668782196E0
1.072519125E0,-4.108955383E-1,5.488786011E0,7.639363861E0
1.082548125E0,-1.463506622E0,5.605992279E0,8.157137146E0
1.092577125E0,-2.138003998E0,5.229225769E0,8.635991364E0
1.102606125E0,-2.074386292E0,4.132456512E0,9.214089203E0
1.112635125E0,-1.125509491E0,2.978206787E0,9.687854004E0
1.122664125E0,-7.033872986E-1,2.875220947E0,1.002659958E1
1.132693125E0,-3.716770935E-1,3.087479553E0,9.784253540E0
1.142722125E0,-5.284011841E-2,2.551294556E0,9.558672638E0
1.152751125E0,-1.499880981E-1,2.016307068E0,9.661957855E0
1.162780125E0,-1.151106262E-1,2.112706604E0,1.011431717E1
1.172809125E0,-3.477268982E-1,2.108814697E0,1.055036041E1
1.182838125E0,-7.453001404E-1,2.178869019E0,1.045171555E1
1.192867125E0,-6.855743408E-1,2.465672607E0,1.001492386E1
1.202896125E0,-3.456312561E-1,2.622097321E0,9.673034821E0
1.212925125E0,-3.626957703E-1,2.929408264E0,9.022038574E0
1.222954125E0,-5.882766724E-1,2.559677124E0,9.044042816E0
1.232983125E0,-9.946815491E-1,2.838547211E0,9.570048981E0
1.243012125E0,-1.962718506E0,4.449646912E0,8.679850159E0
1.253041125E0,-2.094893646E0,3.974983978E0,8.488098907E0
1.263070125E0,-1.368603973E0,4.010160828E0,8.779243469E0
1.273099167E0,-1.451232147E0,4.455035706E0,8.902736664E0
1.283128167E0,-1.923500061E0,5.064268799E0,9.298513641E0
1.293157167E0,-1.856888580E0,5.574557648E0,1.008887009E1
1.303186167E0,-1.812730408E0,5.898484039E0,1.037028488E1
1.313215167E0,-2.066901855E0,6.177952881E0,1.004082001E1
1.323244167E0,-1.466051331E0,6.325545959E0,9.671238556E0
1.333273167E0,-4.231700134E-1,6.810088348E0,9.767488403E0
1.343302167E0,-7.619155884E-2,7.410789185E0,1.026924500E1
1.353330167E0,-5.376818848E-1,7.503745880E0,1.026804749E1
1.363360167E0,-1.155297546E0,7.292684784E0,9.927505646E0
1.373388167E0,-1.514700165E0,7.232360229E0,9.311835938E0
1.383417167E0,-1.100810852E0,6.673721924E0,8.349936218E0
1.393446167E0,-8.665480042E-1,6.276148682E0,7.644004211E0
1.403475167E0,-1.320404205E0,6.144871674E0,8.186326447E0
1.413504167E0,-1.214125214E0,5.742807770E0,8.723858643E0
1.423533167E0,-8.369096375E-1,5.338498535E0,8.372389526E0
1.433562167E0,-7.231462097E-1,5.384153595E0,7.419471130E0
