Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),DGM_Height_m
0.06723618507,50.58441412,8.699884571,177.7220284,0.137526199,,15.68205014,7.701122531,161.6840057373047
1.067218304,50.58441618,8.699879161,177.6588109,0.04933712549,,15.84421689,7.580516632,161.59800720214844
2.067198992,50.58441341,8.699876043,177.5253034,0.06076004004,,15.84421689,7.702049465,161.82701110839844
3.067180991,50.58441415,8.69987164,177.5238037,0.1572558971,,15.84421689,7.745423938,161.82701110839844
4.06716311,50.58441398,8.699866101,177.4333588,0.02804322772,,15.81937206,7.623668999,161.82701110839844
5.067144394,50.58442043,8.699856922,177.4254961,0.141761589,,15.81937206,7.843009192,161.83200073242188
6.067125082,50.58442236,8.699851409,177.360025,0.1769981072,,15.80286535,7.973132513,161.83200073242188
7.067107439,50.58442469,8.699840677,177.3906528,0.0961562689,,15.80286535,8.281127303,161.89601135253906
8.067089081,50.58441046,8.699816688,177.0650694,1.391968271,236.1096955,15.56453105,8.072384785,161.97000122070312
9.067070365,50.58439104,8.699787863,176.9848873,2.332592517,229.6292682,15.51683812,7.970130072,162.04200744628906
10.06705165,50.58436765,8.699765451,177.0403264,2.499172191,223.7938267,15.26784824,7.874598923,162.1490020751953
11.06703389,50.58435075,8.699741139,176.9417296,2.603083926,228.0300525,15.00405884,7.812139754,162.09901428222656
12.06701481,50.58433111,8.699713721,176.7307209,2.576139866,225.5981467,14.79050193,7.807804681,162.1400146484375
13.06699669,50.58430635,8.699681897,176.6440417,2.854461361,223.2713736,14.27357422,8.02579501,162.32101440429688
14.06697857,50.58428225,8.699646355,176.6039503,2.949926299,223.8638581,13.78760724,7.93942375,162.4600067138672
15.0669601,50.58426147,8.699621284,176.479888,2.760774253,224.0340524,13.2843838,8.14069511,162.4980010986328
16.06694174,50.58424227,8.699578935,176.5112895,2.946231154,226.947467,12.87312332,8.174136225,162.5570068359375
17.06692266,50.58422027,8.699540345,176.628046,2.952253792,227.6979585,12.53828362,8.036754309,162.82200622558594
18.06690502,50.58420308,8.699513604,176.4922791,2.944548302,227.8099277,12.53828363,8.148537899,163.0260009765625
19.06688619,50.58418351,8.699482129,176.1685005,2.743966978,229.0561396,12.08774582,7.929428445,163.11000061035156
20.06686795,50.58416338,8.699453501,176.0603077,3.054458212,226.6626806,11.73977418,7.778038675,163.02200317382812
21.06684959,50.58414441,8.699428407,175.9054887,2.943744106,222.7489786,11.73977414,7.828733139,163.06800842285156
22.06683099,50.58412644,8.699400579,175.8734741,2.830614266,225.6638926,11.42862267,7.690843946,163.11700439453125
23.06681204,50.58410294,8.699367928,175.9534607,2.828120738,227.1150282,11.09216174,7.514314451,163.3140106201172
24.06679404,50.58407589,8.699342602,176.2834647,2.883849116,220.8991607,11.0921617,7.54581134,163.4250030517578
25.0667758,50.58405132,8.699321977,176.4918096,2.850568135,218.0183316,11.09216176,7.598361578,163.52801513671875
26.06675732,50.58403072,8.69929759,176.582875,2.781695263,222.7929387,11.09216178,7.64383846,163.67800903320312
27.06673837,50.58400612,8.699276587,176.7507136,2.722818047,214.8290313,7.233614271,5.050906425,163.8590087890625
28.06672037,50.58398093,8.699265835,176.4608158,2.627155551,214.5712644,6.029284962,4.167686319,164.07901000976562
29.06670189,50.58395298,8.699251187,176.6060654,2.779621274,209.9028105,6.040703491,4.23304406,164.33200073242188
30.06668341,50.58392296,8.699244436,176.4789321,2.715432068,202.5819157,5.845121797,4.033800981,164.47401428222656
31.06666565,50.58388927,8.699243637,176.4448755,2.801797845,195.8842667,5.668514935,3.819865765,164.75900268554688
32.06664741,50.58385637,8.699239895,176.313209,2.994258695,190.6892265,5.297875122,3.489661224,164.84800720214844
33.06662834,50.58383124,8.699245733,176.5890099,2.860384396,185.162136,5.557445459,3.641675768,165.13400268554688
34.06660998,50.58380406,8.699243179,176.7748976,2.818926308,185.6837948,5.455827896,3.536986323,166.5540008544922
35.06659126,50.58377132,8.699248978,176.4846602,2.806165418,179.3206186,5.262730124,3.427168593,169.14801025390625
36.0665735,50.58374135,8.699271016,176.6393838,2.914743717,171.8758197,5.248861988,3.333790217,171.15501403808594
37.06655467,50.58371293,8.699278073,176.6669487,2.834013494,168.7803542,5.251816006,3.278612828,172.34600830078125
38.06653643,50.58368928,8.699295304,176.617882,2.813070317,164.4415786,5.358638147,3.256096,173.1070098876953
39.06651819,50.58366943,8.699319364,176.6381764,2.802361262,159.2209833,5.503806915,3.305459094,173.31700134277344
40.06649983,50.58364689,8.699345483,176.8205609,2.880556803,151.4255133,5.397556599,3.239168646,173.46200561523438
41.06648147,50.58362819,8.699379224,176.8218158,2.847370249,148.8463328,5.32920126,3.066250124,173.32901000976562
42.06646311,50.58360567,8.699410244,176.6896928,2.984858544,145.2717749,5.252194625,3.008222054,173.2860107421875
43.06644511,50.5835863,8.699442143,176.5411796,2.89407504,141.6777499,5.287442218,3.003905145,173.5380096435547
44.06642663,50.58356853,8.699471589,176.3594973,2.800539733,138.2255496,5.417037788,3.0,173.62701416015625
45.06640828,50.58355236,8.699508728,176.4612697,2.749036382,138.7923341,5.43606857,3.0,173.4340057373047
46.06638896,50.58353918,8.699556045,176.3056312,2.760633774,129.1875901,5.469796609,3.0,173.23800659179688
47.06637084,50.58353291,8.699600083,176.3487189,2.884690295,120.7626103,5.439391214,3.0,173.1680145263672
48.06816065,50.58352388,8.699633149,176.0427602,2.658466761,120.5403083,5.436505536,3.0,173.11900329589844
49.06816971,50.58351946,8.699672699,176.0336158,2.617140321,113.9720673,5.460532783,3.0,172.86000061035156
50.06815434,50.58351254,8.699711564,176.2959456,2.831411745,108.6456822,5.47379687,3.0,172.15501403808594
51.06816101,50.58350651,8.69975697,176.65454,2.865970349,113.3913529,5.468088581,3.0,170.17201232910156
52.0681721,50.58350921,8.699767027,176.9076687,2.876083621,102.0353415,5.436105357,3.810485915,170.31300354003906
53.06815922,50.5835106,8.699819634,177.0481287,3.134117941,93.4277989,5.407283592,3.886740313,168.1850128173828
54.06817222,50.58351217,8.69986594,177.1422131,3.033210647,88.60358583,5.35668277,3.85848477,166.49400329589844
55.06818342,50.58351843,8.699906305,176.5173568,2.949035225,83.37826802,5.395270858,3.808531433,164.77801513671875
56.06816936,50.58352749,8.699956489,176.6626413,3.068913134,78.35105187,5.397939847,3.873332943,163.97100830078125
57.06818199,50.58353548,8.700000804,176.3944995,3.110353047,76.27221677,5.389482287,3.931368261,163.44801330566406
58.06819618,50.58354457,8.700036331,176.2477095,2.880507133,71.96172999,5.401472894,4.114514577,163.5760040283203
59.06818557,50.58355926,8.70008052,176.2285236,3.056331738,69.29891328,5.393423501,4.129797864,163.5880126953125
60.06820071,50.58357922,8.700105205,176.9268722,2.949484883,57.77101698,5.467086317,4.421856123,163.37501525878906
61.06821442,50.58360375,8.70012679,176.8034242,2.996289058,46.82747131,5.527323454,4.591787915,163.15000915527344
62.06820476,50.58362576,8.700153904,176.7591348,3.075068871,42.70746222,5.52356648,4.635441553,163.1280059814453
63.06819618,50.58364957,8.700179332,176.3217458,3.127191084,38.84385503,5.367082303,4.417340822,163.0550079345703
64.06818652,50.5836689,8.700205159,176.471959,3.026774966,39.04342696,5.561476889,4.690048721,162.97100830078125
65.06817746,50.58369217,8.700231768,176.2402987,3.264635483,39.3675862,5.536876295,4.75982182,162.89300537109375
66.06816673,50.58371144,8.700258761,176.7807802,3.085844337,42.43686475,5.494331951,4.630183862,162.87001037597656
67.06815588,50.58373477,8.700295677,176.5331343,3.218237515,45.10595462,5.474799224,4.679322424,162.89401245117188
68.06814551,50.58375653,8.700324846,176.5755525,3.176376528,45.45182618,5.342007365,4.598394077,162.7620086669922
69.06813347,50.58378164,8.700355428,176.3070151,3.301214622,43.24791904,5.36501547,4.643528304,162.65200805664062
70.06812203,50.58379924,8.700382066,176.2143855,3.039660306,44.6779527,5.345726098,4.784411477,162.56500244140625
71.06810975,50.58381943,8.700414193,176.2695638,3.022075276,45.89014562,5.34601537,4.829446459,162.54901123046875
72.06809771,50.58384029,8.700438209,176.6248012,2.907148684,41.95294948,5.237417042,4.705874199,162.49600219726562
73.06808484,50.58386245,8.700471637,176.4642872,3.143828372,41.40030269,5.18078255,4.668400992,162.46200561523438
74.06807089,50.58388076,8.700497354,176.5139964,3.005249252,41.07740767,5.182537371,4.619086167,162.427001953125
75.06805778,50.58390264,8.700529621,175.9728465,3.096673165,43.36802752,5.201793229,4.627573268,162.2310028076172
76.06804419,50.58392199,8.700559985,176.6015135,3.056066052,43.16909609,5.190588676,4.598478379,162.04200744628906
77.06803036,50.58394535,8.700587798,176.6512718,3.09249354,41.27443081,5.170863311,4.650890081,161.94500732421875
78.06801617,50.58396516,8.700616913,176.6843413,2.921645392,44.76093247,5.234448961,4.740707872,161.12501525878906
79.06800151,50.58398475,8.700649824,176.7276706,3.166059915,45.79827241,5.244745393,4.742355286,160.97300720214844
80.0679872,50.58399758,8.700675313,176.0327354,2.87199634,46.95665435,5.191771731,4.636195346,161.36300659179688
81.06797218,50.58402236,8.700706557,175.5428674,3.101459952,44.63174011,5.169920501,4.651252308,161.5290069580078
82.06795704,50.58404042,8.700735011,175.7006407,3.011359951,43.62330189,5.15617071,4.586056493,161.5080108642578
