"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.455324999E-2,-1.606196351E-2,-3.088974021E-2,2.359902486E-3
5.458224998E-2,-3.512061015E-2,-3.023753129E-2,4.171265464E-4
6.461124998E-2,-2.948939055E-2,-2.412569709E-2,-7.862932049E-3
7.464024998E-2,-2.317903005E-2,-7.096379995E-3,-1.101797819E-2
8.466825000E-2,-1.773392968E-2,-5.384233780E-3,-6.957190111E-3
9.469725000E-2,2.869881690E-3,-7.028203458E-3,6.486979779E-3
1.047262500E-1,1.690074615E-2,-1.882307790E-2,2.151492983E-2
1.147552500E-1,2.581913956E-2,-4.173558205E-2,3.058991767E-2
1.247842500E-1,2.358903363E-2,-6.638325006E-2,2.862086147E-2
1.348132500E-1,2.503033727E-2,-6.975800544E-2,2.272275835E-2
1.448422500E-1,4.175362736E-2,-6.587658823E-2,1.661274768E-2
1.548712500E-1,5.480657890E-2,-5.315813050E-2,1.234609727E-2
1.649002500E-1,5.845164135E-2,-2.990230545E-2,4.573189653E-3
1.749292500E-1,6.455507129E-2,-1.529486571E-2,-1.228240435E-3
1.849582500E-1,6.236831471E-2,-1.174579095E-2,-9.154629894E-3
1.949872500E-1,4.627856240E-2,-2.089108527E-2,-1.290382817E-2
2.050162500E-1,2.919147909E-2,-2.937682532E-2,-4.651939496E-3
2.150452500E-1,1.671217382E-2,-3.378808498E-2,4.034493119E-3
2.250732500E-1,5.595821887E-3,-4.598114640E-2,1.445181202E-2
2.351022500E-1,1.576579059E-3,-4.016560316E-2,1.902046427E-2
2.451312500E-1,3.025401616E-3,-2.050988562E-2,2.595102042E-2
2.551602500E-1,1.552407397E-3,-4.294431303E-3,1.987768151E-2
2.651892500E-1,-8.975367993E-3,-7.249594666E-3,1.867790148E-2
2.752181250E-1,-3.267590329E-2,-1.733152196E-2,9.491061792E-3
2.852471250E-1,-4.581089690E-2,-3.590087220E-2,5.038911011E-3
2.952761250E-1,-4.597601295E-2,-3.570965677E-2,4.803487565E-3
3.053051250E-1,-5.267548934E-2,-4.081030190E-2,2.004421549E-3
3.153341250E-1,-6.496863812E-2,-6.355929375E-2,8.219440468E-3
3.253631250E-1,-8.151082695E-2,-5.419817567E-2,1.036687288E-2
3.353921250E-1,-1.018083766E-1,-5.034624599E-3,5.786235910E-3
3.454211250E-1,-1.444117129E-1,4.044774175E-2,1.097846031E-2
3.554501250E-1,-1.912362128E-1,6.062810868E-2,1.862679422E-2
3.654791250E-1,-2.111026347E-1,3.012362868E-2,1.917847432E-2
3.755081250E-1,-2.211757898E-1,-6.929996423E-3,3.951224312E-2
3.855361250E-1,-2.263154238E-1,-2.826321125E-2,6.661529839E-2
3.955651250E-1,-2.171911597E-1,-6.328032166E-2,9.292413294E-2
4.055941250E-1,-1.945198923E-1,-7.151637971E-2,1.486324072E-1
4.156231250E-1,-1.965138018E-1,-4.222454131E-2,2.118433267E-1
4.256521250E-1,-2.609530091E-1,2.420186065E-2,2.768351138E-1
4.356811250E-1,-3.615222275E-1,9.762947261E-2,3.547354937E-1
4.457101250E-1,-4.683357775E-1,1.498398781E-1,4.500818551E-1
4.557391250E-1,-7.143652439E-1,-1.661423296E-1,4.854848683E-1
4.657681250E-1,-8.944599628E-1,-7.416876554E-1,3.613577485E-1
4.757971250E-1,-6.244891882E-1,-8.284677863E-1,2.978538573E-1
4.858261250E-1,-2.278191149E-1,-6.934923530E-1,4.139546752E-1
4.958551250E-1,1.027867720E-1,-4.430420101E-1,4.890480936E-1
5.058841250E-1,2.871276140E-1,-2.142438889E-1,5.048940182E-1
5.159131250E-1,2.807022035E-1,8.345916867E-2,5.112152696E-1
5.259421250E-1,1.999125332E-1,3.077799976E-1,5.359147191E-1
