"Time (s)","X (hPa)"
-5.457172084E-1,9.793997955E2
4.815627917E-1,9.794039154E2
1.508825792E0,9.794080353E2
2.536112792E0,9.794218445E2
3.563354792E0,9.794323730E2
3.763146792E0,9.794354248E2
4.823562792E0,9.794374847E2
5.883941792E0,9.794424438E2
6.944378792E0,9.794485474E2
8.004835792E0,9.794512177E2
9.065294792E0,9.794553375E2
1.012573879E1,9.794569397E2
1.118624179E1,9.794569397E2
1.224664679E1,9.794567871E2
1.330709379E1,9.794567871E2
1.436757579E1,9.794578552E2
1.542799679E1,9.794584656E2
1.648840679E1,9.794584656E2
1.754875379E1,9.794596863E2
1.860916679E1,9.794615173E2
1.966955679E1,9.794648743E2
2.072993779E1,9.794648743E2
2.179031779E1,9.794620514E2
2.285071379E1,9.794593811E2
2.391111079E1,9.794581604E2
2.497156979E1,9.794581604E2
2.603198679E1,9.794558716E2
2.709240479E1,9.794558716E2
2.815282379E1,9.794558716E2
2.921317179E1,9.794577789E2
3.027357679E1,9.794612122E2
3.133390879E1,9.794612122E2
3.239424579E1,9.794612122E2
3.345468779E1,9.794605255E2
3.451515979E1,9.794598389E2
3.557556179E1,9.794589233E2
3.663598179E1,9.794598389E2
3.769637579E1,9.794621277E2
3.875680779E1,9.794640350E2
3.981719479E1,9.794680023E2
4.087759779E1,9.794695282E2
4.193797579E1,9.794704437E2
4.299833479E1,9.794746399E2
4.405869779E1,9.794751740E2
4.511915179E1,9.794797516E2
4.617954379E1,9.794828796E2
4.723998479E1,9.794911957E2
4.830036379E1,9.794931030E2
4.936080079E1,9.794931793E2
5.042123579E1,9.794950867E2
5.148167179E1,9.794998932E2
5.254210879E1,9.795005798E2
5.360245679E1,9.795017242E2
5.466289279E1,9.795030212E2
5.572334879E1,9.795097351E2
5.678383779E1,9.795104218E2
5.784416779E1,9.795195007E2
5.890456679E1,9.795198059E2
5.996505679E1,9.795255280E2
6.102554679E1,9.795269012E2
6.208595479E1,9.795271301E2
6.314630079E1,9.795305634E2
6.420667979E1,9.795327759E2
6.526713179E1,9.795305634E2
6.632751679E1,9.795281982E2
6.738796779E1,9.795269775E2
6.844834579E1,9.795222473E2
6.950874879E1,9.795185089E2
7.056914179E1,9.795159912E2
7.162952279E1,9.795185089E2
7.268991979E1,9.795186615E2
7.375030179E1,9.795190430E2
7.481069979E1,9.795186615E2
7.587105879E1,9.795186615E2
7.693137479E1,9.795157623E2
7.799171579E1,9.795155334E2
7.905207979E1,9.795133972E2
8.011253179E1,9.795133972E2
8.117290279E1,9.795058441E2
8.223328279E1,9.795055389E2
8.329359779E1,9.795041656E2
8.435392279E1,9.795055389E2
8.541427979E1,9.795092010E2
8.647463279E1,9.795095825E2
8.753500479E1,9.795134735E2
8.859542479E1,9.795147705E2
8.965586179E1,9.795166779E2
9.071628579E1,9.795166779E2
9.177671179E1,9.795166779E2
9.283709179E1,9.795159912E2
9.389751279E1,9.795131683E2
9.495791079E1,9.795069885E2
9.601834579E1,9.795028687E2
9.707871279E1,9.795028687E2
9.813907979E1,9.795046997E2
9.919952279E1,9.795046997E2
1.002599908E2,9.795030212E2
1.013204428E2,9.794984436E2
1.023809048E2,9.794888306E2
1.034413128E2,9.794882965E2
1.045017038E2,9.794888306E2
1.055621338E2,9.794857788E2
1.066225268E2,9.794889069E2
1.076828838E2,9.794924164E2
1.087432428E2,9.794944763E2
1.098036278E2,9.794956207E2
1.108640338E2,9.794956207E2
1.119244668E2,9.794920349E2
1.129849708E2,9.794869995E2
1.140455188E2,9.794778442E2
1.151060038E2,9.794759369E2
1.161664758E2,9.794752502E2
1.172268868E2,9.794705200E2
1.182873178E2,9.794640350E2
1.193476988E2,9.794628906E2
1.204081088E2,9.794628906E2
1.214685668E2,9.794692993E2
1.225290368E2,9.794741821E2
1.235894158E2,9.794776154E2
1.246498528E2,9.794779968E2
1.257102518E2,9.794795227E2
1.267706868E2,9.794843292E2
1.278310528E2,9.794857025E2
1.288914218E2,9.794857025E2
1.299517808E2,9.794859314E2
1.310121618E2,9.794859314E2
1.320725418E2,9.794859314E2
1.331329588E2,9.794849396E2
1.341932888E2,9.794842529E2
1.352536238E2,9.794838715E2
1.363139408E2,9.794838715E2
1.373742828E2,9.794917297E2
1.384346178E2,9.794930267E2
1.394949168E2,9.794956207E2
1.405552908E2,9.794959259E2
1.416156468E2,9.794956207E2
1.426760558E2,9.794946289E2
1.437364408E2,9.794943237E2
1.447967748E2,9.794900513E2
1.458571598E2,9.794900513E2
1.469174878E2,9.794900513E2
1.479777748E2,9.794930267E2
1.490380428E2,9.794947815E2
1.500984038E2,9.794959259E2
1.511587638E2,9.794947815E2
1.522191378E2,9.794941711E2
