Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),DGM_Height_m
0.4218645096,50.58430469,8.687468518,164.8637066,0.03778623961,,4.778890831,3.314625086,191.28900146484375
1.421852708,50.58430281,8.68746905,164.875797,0.07314231892,,4.784603207,3.306374024,191.28900146484375
2.421840668,50.5843008,8.687471043,164.5119413,0.09800912799,,4.787028835,3.302861178,191.2830047607422
3.421828508,50.58430183,8.687466567,164.5893072,0.2128333688,,4.790078744,3.298436395,191.2830047607422
4.421817064,50.5842991,8.687471075,164.8125945,0.1163791204,,4.793002752,3.294186038,191.2830047607422
5.421804547,50.58430014,8.687486897,164.6763675,0.5383890159,64.69532212,4.795407236,3.290684804,191.26901245117188
6.421792626,50.58430451,8.687512285,164.4709001,1.249721006,77.38570137,4.799633064,3.28451815,191.1850128173828
7.421781063,50.58431715,8.687551069,164.4894986,2.037608674,69.31417477,4.80273044,3.279987402,191.07000732421875
8.421767712,50.58432832,8.687585819,164.8760369,2.312733515,66.85898685,4.807618003,3.2728193,190.99700927734375
9.421755314,50.58433618,8.687622308,164.5718968,2.337887533,73.69665734,4.807133495,3.273530906,191.02000427246094
10.4217428,50.58435197,8.687669248,164.6653548,2.390394336,65.91566503,4.803356081,3.279071117,190.94300842285156
11.42173064,50.58435703,8.687692353,164.4086966,2.214534334,71.03597558,4.797051827,3.28828691,190.79901123046875
12.42171812,50.58436324,8.687725061,164.3752601,2.250912672,75.71886111,4.790962406,3.29715275,190.48300170898438
13.42170584,50.58438117,8.687766384,164.8877229,2.723313026,74.55710296,4.785488073,3.305093181,190.50001525878906
14.42169321,50.58439372,8.687800378,164.8019278,2.614102582,72.13078167,4.78208403,3.31001652,190.5550079345703
15.42167997,50.58440008,8.687826111,164.5969497,2.248547109,77.75843623,4.780113364,3.312861793,190.45701599121094
16.42166817,50.58440998,8.687862091,164.9939586,2.365361153,70.04049192,4.782590842,3.309284193,190.4040069580078
17.42165506,50.58440741,8.687893246,165.09056,2.524256465,79.31755045,4.787088794,3.302774276,190.18600463867188
18.42164171,50.58441354,8.687932274,164.4735182,2.647940952,71.09878989,4.786459063,3.30368683,190.13600158691406
19.42163014,50.58442534,8.687963851,164.3827189,2.394287002,62.26811494,4.790950155,3.297170551,190.13101196289062
20.42161632,50.58442651,8.687996622,164.3553444,2.257766296,74.55268267,4.790789901,3.297403397,190.166015625
21.42160368,50.5844316,8.688035539,164.4675567,2.309816498,74.54324828,4.791795427,3.295941993,189.91700744628906
22.42159164,50.58443321,8.68808293,164.8956056,2.373989565,76.08177245,4.787774875,3.301779638,189.94100952148438
23.42161834,50.58443896,8.688115917,164.5040257,2.20723861,68.98633602,4.785187578,3.305528229,189.74000549316406
24.42156601,50.58444247,8.688158405,164.6602017,2.24990161,68.81342538,4.785480509,3.305104133,189.55801391601562
25.42155361,50.58446064,8.688176482,164.6209166,2.335912499,63.72156434,4.751448087,3.353845272,189.6680145263672
26.4215399,50.58446462,8.688206232,164.8080451,2.144377026,66.60726689,4.751050703,3.354408181,189.52101135253906
