"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.921666648E-4,1.961848450E1,-3.586569214E1,-1.915994263E1
1.041716663E-2,1.967501831E1,-3.567263794E1,-1.933050537E1
2.044116659E-2,1.943171692E1,-3.574679565E1,-1.965037537E1
3.046616656E-2,1.928190613E1,-3.563690186E1,-2.002688599E1
4.049016652E-2,1.916236877E1,-3.565399170E1,-2.012719727E1
5.051516648E-2,1.921171570E1,-3.527685547E1,-2.034472656E1
6.053916644E-2,1.896200562E1,-3.543829346E1,-2.049816895E1
7.056416664E-2,1.899217224E1,-3.514477539E1,-2.093542480E1
8.058816660E-2,1.882580566E1,-3.519345093E1,-2.116661072E1
9.061216656E-2,1.882739258E1,-3.479547119E1,-2.154513550E1
1.006371665E-1,1.857455444E1,-3.479574585E1,-2.142857361E1
1.106611665E-1,1.863734436E1,-3.438839722E1,-2.208563232E1
1.206861665E-1,1.842420959E1,-3.456405640E1,-2.225224304E1
1.307101666E-1,1.833728027E1,-3.434768677E1,-2.273121643E1
1.407351666E-1,1.822593689E1,-3.439721680E1,-2.257635498E1
1.507591666E-1,1.829296875E1,-3.397290039E1,-2.307568359E1
1.607831665E-1,1.798020935E1,-3.417477417E1,-2.305639648E1
1.708081665E-1,1.812905884E1,-3.373248291E1,-2.355310059E1
1.808321665E-1,1.788157654E1,-3.394348145E1,-2.337849426E1
1.908571667E-1,1.786358643E1,-3.358367920E1,-2.406552124E1
2.008811666E-1,1.759974670E1,-3.375659180E1,-2.381973267E1
2.109061666E-1,1.765200806E1,-3.333648682E1,-2.444392395E1
2.209301665E-1,1.742286682E1,-3.344464111E1,-2.443034363E1
2.309551665E-1,1.732818604E1,-3.301708984E1,-2.490675354E1
2.409791665E-1,1.719792175E1,-3.326950073E1,-2.498747253E1
2.510031667E-1,1.720503235E1,-3.281005859E1,-2.526976013E1
2.610281666E-1,1.687806702E1,-3.286929321E1,-2.534352112E1
2.710521666E-1,1.709158325E1,-3.229672241E1,-2.595109558E1
2.810771666E-1,1.668382263E1,-3.257492065E1,-2.605520630E1
2.911011665E-1,1.664134216E1,-3.207873535E1,-2.673629761E1
3.011261665E-1,1.634918213E1,-3.219241333E1,-2.673593140E1
3.111501667E-1,1.627304077E1,-3.176498413E1,-2.725212097E1
3.211751666E-1,1.607649231E1,-3.176672363E1,-2.763191223E1
3.311991666E-1,1.570312500E1,-3.119042969E1,-2.840270996E1
3.412231666E-1,1.529852295E1,-3.128109741E1,-2.853810120E1
3.512481665E-1,1.497575378E1,-3.095458984E1,-2.906150818E1
3.612721665E-1,1.475474548E1,-3.086376953E1,-2.930224609E1
3.712971664E-1,1.450436401E1,-3.053585815E1,-2.947970581E1
3.813211666E-1,1.425634766E1,-3.029693604E1,-2.988203430E1
3.913461666E-1,1.387620544E1,-2.965652466E1,-3.078233337E1
4.013701666E-1,1.353630066E1,-2.964117432E1,-3.115739441E1
4.113951665E-1,1.313822937E1,-2.907727051E1,-3.189201355E1
4.214191665E-1,1.294367981E1,-2.903131104E1,-3.192709351E1
4.314431665E-1,1.270372009E1,-2.855194092E1,-3.249334717E1
4.414681667E-1,1.254357910E1,-2.833007812E1,-3.288569641E1
4.514921666E-1,1.238845825E1,-2.777597046E1,-3.332415771E1
4.615171666E-1,1.213327026E1,-2.780630493E1,-3.348133850E1
4.715411665E-1,1.189622498E1,-2.743499756E1,-3.391070557E1
4.815661665E-1,1.159909058E1,-2.717193604E1,-3.415585327E1
4.915901665E-1,1.142927551E1,-2.666030884E1,-3.462597656E1
5.016151667E-1,1.075784302E1,-2.612557983E1,-3.541838074E1
5.116391666E-1,1.075784302E1,-2.612557983E1,-3.541838074E1
5.216641666E-1,1.036209106E1,-2.588836670E1,-3.586547852E1
5.316881665E-1,1.016133118E1,-2.572497559E1,-3.614840698E1
5.417121665E-1,9.944412231E0,-2.559967041E1,-3.629039001E1
5.517371665E-1,9.815658569E0,-2.546926880E1,-3.647685242E1
5.617611667E-1,9.563354492E0,-2.532348633E1,-3.628790283E1
5.717861666E-1,9.387634277E0,-2.514694214E1,-3.652476501E1
5.818101666E-1,9.145904541E0,-2.502133179E1,-3.683222961E1
5.918351666E-1,8.838973999E0,-2.475036621E1,-3.706471252E1
6.018591665E-1,8.655303955E0,-2.468725586E1,-3.724473572E1
6.118841665E-1,8.435089111E0,-2.416198730E1,-3.770960999E1
6.219081664E-1,8.196609497E0,-2.390264893E1,-3.800819397E1
6.319321666E-1,8.066421509E0,-2.344094849E1,-3.814648438E1
6.419571666E-1,7.783798218E0,-2.323669434E1,-3.860426331E1
6.519811666E-1,7.729232788E0,-2.256597900E1,-3.905451965E1
6.620066667E-1,7.535400391E0,-2.238659668E1,-3.913914490E1
6.720306666E-1,7.310043335E0,-2.197360229E1,-3.935040283E1
6.820556666E-1,7.083633423E0,-2.196972656E1,-3.949163818E1
6.920796665E-1,6.926589966E0,-2.169985962E1,-3.972550964E1
7.021046665E-1,6.835556030E0,-2.189224243E1,-3.979867554E1
7.121286665E-1,6.804336548E0,-2.182901001E1,-3.989607239E1
7.221536667E-1,6.869781494E0,-2.221853638E1,-3.966841125E1
7.321776666E-1,6.717056274E0,-2.210223389E1,-3.982586670E1
7.422016666E-1,6.738265991E0,-2.255285645E1,-3.948037720E1
7.522266665E-1,6.533432007E0,-2.274972534E1,-3.941435242E1
7.622506665E-1,6.251861572E0,-2.360623169E1,-3.916728210E1
7.722756665E-1,6.025360107E0,-2.375137329E1,-3.911451721E1
7.822996667E-1,5.763290405E0,-2.467459106E1,-3.859185791E1
7.923246666E-1,5.824249268E0,-2.489178467E1,-3.863272095E1
