"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.288119555E-1,5.058299321E1,8.691816616E0,1.756844415E2,6.440531347E-2,NaN,2.999343813E1,1.679894255E1
1.128795028E0,5.058299934E1,8.691817565E0,1.757672500E2,5.937759871E-2,NaN,2.907024763E1,1.625431257E1
2.128776312E0,5.058300598E1,8.691822405E0,1.756848869E2,2.479646042E-1,NaN,2.930607354E1,1.698411036E1
3.128759503E0,5.058300571E1,8.691824232E0,1.756006562E2,2.145434913E-1,NaN,2.873422348E1,1.655084092E1
4.128741980E0,5.058300643E1,8.691833471E0,1.754420930E2,1.432507901E-1,NaN,2.824541575E1,1.634437518E1
5.128724933E0,5.058300644E1,8.691832931E0,1.755264690E2,2.474293814E-1,NaN,2.824541575E1,1.661707629E1
6.128707290E0,5.058301153E1,8.691837380E0,1.753198302E2,4.435762066E-2,NaN,2.809764294E1,1.713712272E1
7.128689766E0,5.058300451E1,8.691835556E0,1.752255981E2,5.886801574E-2,NaN,2.816296943E1,1.683564052E1
8.128673792E0,5.058301159E1,8.691843843E0,1.756069100E2,1.894745233E-1,NaN,2.765254403E1,1.656583764E1
9.128654957E0,5.058300891E1,8.691846105E0,1.755111160E2,8.033237648E-2,NaN,2.767205604E1,1.555459023E1
1.012863874E1,5.058301586E1,8.691829309E0,1.756800435E2,1.628511021E-1,NaN,2.753613292E1,1.526319728E1
1.112862134E1,5.058302275E1,8.691830564E0,1.756384488E2,8.770424723E-2,NaN,2.834504595E1,1.554953227E1
1.212860382E1,5.058302987E1,8.691821619E0,1.757945475E2,5.420378763E-1,3.186599473E2,2.823729482E1,1.498326545E1
1.312858689E1,5.058303231E1,8.691787617E0,1.754762625E2,1.706314856E0,3.070295143E2,2.835678618E1,1.461299561E1
1.412856984E1,5.058302929E1,8.691757133E0,1.751693497E2,1.702726686E0,2.859023470E2,2.831709860E1,1.382979097E1
1.512855303E1,5.058302210E1,8.691718221E0,1.754361772E2,2.320012819E0,2.777788029E2,2.790001396E1,1.319205073E1
1.612853575E1,5.058301365E1,8.691681151E0,1.745385910E2,2.855730463E0,2.724734605E2,2.751079674E1,1.253198171E1
1.712851822E1,5.058300478E1,8.691642742E0,1.746767378E2,2.415369806E0,2.691220674E2,2.751145291E1,1.256265697E1
1.812850130E1,5.058299660E1,8.691611010E0,1.743655769E2,2.393713601E0,2.652479550E2,2.661225866E1,1.241630862E1
1.912848461E1,5.058299225E1,8.691575603E0,1.744058953E2,2.321436500E0,2.698835933E2,2.586606260E1,1.222077865E1
2.012846768E1,5.058298908E1,8.691522731E0,1.745258198E2,2.487016790E0,2.710048234E2,2.586606256E1,1.244614168E1
2.112844992E1,5.058298926E1,8.691492908E0,1.740624585E2,2.621754287E0,2.759643406E2,2.586606240E1,1.264734553E1
2.212843382E1,5.058298840E1,8.691454779E0,1.743298797E2,2.267903815E0,2.763968609E2,2.201394889E1,1.097596200E1
2.312841630E1,5.058298756E1,8.691404436E0,1.745675065E2,2.461676255E0,2.791509997E2,2.033020314E1,9.990618186E0
2.412839961E1,5.058298625E1,8.691367398E0,1.744792609E2,2.442945878E0,2.806172180E2,1.801563825E1,8.905074921E0
2.512838233E1,5.058298221E1,8.691342313E0,1.744282339E2,2.255021991E0,2.732264984E2,1.653382883E1,8.006761380E0
2.612836504E1,5.058298382E1,8.691294003E0,1.747568309E2,2.477740255E0,2.782701437E2,1.604632514E1,7.722551868E0
2.712834871E1,5.058298724E1,8.691254215E0,1.745942908E2,2.397534187E0,2.819183815E2,1.555401938E1,7.413358264E0
2.812833178E1,5.058298209E1,8.691217995E0,1.747303984E2,2.367519536E0,2.726740277E2,1.547429051E1,7.476930213E0
2.912831450E1,5.058298456E1,8.691182970E0,1.745041843E2,2.354687796E0,2.760098767E2,1.453686793E1,7.152134976E0
3.012829864E1,5.058298538E1,8.691139693E0,1.743871912E2,2.509386281E0,2.769453268E2,1.406440989E1,6.910288589E0
3.112828112E1,5.058298958E1,8.691102056E0,1.740618494E2,2.630587923E0,2.781443967E2,1.364902325E1,6.662336254E0
3.212826419E1,5.058299124E1,8.691061401E0,1.743451286E2,2.594769389E0,2.731006185E2,1.342049084E1,6.556882097E0
3.312824726E1,5.058299709E1,8.691013349E0,1.742178972E2,2.729509157E0,2.802597128E2,1.280596660E1,6.132290566E0
3.412823021E1,5.058300580E1,8.690976627E0,1.740205254E2,2.686787073E0,2.876138119E2,1.273951317E1,6.032804359E0
3.512821436E1,5.058300699E1,8.690925285E0,1.739212305E2,2.575295896E0,2.829709950E2,1.273951312E1,6.107588391E0
3.612819648E1,5.058300417E1,8.690884055E0,1.738825678E2,2.563433463E0,2.747631415E2,1.273951313E1,6.080575948E0
3.712817943E1,5.058300947E1,8.690835613E0,1.739791164E2,2.857337022E0,2.846287362E2,1.273951318E1,5.955941077E0
3.812816262E1,5.058300617E1,8.690802932E0,1.739503924E2,2.436538333E0,2.740590647E2,1.273951321E1,5.831851490E0
3.912814653E1,5.058301134E1,8.690762977E0,1.743860540E2,2.309148568E0,2.901620192E2,1.226483719E1,5.626506868E0
4.012812936E1,5.058301071E1,8.690715921E0,1.741874733E2,2.588399096E0,2.794762869E2,1.341798098E1,6.122649814E0
4.112811208E1,5.058301233E1,8.690681270E0,1.738169584E2,2.267353249E0,2.744956182E2,1.406582625E1,6.434932568E0
4.212809515E1,5.058301511E1,8.690659364E0,1.731699535E2,1.626757707E0,2.824564889E2,1.323604645E1,6.110831784E0
4.312807894E1,5.058302595E1,8.690595952E0,1.729778401E2,2.744052686E0,2.967664040E2,1.299664562E1,6.361489169E0
4.412806249E1,5.058302429E1,8.690560802E0,1.726804242E2,2.215216777E0,2.797834860E2,1.320738371E1,6.573439647E0
4.512804544E1,5.058303683E1,8.690527122E0,1.720152651E2,2.211303615E0,3.009062903E2,1.295424925E1,6.583221994E0
4.612802875E1,5.058304754E1,8.690497123E0,1.715546423E2,2.191263599E0,2.947372233E2,1.313811892E1,6.510568549E0
4.712801135E1,5.058305591E1,8.690459537E0,1.715395762E2,2.305374976E0,2.859719045E2,1.296257327E1,6.346034373E0
4.812799501E1,5.058306197E1,8.690416476E0,1.712195139E2,2.515952435E0,2.865994939E2,1.296257323E1,6.223526790E0
4.912797844E1,5.058306041E1,8.690370898E0,1.710827380E2,2.541805045E0,2.736134608E2,1.365307993E1,6.500144378E0
5.012796128E1,5.058306443E1,8.690337162E0,1.709651194E2,2.408668946E0,2.773571404E2,1.376376956E1,6.590853602E0
5.112794471E1,5.058307382E1,8.690304890E0,1.708929244E2,2.354991593E0,2.867980184E2,1.359415158E1,6.550334389E0
5.212792790E1,5.058307033E1,8.690278876E0,1.701280211E2,2.646456547E0,2.749866832E2,1.315433570E1,6.447956867E0
5.312791109E1,5.058307314E1,8.690249968E0,1.703401068E2,2.418176864E0,2.803447066E2,1.278871357E1,6.255112617E0
5.412789345E1,5.058306716E1,8.690215934E0,1.698417524E2,2.129594886E0,2.735665731E2,1.243402302E1,5.877770847E0
5.512787676E1,5.058306558E1,8.690169491E0,1.696295142E2,2.084631471E0,2.704905740E2,1.231210953E1,5.846749963E0
5.612786007E1,5.058306060E1,8.690125844E0,1.695221657E2,2.377051791E0,2.715334438E2,1.254560756E1,5.839609248E0
5.712784362E1,5.058308515E1,8.690088724E0,1.694578726E2,2.337861376E0,3.051166785E2,1.287916076E1,5.962741925E0
5.812782633E1,5.058309780E1,8.690079189E0,1.700097719E2,1.861585115E0,3.320723586E2,1.266506093E1,5.732034457E0
5.912781024E1,5.058309946E1,8.690011774E0,1.701455187E2,2.771579891E0,2.839079900E2,1.249538996E1,5.644436774E0
6.012779331E1,5.058310306E1,8.689978724E0,1.705334955E2,2.520261450E0,2.844912069E2,1.268429896E1,5.713553168E0
6.112777650E1,5.058310760E1,8.689934578E0,1.706892716E2,2.652862449E0,2.810901896E2,1.263825966E1,5.767208488E0
6.212775981E1,5.058310619E1,8.689898340E0,1.707810491E2,2.758223119E0,2.693601301E2,1.234698069E1,5.907878804E0
6.312774336E1,5.058309951E1,8.689865522E0,1.709782815E2,2.902661915E0,2.616335903E2,1.200058856E1,6.025617796E0
6.412772644E1,5.058311477E1,8.689816678E0,1.708927776E2,3.057359370E0,2.801890475E2,1.206035835E1,5.831861710E0
6.512770903E1,5.058311943E1,8.689772452E0,1.704681652E2,2.791242888E0,2.830799932E2,1.197645253E1,5.672141133E0
6.612769294E1,5.058311110E1,8.689729314E0,1.704453744E2,2.623561113E0,2.687528361E2,1.214836836E1,5.631502815E0
6.712767565E1,5.058311634E1,8.689679767E0,1.704328008E2,2.613763304E0,2.728712383E2,1.224178949E1,5.582228460E0
6.812947392E1,5.058311391E1,8.689650684E0,1.699460299E2,2.179705203E0,2.669540692E2,1.233746828E1,5.526969353E0
6.912949109E1,5.058311953E1,8.689605551E0,1.699521634E2,2.296790314E0,2.802773885E2,1.201925170E1,5.338877784E0
7.012947738E1,5.058312713E1,8.689551224E0,1.702960234E2,2.668942216E0,2.837370186E2,1.223889971E1,5.250546364E0
7.112948346E1,5.058312758E1,8.689499165E0,1.701637230E2,2.756197303E0,2.735956655E2,1.216832388E1,5.276779638E0
7.212949848E1,5.058313720E1,8.689460790E0,1.695738572E2,2.471045594E0,2.831052808E2,1.246910264E1,5.430728779E0
7.312948537E1,5.058314184E1,8.689438982E0,1.684219612E2,2.002526865E0,2.791819042E2,1.244515648E1,5.582459473E0
7.412949288E1,5.058314892E1,8.689412640E0,1.677427574E2,2.153967738E0,2.840735059E2,1.207528596E1,5.551201664E0
7.512950575E1,5.058313736E1,8.689410800E0,1.667567524E2,1.691806364E0,2.724766037E2,1.203167868E1,7.083711633E0
7.612949347E1,5.058314547E1,8.689356675E0,1.680043470E2,2.429812362E0,2.735123369E2,1.243650497E1,7.497849445E0
7.712950647E1,5.058313442E1,8.689291385E0,1.672388204E2,3.306277206E0,2.601360586E2,1.223349267E1,7.398528549E0
7.812952197E1,5.058315422E1,8.689247015E0,1.685429116E2,3.013809669E0,2.744411315E2,1.285585449E1,7.724082553E0
7.912950528E1,5.058315309E1,8.689209539E0,1.686866344E2,2.652969685E0,2.738006595E2,1.278884425E1,7.679939077E0
8.012950444E1,5.058315874E1,8.689168633E0,1.681999060E2,2.431225169E0,2.763272329E2,1.275544225E1,7.809946750E0
