"Time (s)","X (hPa)"
-5.323392083E-1,9.740509796E2
4.682317917E-1,9.740516663E2
1.468807792E0,9.740523529E2
2.469386792E0,9.740594482E2
3.470407792E0,9.740599823E2
4.470541792E0,9.740599823E2
5.021496792E0,9.740599823E2
6.022068792E0,9.740673065E2
7.022645792E0,9.740737152E2
8.023218792E0,9.740902710E2
9.023796792E0,9.740991974E2
1.002437579E1,9.741082764E2
1.102494979E1,9.741141510E2
1.202552579E1,9.741305542E2
1.302610379E1,9.741305542E2
1.402667779E1,9.741168976E2
1.502725279E1,9.741027069E2
1.602783379E1,9.740938568E2
1.702840879E1,9.740542603E2
1.802898279E1,9.740169525E2
1.902956379E1,9.740168762E2
2.003014079E1,9.739999390E2
2.103071379E1,9.739999390E2
2.203128579E1,9.740065765E2
2.303186679E1,9.740065765E2
2.403244079E1,9.740040588E2
2.503301879E1,9.740016937E2
2.603359379E1,9.739968872E2
2.703416979E1,9.739798737E2
2.803474679E1,9.739798737E2
2.903531979E1,9.739714050E2
3.003602979E1,9.739678955E2
3.103647479E1,9.739598083E2
3.203705179E1,9.739597321E2
3.303763079E1,9.739495087E2
3.403820379E1,9.739279175E2
3.503878279E1,9.739279175E2
3.603935979E1,9.739246368E2
3.703993479E1,9.739170837E2
3.804051179E1,9.739170837E2
3.904108879E1,9.739238739E2
4.004166079E1,9.739238739E2
4.104223879E1,9.739163971E2
4.204281579E1,9.739163971E2
4.304339179E1,9.739163971E2
4.404396679E1,9.738968658E2
4.504454179E1,9.738912964E2
4.604512079E1,9.738834381E2
4.704569679E1,9.738674927E2
4.804626979E1,9.738582611E2
4.904684479E1,9.738582611E2
5.004742479E1,9.738582611E2
5.104799979E1,9.738523102E2
5.204884979E1,9.738487244E2
5.304915079E1,9.738478088E2
5.404973179E1,9.738410187E2
5.505030379E1,9.738074493E2
5.605088079E1,9.738054657E2
5.705145579E1,9.738044739E2
5.805203379E1,9.737953186E2
5.905293579E1,9.737774658E2
6.005318479E1,9.737721252E2
6.105376079E1,9.737721252E2
6.205433679E1,9.737587738E2
6.305491479E1,9.737355042E2
6.405549379E1,9.737327576E2
6.505606679E1,9.737258148E2
6.605664479E1,9.737031555E2
6.705721679E1,9.737031555E2
6.805779479E1,9.736901855E2
6.905837179E1,9.736859131E2
7.005895379E1,9.736663818E2
7.105952579E1,9.736631775E2
7.206009879E1,9.736631775E2
7.306070579E1,9.736318207E2
7.406124979E1,9.736318207E2
7.506183279E1,9.736289215E2
7.606240879E1,9.736180115E2
7.706298479E1,9.735984802E2
7.806355679E1,9.735943604E2
7.906413779E1,9.735852814E2
8.006490279E1,9.735619354E2
8.106528779E1,9.735619354E2
8.206586379E1,9.735547638E2
8.306643879E1,9.735349274E2
8.406701579E1,9.735136414E2
8.506758979E1,9.735050201E2
8.606816779E1,9.734951019E2
8.706893279E1,9.734671021E2
8.806931879E1,9.734596252E2
8.906989479E1,9.734518433E2
9.007047479E1,9.734436798E2
9.107104779E1,9.734098816E2
9.207162779E1,9.734052277E2
9.307220379E1,9.733990479E2
9.407277779E1,9.733813477E2
9.507335779E1,9.733605194E2
9.607392879E1,9.733596039E2
