"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.317079167E-2,-2.847804725E-1,-3.512140810E-1,1.699398458E-1
3.320079167E-2,-3.458482027E-1,-3.986948729E-1,9.190161526E-2
4.323079167E-2,-3.979175389E-1,-4.412276745E-1,1.067067869E-2
5.325979167E-2,-4.310931861E-1,-4.741353691E-1,-6.081762537E-2
6.328979167E-2,-4.418374300E-1,-4.913889170E-1,-1.162617132E-1
7.331979167E-2,-4.223624468E-1,-4.866309464E-1,-1.453995556E-1
8.334979167E-2,-4.226601720E-1,-5.188543797E-1,-1.982627660E-1
9.337979167E-2,-4.331268668E-1,-4.414461553E-1,-2.336433679E-1
1.034097917E-1,-4.327380359E-1,-3.174933195E-1,-1.981429011E-1
1.134397917E-1,-4.251345098E-1,-1.891887635E-1,-1.600303352E-1
1.234697917E-1,-4.109318554E-1,-9.698693454E-2,-1.204035580E-1
1.334997917E-1,-3.953647316E-1,-2.913589962E-2,-7.064782828E-2
1.435297917E-1,-3.717899024E-1,3.142278641E-2,1.232753508E-3
1.535597917E-1,-3.509596288E-1,-1.023627724E-2,7.174879313E-2
1.635897917E-1,-3.467012346E-1,-1.554749608E-1,9.064152092E-2
1.736197917E-1,-3.672621846E-1,-2.442639470E-1,7.176264375E-2
1.836487917E-1,-4.340808988E-1,-3.298435807E-1,2.220893651E-2
1.936787917E-1,-5.764003992E-1,-4.357199371E-1,-6.299335510E-2
2.037087917E-1,-7.360270619E-1,-5.648294687E-1,-1.353181452E-1
2.137387917E-1,-9.785775542E-1,-8.348060846E-1,-1.880870610E-1
2.237687917E-1,-1.292096019E0,-1.294880986E0,-1.010475010E-1
2.337987917E-1,-1.547615409E0,-1.580781817E0,-2.560059540E-3
2.438287917E-1,-1.733124256E0,-1.834869742E0,9.101756662E-2
2.538587917E-1,-1.830756068E0,-2.179711342E0,1.796206534E-1
2.638887917E-1,-1.973436475E0,-2.350781202E0,2.380069941E-1
2.739187917E-1,-2.241027594E0,-2.444687366E0,2.340771854E-1
2.839487917E-1,-2.498363018E0,-2.573483706E0,2.866554558E-1
2.939790833E-1,-2.849471807E0,-2.541326761E0,3.791275918E-1
3.040090833E-1,-3.175615072E0,-2.413351774E0,4.943199456E-1
3.140390833E-1,-3.400066376E0,-2.187196732E0,6.244418621E-1
3.240680833E-1,-3.437662363E0,-1.836418271E0,7.482836246E-1
3.340980833E-1,-3.201653242E0,-1.413991690E0,8.078107834E-1
3.441280833E-1,-2.745758772E0,-8.831032515E-1,8.183550239E-1
3.541580833E-1,-2.188083649E0,-4.313072562E-1,7.685189247E-1
3.641880833E-1,-1.607398272E0,-2.826530933E-1,6.855340600E-1
3.742180833E-1,-1.057520390E0,-4.382683933E-1,6.143221855E-1
3.842480833E-1,-5.219861269E-1,-6.301224828E-1,5.592746139E-1
3.942780833E-1,-2.758200280E-2,-7.607811093E-1,4.849725068E-1
4.043080833E-1,3.580290675E-1,-6.741407514E-1,3.725639582E-1
4.143380833E-1,7.018036842E-1,-2.239810973E-1,2.656349540E-1
4.243680833E-1,8.958147168E-1,-3.404250834E-3,1.439439356E-1
4.343980833E-1,1.014716744E0,4.095410705E-1,1.205889732E-1
4.444280833E-1,1.053450346E0,6.234387159E-1,2.143527567E-1
4.544580833E-1,9.798787236E-1,6.742125154E-1,3.635473251E-1
4.644870833E-1,8.369833827E-1,6.240167022E-1,5.186383724E-1
4.745170833E-1,6.818312407E-1,4.373025596E-1,6.550763845E-1
4.845470833E-1,5.727769136E-1,1.999302208E-1,7.623842359E-1
4.945770833E-1,5.604169369E-1,3.081964795E-3,8.172925711E-1
5.046070833E-1,6.044014096E-1,-1.488286536E-3,7.514901757E-1
5.146370833E-1,7.408705950E-1,-2.333259955E-2,5.871057510E-1
5.246670833E-1,1.042564869E0,-1.236506775E-1,4.275757074E-1
5.346970833E-1,1.417889714E0,-2.169336081E-1,3.323262036E-1
5.447270833E-1,1.762352347E0,-1.735294163E-1,3.169714808E-1
5.547570833E-1,1.944854021E0,-9.918522090E-2,2.886074185E-1
5.647870833E-1,1.936138272E0,-1.097768843E-1,2.357937396E-1
5.748170833E-1,1.632492185E0,-3.698610663E-1,1.363969594E-1
5.848470833E-1,1.039564133E0,-6.324242353E-1,1.695232838E-2
