"Time (s)","X (hPa)"
-5.103572919E-1,9.797228241E2
5.229777084E-1,9.797336578E2
1.522987708E0,9.797444153E2
2.556251708E0,9.797522736E2
3.589535708E0,9.797596741E2
3.814471708E0,9.797610474E2
4.881162708E0,9.797615814E2
5.947855708E0,9.797628784E2
7.014519708E0,9.797628784E2
8.081177708E0,9.797630310E2
9.147842708E0,9.797634888E2
1.021457971E1,9.797651672E2
1.128131071E1,9.797653961E2
1.234802171E1,9.797653961E2
1.341471871E1,9.797654724E2
1.448138471E1,9.797650146E2
1.554809671E1,9.797654724E2
1.661482271E1,9.797667694E2
1.768157371E1,9.797689819E2
1.874835971E1,9.797706604E2
1.981507971E1,9.797733307E2
2.088174971E1,9.797759247E2
2.194841371E1,9.797762299E2
2.301511771E1,9.797762299E2
2.408184571E1,9.797756958E2
2.514856271E1,9.797747803E2
2.621533671E1,9.797734833E2
2.728200971E1,9.797730255E2
2.834870571E1,9.797734833E2
2.941542471E1,9.797737122E2
3.048207171E1,9.797743988E2
3.154875471E1,9.797765350E2
3.261546671E1,9.797770691E2
3.368220871E1,9.797770691E2
3.474896371E1,9.797770691E2
3.581567571E1,9.797750092E2
3.688240571E1,9.797689056E2
3.794913971E1,9.797653961E2
3.901592271E1,9.797543335E2
4.008267071E1,9.797382355E2
4.114934971E1,9.797286224E2
4.221601071E1,9.797265625E2
4.328271871E1,9.797207642E2
4.434939471E1,9.797207642E2
4.541605071E1,9.797230530E2
4.648269371E1,9.797230530E2
4.754933371E1,9.797163391E2
4.861600871E1,9.797082520E2
4.968270771E1,9.797082520E2
5.074943071E1,9.797100067E2
5.181615371E1,9.797223663E2
5.288287571E1,9.797294617E2
5.394961271E1,9.797438049E2
5.501634571E1,9.797438049E2
5.608305071E1,9.797406006E2
5.714976771E1,9.797394562E2
5.821647871E1,9.797394562E2
5.928322671E1,9.797417450E2
6.034998771E1,9.797426605E2
6.141671171E1,9.797572327E2
6.248343971E1,9.797756195E2
6.355017571E1,9.797930908E2
6.461688471E1,9.797969818E2
6.568363771E1,9.798149109E2
6.675035671E1,9.798201752E2
6.781704071E1,9.798201752E2
6.888370271E1,9.798162079E2
6.995039071E1,9.798162079E2
7.101708171E1,9.798319244E2
7.208376671E1,9.798532867E2
7.315047271E1,9.798844910E2
