Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),DGM_Height_m
0.06164002419,50.58444634,8.699853988,179.1972351,,,426.4889429,23.43998337,161.6750030517578
0.5779850483,50.58340004,8.700218951,177.5318298,,,138.3333333,18.80473137,165.6540069580078
0.6285717487,50.5843717,8.699836051,182.2084618,1.519999981,180.703125,7.224631878,12.0,161.99200439453125
1.596585631,50.58438675,8.699838482,177.0442162,1.75,216.2109375,3.535533906,4.0,161.97500610351562
2.596612692,50.58438285,8.699819287,177.5924339,1.75,223.2421875,3.535533906,3.0,162.0120086669922
3.596639037,50.58437568,8.69979389,177.4971581,2.390000105,223.9453125,3.535533906,3.0,162.1120147705078
4.596663237,50.58436269,8.699765392,177.330349,2.460000038,224.296875,3.535533906,3.0,162.1490020751953
5.596687078,50.58434706,8.699734965,177.4444237,3.069999933,224.296875,3.535533906,3.0,162.12200927734375
6.597324252,50.58433109,8.69970588,177.3977928,3.069999933,222.890625,3.535533906,3.0,162.25601196289062
7.597334981,50.58431529,8.699677717,177.417202,2.960000038,224.6484375,3.535533906,3.0,162.26300048828125
8.59732163,50.58429777,8.699648213,177.4239159,2.960000038,223.9453125,3.535533906,3.0,162.3360137939453
9.597325802,50.5842805,8.699617954,177.3387718,2.900000095,225.0,3.535533906,3.0,162.4630126953125
10.59732819,50.58426311,8.699588953,177.5051537,2.900000095,224.6484375,3.535533906,3.0,162.4910125732422
11.5973084,50.5842448,8.699559281,177.6869164,2.900000095,225.0,3.535533906,3.0,162.72801208496094
12.59730923,50.58422611,8.699530028,177.7736473,2.950000048,223.59375,3.535533906,3.0,162.9250030517578
13.59730744,50.5842069,8.699501307,177.7736481,2.950000048,223.5937278,4.605029299,3.552216517,163.05300903320312
14.59728456,50.58418726,8.699472098,177.9716461,2.980000019,223.5937276,4.605029271,3.552216554,163.11000061035156
15.59727836,50.58416828,8.699443653,178.1376007,2.940000057,223.5937279,4.605029244,3.552216589,163.02200317382812
16.59728169,50.58414897,8.699413077,177.886319,3.019999981,224.296852,4.605029217,3.552216624,163.1590118408203
17.59725595,50.58413027,8.699385399,177.7456939,2.940000057,223.5937279,4.605029189,3.55221666,163.21200561523438
18.59724593,50.58411114,8.699358033,177.9184845,2.920000076,223.2421657,4.605029161,3.552216696,163.30801391601562
19.59724331,50.58409289,8.699330979,177.7266509,2.839999914,223.2421663,4.605029135,3.552216731,163.40701293945312
20.59721649,50.58407289,8.699304831,177.5916412,2.890000105,221.8359165,4.605029105,3.552216769,163.51300048828125
21.59718883,50.5840524,8.699281242,177.4257476,2.890000105,219.7265424,4.605029073,3.552216811,163.68701171875
22.59716272,50.58402993,8.699261483,177.6148346,2.890000105,214.8046695,4.605029036,3.552216859,163.82000732421875
23.59713805,50.58400768,8.699244534,177.4040801,2.829999924,211.6406088,4.605028997,3.552216909,164.05601501464844
24.59711492,50.58398522,8.699229129,177.3949249,2.829999924,208.8281101,4.605028957,3.552216961,164.27700805664062
25.59709227,50.58396408,8.699215937,177.1304595,2.710000038,206.7187367,4.605028917,3.552217013,164.5500030517578
26.59707201,50.58394014,8.699207651,177.1785552,2.74000001,201.0937392,4.605028871,3.552217072,164.6890106201172
27.59705174,50.58391474,8.699203544,177.1708648,2.74000001,195.468742,4.60502882,3.552217138,164.8260040283203
28.59703374,50.5838887,8.699203161,177.5022857,2.75999999,189.4921825,4.605028766,3.552217209,165.0150146484375
29.59701538,50.58386234,8.699204476,177.5516021,2.799999952,186.3281216,4.605028709,3.552217282,165.06900024414062
30.59699857,50.58383848,8.699209149,177.7240874,2.660000086,182.4609363,4.605028655,3.552217353,165.3330078125
31.59698367,50.58381525,8.699214994,177.8390166,2.660000086,179.2968754,4.605028602,3.552217421,165.92401123046875
