"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.581125003E-3,-6.224356384E0,1.735041962E0,8.580756226E0
1.861012500E-2,-6.274202728E0,1.996099091E0,8.720864868E0
2.863812500E-2,-6.062393188E0,1.998943176E0,8.893905029E0
3.866712500E-2,-5.757477264E0,1.764380951E0,8.756640472E0
4.869512500E-2,-5.291496277E0,1.474583588E0,8.650361481E0
5.872312500E-2,-4.670737152E0,1.430425415E0,8.910670166E0
6.875212500E-2,-3.990252228E0,1.291214905E0,9.385482788E0
7.878012500E-2,-3.533551941E0,9.475296021E-1,9.401948547E0
8.880912500E-2,-3.257975006E0,8.075706482E-1,9.458530884E0
9.883712500E-2,-3.320544891E0,5.631289673E-1,9.066196747E0
1.088651250E-1,-3.212918701E0,3.396437073E-1,8.447233887E0
1.188941250E-1,-3.652105408E0,1.383123779E-1,7.675887909E0
1.289221250E-1,-4.098177795E0,9.430389404E-3,7.846832428E0
1.389511250E-1,-4.606371002E0,1.442999268E-1,8.639134827E0
1.489791250E-1,-4.714895325E0,6.297404480E-1,9.090745697E0
1.590071250E-1,-4.644242249E0,1.134790192E0,9.367669830E0
1.690361250E-1,-4.545298004E0,1.365161133E0,9.911189575E0
1.790641250E-1,-4.214635620E0,1.217867432E0,1.012644196E1
1.890931250E-1,-3.639082489E0,1.408570862E-1,9.916428680E0
1.991211250E-1,-3.813769226E0,1.173559570E-1,9.605824585E0
2.091491250E-1,-3.610791321E0,4.337979126E-1,8.743467865E0
2.191781250E-1,-3.153941345E0,2.731819153E-1,8.842861176E0
2.292061250E-1,-2.911894684E0,5.962101746E-1,9.134155426E0
2.392351250E-1,-2.706671448E0,8.987310791E-1,9.595945129E0
2.492631250E-1,-3.501368866E0,8.114625549E-1,1.044213547E1
2.592911250E-1,-4.402045898E0,8.333171082E-1,1.132664612E1
2.693201250E-1,-4.621339874E0,1.172212372E0,1.193827423E1
2.793481250E-1,-3.685935059E0,1.541344757E0,1.177511353E1
2.893771250E-1,-2.581980743E0,1.635049896E0,1.135344040E1
2.994051250E-1,-1.872905273E0,1.571432190E0,1.104927292E1
3.094331250E-1,-1.535207520E0,1.242566071E0,1.079914307E1
3.194621250E-1,-9.985734558E-1,9.792636108E-1,1.036609360E1
3.294901250E-1,-2.523751831E-1,1.028511200E0,9.187893677E0
3.395191250E-1,4.894821167E-2,1.011147308E0,7.823331299E0
3.495471250E-1,6.676116943E-2,2.770738220E-1,7.299720154E0
3.595751250E-1,-1.818717957E-1,-5.098397827E-1,7.294780426E0
3.696041250E-1,-8.463400269E-1,-9.714797974E-1,7.644004211E0
3.796321250E-1,-1.717827759E0,-1.484163666E0,7.960446167E0
3.896611250E-1,-4.964725800E0,-3.084186401E0,7.298073578E0
3.996891250E-1,-9.908794556E0,-5.659281464E0,7.087611237E0
4.097171250E-1,-7.924371185E0,-3.108585663E0,9.311087494E0
4.197461250E-1,-2.272125092E0,1.139280853E0,7.673792267E0
4.297741250E-1,-2.405497742E-1,1.438508606E-1,5.580245819E0
4.398031250E-1,-3.103047180E-1,-9.131011963E-1,7.018005981E0
4.498311250E-1,-7.508386230E-1,-8.068222046E-1,1.006581802E1
4.598591250E-1,-1.217118988E0,-1.725910950E-1,1.182960022E1
4.698881250E-1,-1.508862305E0,2.359094238E-1,1.316063232E1
4.799161250E-1,-5.634283447E-1,2.550695801E-1,1.362975677E1
4.899451250E-1,6.161187744E-1,4.710704041E-1,1.152423523E1
4.999731250E-1,-1.763333130E-1,2.101180573E0,8.893156586E0
5.100011250E-1,-3.128494263E-1,2.676883392E0,1.094449081E1
5.200301250E-1,7.813751221E-2,1.466650085E0,1.090093140E1
5.300581250E-1,4.549040222E-1,5.496569824E-1,1.119432129E1
5.400871250E-1,3.959266663E-1,7.598199463E-1,1.203437439E1
5.501151250E-1,1.086291046E0,6.026467896E-1,1.233165619E1
5.601441250E-1,1.279838562E0,7.906558228E-1,1.091111023E1
5.701721250E-1,6.902146912E-1,1.719923401E0,9.456884308E0
5.802001250E-1,-5.535488892E-1,1.978136444E0,9.066645813E0
5.902291250E-1,-1.297651520E0,1.732646942E0,8.979377289E0
6.002571250E-1,-7.819738770E-1,1.478924561E0,8.068671112E0
6.102861250E-1,-5.691165161E-1,1.706601105E0,7.745044098E0
6.203141250E-1,-3.441343689E-1,1.904788971E0,8.865613861E0
6.303421250E-1,5.953120422E-1,1.899699554E0,9.649533691E0
6.403711250E-1,1.081201630E0,1.823957062E0,9.351653137E0
6.503991250E-1,6.764433289E-1,1.990710297E0,8.866511993E0
6.604281250E-1,1.881587219E-1,2.121388550E0,9.209748230E0
6.704561250E-1,-2.309696960E-1,1.336720276E0,9.859846344E0
6.804841250E-1,-6.953041077E-1,1.252894592E0,9.209748230E0
6.905131250E-1,-9.693841553E-1,1.582209778E0,9.083710327E0
7.005411250E-1,-1.349892883E0,1.339414673E0,9.381141815E0
7.105701250E-1,-9.400451660E-1,1.251697083E0,9.868677979E0
7.205981250E-1,4.674778748E-1,1.555415497E0,1.011222153E1
7.306261250E-1,-6.062393188E-2,1.544637909E0,1.040486298E1
7.406551250E-1,8.771759033E-2,1.117126923E0,1.029364426E1
7.506831250E-1,-2.728825378E-1,1.681303711E0,9.085207214E0
7.607121250E-1,-1.793270874E0,2.377356262E0,8.581804047E0
7.707400000E-1,-1.901645508E0,2.058968353E0,8.816366272E0
7.807690000E-1,-8.592132568E-1,2.053429871E0,9.364226990E0
7.907970000E-1,-7.212002563E-1,2.113455048E0,8.972341919E0
8.008250000E-1,-1.358125763E0,1.582658844E0,9.125922546E0
8.108540000E-1,-1.639091492E0,1.275347900E0,8.991502075E0
8.208820000E-1,-1.128203888E0,1.472637634E0,8.983418884E0
8.309110000E-1,-1.178798676E0,1.385518799E0,8.907975769E0
8.409390000E-1,-1.367855530E0,1.582060089E0,8.934171295E0
8.509670000E-1,-1.366807709E0,1.832040253E0,8.945397949E0
8.609960000E-1,-1.102158051E0,1.885329437E0,8.718170471E0
8.710240000E-1,-1.506467285E0,1.853745117E0,8.715326385E0
8.810530000E-1,-2.151026917E0,2.014361115E0,8.342601471E0
8.910810000E-1,-1.626817017E0,2.230960693E0,8.410260773E0
9.011090000E-1,-1.529519348E0,2.112407227E0,8.394244080E0
9.111380000E-1,-1.313668213E0,2.049388275E0,8.793613586E0
9.211660000E-1,-1.137334900E0,2.026934967E0,9.113797760E0
9.311950000E-1,-1.069376221E0,2.028132477E0,9.386231232E0
9.412230000E-1,-1.035845947E0,1.953138428E0,9.580826569E0
9.512520000E-1,-8.668473816E-1,1.974244537E0,9.851912842E0
9.612800000E-1,-7.435038757E-1,2.225422211E0,1.005788452E1
9.713080000E-1,-4.351451111E-1,2.279160461E0,1.028271698E1
9.813370000E-1,3.800596619E-1,2.734663239E0,1.100721039E1
9.913650000E-1,-5.424719238E-1,2.056423645E0,1.044497955E1
1.001394000E0,-3.595523071E-1,2.093396759E0,1.018990997E1
1.011422000E0,-1.077758789E-2,2.445165253E0,1.017673737E1
1.021450000E0,-2.327659607E-1,1.891766052E0,9.370064850E0
1.031479000E0,1.890568542E-1,1.627715149E0,9.107959900E0
1.041507000E0,6.303392029E-1,1.868414612E0,9.932445374E0
1.051536000E0,4.981640625E-1,2.118843842E0,9.768236847E0
1.061564000E0,2.320175171E-2,2.955154724E0,9.456435242E0
1.071592000E0,-7.728428650E-1,2.826123047E0,9.275012512E0
1.081621000E0,-5.812413025E-1,2.350112915E0,9.461824036E0
1.091649000E0,-4.257147217E-1,2.122436371E0,9.145082703E0
1.101678000E0,-7.643106079E-1,2.103126526E0,9.320218506E0
1.111706000E0,-7.500901794E-1,2.390977936E0,8.925339661E0
1.121735000E0,-8.430468750E-1,2.568059692E0,8.644523621E0
1.131763000E0,-7.677534485E-1,2.625240784E0,8.743617554E0
1.141791000E0,-7.533833313E-1,2.339485016E0,8.750054169E0
1.151820000E0,-7.897576904E-1,2.398462372E0,8.604407043E0
1.161848000E0,-6.780899048E-1,2.265838165E0,8.720415802E0
1.171877000E0,-6.390211487E-1,2.404599609E0,8.825646973E0
1.181905000E0,-6.324348450E-1,2.447260895E0,8.874295807E0
1.191934000E0,-5.562432861E-1,2.424957275E0,9.058712311E0
1.201962000E0,-5.147795105E-1,2.404898987E0,9.378896484E0
1.211990000E0,-5.032534790E-1,2.399210815E0,9.656868439E0
1.222019000E0,-3.502716064E-1,2.414029999E0,9.848919067E0
1.232047000E0,-1.302291870E-1,2.499053192E0,1.002540207E1
1.242076000E0,-1.197509766E-3,2.736459503E0,1.014215927E1
1.252104000E0,2.401007080E-1,2.824027405E0,1.019709503E1
1.262132000E0,3.706292725E-1,2.714305573E0,1.015877472E1
1.272161000E0,2.444416809E-1,3.025957489E0,1.018661682E1
1.282189000E0,2.821632385E-1,3.163521423E0,1.014021332E1
1.292218000E0,3.646417236E-1,3.273243256E0,1.013048355E1
