Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),DGM_Height_m
0.9126335382,50.58825741,8.687988757,158.1470036,0.2037905271,49.61549044,8.982489493,4.306799601,177.54600524902344
1.912620902,50.58826149,8.687993356,158.1294744,0.1588509131,49.61549423,8.968672755,4.21977022,177.5050048828125
2.912608266,50.58826239,8.687994241,158.3262107,0.0,49.61549498,8.907638321,4.076996789,177.5050048828125
3.912596583,50.58826239,8.687994241,158.3262107,0.0,49.61549498,8.911397387,4.017333889,177.5050048828125
4.912584424,50.58826239,8.687994241,158.3262107,0.0,49.61549498,9.165283624,4.077144774,177.5050048828125
5.912571669,50.58827523,8.688004084,158.3149227,0.177643403,49.61550371,9.378024311,4.175829444,177.57901000976562
6.912560463,50.58828474,8.688015334,158.3290773,0.4489768362,49.61551292,9.411724287,4.149516543,177.30801391601562
7.912547469,50.58827932,8.688025913,158.2854581,0.3217096375,100.3337818,9.34765338,4.112273493,177.30801391601562
8.912535071,50.58828057,8.688031991,158.1721606,0.3493789752,100.3337869,9.289935906,3.900208927,177.22201538085938
9.912523985,50.58828729,8.688037836,158.1335844,0.3171434823,100.3337927,9.274672343,3.871430984,177.22201538085938
10.91251075,50.58829082,8.688042232,158.1455004,0.1875562094,100.3337968,9.343558123,3.274315099,177.1680145263672
11.91249955,50.58828633,8.688041875,158.2521615,0.09390344756,100.3337957,9.552138204,3.0,177.22201538085938
12.91248667,50.58830123,8.688050864,158.7986152,0.1646752077,100.3338054,9.607378313,3.0,177.09100341796875
13.91247404,50.58832127,8.688086442,157.7110617,1.530383947,47.27820013,9.654491277,3.0,176.8040008544922
14.91246176,50.58834399,8.688097982,156.8439768,2.195930913,39.05450813,9.859471919,3.0,176.57501220703125
15.91244972,50.58836999,8.68810803,155.4725498,2.470340222,37.65779199,9.866612297,3.0,176.23800659179688
16.91243732,50.58838908,8.688114361,154.8541985,2.27352677,35.38943475,9.830829922,3.0,176.06100463867188
17.9124254,50.58840655,8.688126106,156.370118,2.085776964,25.59628054,9.849168471,3.0,175.97500610351562
18.91241336,50.58842273,8.688137467,156.9503873,1.86220642,19.92866826,9.817844109,3.0,175.92201232910156
19.91240025,50.58844014,8.688168549,157.3156941,1.887064865,28.01434542,10.03435456,3.0,175.6820068359375
20.91238856,50.58846831,8.688200487,157.0737989,2.109350679,30.39952557,10.12566789,3.0,175.3610076904297
21.91237521,50.58849925,8.688233028,157.5488956,2.126159724,26.87560925,10.10117306,3.0,175.1120147705078
22.91236436,50.5885328,8.688278118,158.2777467,2.474907713,29.55606869,10.29978944,3.0,174.72201538085938
23.91235173,50.58856276,8.688319515,157.637711,2.671233256,32.99340579,10.55623022,3.0,174.46600341796875
24.91233909,50.5885766,8.688338618,156.9374461,2.045325441,33.46804974,10.5050129,3.018387774,174.1300048828125
25.91232705,50.58859504,8.688360851,156.8140264,1.740202528,28.727082,10.66622423,3.013501133,173.9580078125
26.91231406,50.58860732,8.688383607,157.8818135,1.344833614,29.71311578,10.62254123,3.0,173.77200317382812
27.91230261,50.58863187,8.688409878,157.9278327,1.590743239,25.92237347,10.52889965,3.0,173.45001220703125
28.9122901,50.5886534,8.688435098,157.3812796,1.827938427,26.30463907,10.32454399,3.0,173.2650146484375
