"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.328125001E-3,1.798029803E-2,-1.170926929E0,4.240963161E-1
1.735612500E-2,-2.801017463E-1,-1.308087468E0,3.044322431E-1
2.738512500E-2,-6.001927853E-1,-1.379454970E0,1.483757943E-1
3.741312500E-2,-8.654734492E-1,-1.400101185E0,-3.707485041E-3
4.744212500E-2,-1.067723751E0,-1.223431468E0,-9.829043597E-2
5.747012500E-2,-1.187146544E0,-1.068254352E0,-1.095862389E-1
6.749812500E-2,-1.227868438E0,-9.118864536E-1,-5.644290522E-2
7.752712500E-2,-1.204399586E0,-6.995185614E-1,4.379341751E-2
8.755512500E-2,-1.127791762E0,-4.908911586E-1,1.382483542E-1
9.758312500E-2,-9.654071331E-1,-4.292717278E-1,2.372433692E-1
1.076121250E-1,-7.635101676E-1,-3.786843419E-1,3.335925341E-1
1.176401250E-1,-5.709468722E-1,-2.771372199E-1,3.895388842E-1
1.276691250E-1,-4.329783916E-1,-2.548907697E-1,3.678503335E-1
1.376971250E-1,-3.705778420E-1,-3.252419233E-1,3.143037558E-1
1.477251250E-1,-3.782150745E-1,-4.219825864E-1,2.762061357E-1
1.577541250E-1,-4.551271498E-1,-5.137577653E-1,2.665268779E-1
1.677821250E-1,-5.626218915E-1,-6.155121326E-1,3.359520733E-1
1.778111250E-1,-6.631836891E-1,-7.154389620E-1,4.358783960E-1
1.878391250E-1,-7.360706925E-1,-8.924483061E-1,5.094478130E-1
1.978671250E-1,-6.716080308E-1,-8.731087446E-1,5.921016335E-1
2.078961250E-1,-5.622338057E-1,-7.531065345E-1,6.851420403E-1
2.179241250E-1,-4.823501706E-1,-6.883326173E-1,7.752996683E-1
2.279531250E-1,-4.775805175E-1,-6.498668194E-1,8.601282835E-1
2.379811250E-1,-5.660502315E-1,-6.726786494E-1,8.866727948E-1
2.480091250E-1,-7.294447422E-1,-8.167155385E-1,8.202111721E-1
2.580381250E-1,-9.473618865E-1,-1.136301279E0,6.898073554E-1
2.680661250E-1,-1.230634570E0,-1.589802742E0,5.757554770E-1
2.780951250E-1,-1.617563009E0,-2.017775536E0,5.346596837E-1
2.881231250E-1,-2.047163248E0,-2.361271143E0,5.657555461E-1
2.981511250E-1,-2.427801371E0,-2.423398256E0,6.735592484E-1
3.081801250E-1,-2.615581751E0,-2.208819628E0,8.517888188E-1
3.182081250E-1,-2.501431942E0,-1.892995000E0,1.129413962E0
3.282371250E-1,-2.156079769E0,-1.322184682E0,1.482862949E0
3.382651250E-1,-1.750251055E0,-7.310646176E-1,1.836188555E0
3.482931250E-1,-1.407371998E0,-3.860648572E-1,2.151123524E0
3.583221250E-1,-1.117954850E0,-2.591351569E-1,2.359992027E0
3.683501250E-1,-8.261089325E-1,-2.836340368E-1,2.473269701E0
3.783791250E-1,-4.617221653E-1,-2.890282571E-1,2.352192879E0
3.884071250E-1,1.920789629E-1,4.939910471E-1,1.540613890E0
3.984361250E-1,7.308031321E-1,6.948724389E-1,1.566803753E-1
4.084641250E-1,1.265369177E0,5.554030091E-2,-4.501457214E-1
4.184921250E-1,1.952429295E0,-3.965834975E-1,-4.369750619E-1
4.285211250E-1,2.513588905E0,-3.719966412E-1,-3.832212090E-1
4.385491250E-1,2.881177187E0,-6.653856635E-1,-4.066452980E-1
4.485781250E-1,3.061709166E0,-1.374647975E0,-5.009750128E-1
4.586061250E-1,2.968284845E0,-2.175507545E0,-6.846390963E-1
4.686341250E-1,2.531143904E0,-3.026028395E0,-9.875913262E-1
4.786631250E-1,1.902290821E0,-3.770496130E0,-1.306166887E0
4.886911250E-1,1.169242263E0,-3.789537907E0,-1.271536589E0
4.987201250E-1,7.088334560E-1,-2.847798347E0,-6.316521764E-1
5.087481250E-1,1.144310609E-1,-1.567078114E0,-2.062780559E-1
5.187761250E-1,-1.340152323E-1,-4.040479958E-1,1.031816937E-2
5.288051250E-1,-3.533519506E-1,2.639476955E-1,1.676693186E-2
5.388331250E-1,-5.679305792E-1,4.671894908E-1,4.204805195E-2
5.488621250E-1,-7.362432480E-1,3.984389007E-1,1.367445290E-1
5.588901250E-1,-7.308601737E-1,1.967433244E-1,3.264569640E-1
5.689181250E-1,-6.083695292E-1,-1.221745834E-1,4.184805751E-1
5.789471250E-1,-3.573279679E-1,-6.246199012E-1,3.293951750E-1
5.889751250E-1,7.798551023E-2,-1.222808719E0,1.413672268E-1
5.990041250E-1,6.176825166E-1,-1.377967834E0,-6.025403365E-2
6.090321250E-1,9.084241986E-1,-7.652803063E-1,-2.327598184E-1
6.190601250E-1,8.957824707E-1,-8.927463740E-2,-2.316966951E-1
6.290891250E-1,7.290977240E-1,1.583764851E-1,-5.603871122E-2
6.391171250E-1,4.811100066E-1,4.766758978E-1,1.583777070E-1
6.491461250E-1,2.828094065E-1,9.326048493E-1,3.500408530E-1
6.591741250E-1,1.412182152E-1,1.078329802E0,4.243507683E-1
6.692021250E-1,1.080381349E-1,1.016680121E0,4.046180248E-1
6.792311250E-1,2.134977132E-1,8.783808351E-1,3.451933265E-1
