"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.126335382E-1,5.058825741E1,8.687988757E0,1.581470036E2,2.037905271E-1,4.961549044E1,8.982489493E0,4.306799601E0
1.912620902E0,5.058826149E1,8.687993356E0,1.581294744E2,1.588509131E-1,4.961549423E1,8.968672755E0,4.219770220E0
2.912608266E0,5.058826239E1,8.687994241E0,1.583262107E2,0.000000000E0,4.961549498E1,8.907638321E0,4.076996789E0
3.912596583E0,5.058826239E1,8.687994241E0,1.583262107E2,0.000000000E0,4.961549498E1,8.911397387E0,4.017333889E0
4.912584424E0,5.058826239E1,8.687994241E0,1.583262107E2,0.000000000E0,4.961549498E1,9.165283624E0,4.077144774E0
5.912571669E0,5.058827523E1,8.688004084E0,1.583149227E2,1.776434030E-1,4.961550371E1,9.378024311E0,4.175829444E0
6.912560463E0,5.058828474E1,8.688015334E0,1.583290773E2,4.489768362E-1,4.961551292E1,9.411724287E0,4.149516543E0
7.912547469E0,5.058827932E1,8.688025913E0,1.582854581E2,3.217096375E-1,1.003337818E2,9.347653380E0,4.112273493E0
8.912535071E0,5.058828057E1,8.688031991E0,1.581721606E2,3.493789752E-1,1.003337869E2,9.289935906E0,3.900208927E0
9.912523985E0,5.058828729E1,8.688037836E0,1.581335844E2,3.171434823E-1,1.003337927E2,9.274672343E0,3.871430984E0
1.091251075E1,5.058829082E1,8.688042232E0,1.581455004E2,1.875562094E-1,1.003337968E2,9.343558123E0,3.274315099E0
1.191249955E1,5.058828633E1,8.688041875E0,1.582521615E2,9.390344756E-2,1.003337957E2,9.552138204E0,3.000000000E0
1.291248667E1,5.058830123E1,8.688050864E0,1.587986152E2,1.646752077E-1,1.003338054E2,9.607378313E0,3.000000000E0
1.391247404E1,5.058832127E1,8.688086442E0,1.577110617E2,1.530383947E0,4.727820013E1,9.654491277E0,3.000000000E0
1.491246176E1,5.058834399E1,8.688097982E0,1.568439768E2,2.195930913E0,3.905450813E1,9.859471919E0,3.000000000E0
1.591244972E1,5.058836999E1,8.688108030E0,1.554725498E2,2.470340222E0,3.765779199E1,9.866612297E0,3.000000000E0
1.691243732E1,5.058838908E1,8.688114361E0,1.548541985E2,2.273526770E0,3.538943475E1,9.830829922E0,3.000000000E0
1.791242540E1,5.058840655E1,8.688126106E0,1.563701180E2,2.085776964E0,2.559628054E1,9.849168471E0,3.000000000E0
1.891241336E1,5.058842273E1,8.688137467E0,1.569503873E2,1.862206420E0,1.992866826E1,9.817844109E0,3.000000000E0
1.991240025E1,5.058844014E1,8.688168549E0,1.573156941E2,1.887064865E0,2.801434542E1,1.003435456E1,3.000000000E0
2.091238856E1,5.058846831E1,8.688200487E0,1.570737989E2,2.109350679E0,3.039952557E1,1.012566789E1,3.000000000E0
2.191237521E1,5.058849925E1,8.688233028E0,1.575488956E2,2.126159724E0,2.687560925E1,1.010117306E1,3.000000000E0
2.291236436E1,5.058853280E1,8.688278118E0,1.582777467E2,2.474907713E0,2.955606869E1,1.029978944E1,3.000000000E0
2.391235173E1,5.058856276E1,8.688319515E0,1.576377110E2,2.671233256E0,3.299340579E1,1.055623022E1,3.000000000E0
2.491233909E1,5.058857660E1,8.688338618E0,1.569374461E2,2.045325441E0,3.346804974E1,1.050501290E1,3.018387774E0
2.591232705E1,5.058859504E1,8.688360851E0,1.568140264E2,1.740202528E0,2.872708200E1,1.066622423E1,3.013501133E0
2.691231406E1,5.058860732E1,8.688383607E0,1.578818135E2,1.344833614E0,2.971311578E1,1.062254123E1,3.000000000E0
2.791230261E1,5.058863187E1,8.688409878E0,1.579278327E2,1.590743239E0,2.592237347E1,1.052889965E1,3.000000000E0
2.891229010E1,5.058865340E1,8.688435098E0,1.573812796E2,1.827938427E0,2.630463907E1,1.032454399E1,3.000000000E0
2.991227829E1,5.058866963E1,8.688455904E0,1.575029516E2,1.921275024E0,2.813425574E1,1.040113127E1,3.000000000E0
3.091226542E1,5.058870002E1,8.688471162E0,1.581205165E2,2.331506207E0,2.126916778E1,1.027590063E1,3.000000000E0
3.191225326E1,5.058872380E1,8.688504886E0,1.580164213E2,2.644512630E0,2.784838579E1,1.020243819E1,3.000000000E0
3.291224098E1,5.058874650E1,8.688536946E0,1.566525788E2,2.734144644E0,3.144488848E1,1.019983420E1,3.000000000E0
3.391222918E1,5.058876392E1,8.688574589E0,1.570197704E2,2.728746524E0,3.970427081E1,1.016212278E1,3.000000000E0
3.491221666E1,5.058878368E1,8.688607496E0,1.565100794E2,2.705210222E0,4.336617324E1,9.905626843E0,3.000000000E0
3.591220438E1,5.058881058E1,8.688626623E0,1.555210684E2,2.667547369E0,3.787016685E1,9.738822082E0,3.168128459E0
3.691219223E1,5.058882939E1,8.688656925E0,1.549617580E2,2.559306644E0,3.842778262E1,9.545977955E0,3.205387128E0
3.791217959E1,5.058884798E1,8.688686864E0,1.549473109E2,2.538810023E0,3.675388770E1,9.427164542E0,3.207329143E0
3.891216719E1,5.058887238E1,8.688711717E0,1.558514129E2,2.653962625E0,2.994928860E1,9.281215603E0,3.031286978E0
3.991215551E1,5.058889837E1,8.688725611E0,1.560505521E2,2.674357564E0,2.232799337E1,9.121843307E0,3.000000000E0
4.091214287E1,5.058891519E1,8.688755240E0,1.555587672E2,2.568029916E0,2.820890118E1,9.092310684E0,3.000000000E0
4.191213000E1,5.058893149E1,8.688790431E0,1.560110758E2,2.571551037E0,3.534278090E1,8.990399095E0,3.000000000E0
4.291211808E1,5.058895377E1,8.688823585E0,1.558990527E2,2.782334267E0,3.591989951E1,8.899205783E0,3.000000000E0
4.391210592E1,5.058897490E1,8.688851567E0,1.563579847E2,2.679093973E0,3.587089305E1,8.817998302E0,3.000000000E0
4.491209364E1,5.058899412E1,8.688870889E0,1.559265355E2,2.623150956E0,3.153275321E1,8.667633915E0,3.000000000E0
4.591208184E1,5.058901258E1,8.688888495E0,1.556207489E2,2.616456226E0,2.897487956E1,8.498155318E0,3.000000000E0
4.691206920E1,5.058903519E1,8.688903413E0,1.568039428E2,2.718609727E0,2.675430519E1,8.521116004E0,3.000000000E0
4.791205680E1,5.058905454E1,8.688916628E0,1.562378417E2,2.618093749E0,2.828272994E1,8.378074629E0,3.000000000E0
4.891204429E1,5.058907103E1,8.688944211E0,1.555265511E2,2.586036782E0,3.212863198E1,8.214149336E0,3.000000000E0
4.991203189E1,5.058909332E1,8.688972054E0,1.565478489E2,2.743708851E0,3.138321710E1,8.137584449E0,3.000000000E0
5.091202009E1,5.058911213E1,8.688999429E0,1.564576631E2,2.826787092E0,3.008271979E1,8.132910078E0,3.000000000E0
5.191200829E1,5.058913423E1,8.689017274E0,1.561073267E2,2.824472580E0,2.395802645E1,8.291217189E0,3.000000000E0
5.291199493E1,5.058915189E1,8.689044096E0,1.569982121E2,2.690395709E0,2.654337811E1,8.228117042E0,3.000000000E0
5.391198325E1,5.058916823E1,8.689071715E0,1.565341999E2,2.489526334E0,3.103220894E1,8.225403441E0,3.000000000E0
5.491197157E1,5.058918596E1,8.689090618E0,1.572039213E2,2.357193332E0,3.042921458E1,8.191376483E0,3.000000000E0
5.591195846E1,5.058920174E1,8.689113961E0,1.572094628E2,2.234049681E0,3.460529390E1,8.126306706E0,3.000000000E0
5.691194630E1,5.058921819E1,8.689134392E0,1.562727357E2,2.180824516E0,3.470948466E1,8.040955026E0,3.000000000E0
5.791193497E1,5.058922970E1,8.689167434E0,1.569869444E2,2.337858421E0,4.158686118E1,7.986671024E0,3.000000000E0
5.891192162E1,5.058924744E1,8.689195113E0,1.567108609E2,2.482656564E0,4.171712766E1,8.014447579E0,3.000000000E0
5.991190958E1,5.058926454E1,8.689221012E0,1.574400866E2,2.626492864E0,4.208480112E1,7.841186594E0,3.000000000E0
6.091189742E1,5.058928347E1,8.689247210E0,1.576733478E2,2.775730865E0,4.094544186E1,7.879438364E0,3.000000000E0
6.191188514E1,5.058930027E1,8.689274265E0,1.575936066E2,2.890114438E0,3.976955260E1,7.751447211E0,3.000000000E0
6.291187298E1,5.058931517E1,8.689300035E0,1.570453689E2,2.890610431E0,4.009855410E1,7.633038672E0,3.000000000E0
6.391186047E1,5.058932992E1,8.689322967E0,1.577990660E2,2.761828702E0,4.093765433E1,7.741865762E0,3.000000000E0
6.491184819E1,5.058933910E1,8.689353133E0,1.579630711E2,2.556373308E0,4.447709531E1,7.625336363E0,3.000000000E0
6.591183650E1,5.058935167E1,8.689379760E0,1.569840085E2,2.450582051E0,4.461976476E1,7.446035576E0,3.000000000E0
6.691182363E1,5.058936900E1,8.689400568E0,1.590760129E2,2.395046212E0,4.175619510E1,7.291407233E0,3.000000000E0
6.791181183E1,5.058938851E1,8.689421537E0,1.577923862E2,2.444068950E0,4.033404842E1,7.134277296E0,3.000000000E0
6.891179943E1,5.058941120E1,8.689434418E0,1.577244145E2,2.417391465E0,3.248898112E1,7.037289527E0,3.000000000E0
