"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-7.791662938E-6,-3.212769012E0,4.143084412E0,9.083710327E0
1.002120833E-2,-3.320694580E0,4.026177521E0,8.952882385E0
2.005120833E-2,-3.544179840E0,3.910318451E0,8.691825256E0
3.008020834E-2,-3.756737823E0,4.037104797E0,8.629854126E0
4.011020833E-2,-3.756737823E0,4.230502625E0,8.667126617E0
5.013920833E-2,-3.477718048E0,4.200265503E0,8.715775452E0
6.016820834E-2,-3.138822784E0,4.004322968E0,8.779243469E0
7.019820833E-2,-2.854563904E0,3.834725647E0,8.764124908E0
8.022720833E-2,-2.752176819E0,3.860621796E0,8.754245453E0
9.025620834E-2,-2.699785767E0,3.888314209E0,8.700656891E0
1.002862083E-1,-2.728076935E0,3.749852142E0,8.702303467E0
1.103152083E-1,-2.809507599E0,3.648812256E0,8.726253662E0
1.203442083E-1,-2.796484680E0,3.626808014E0,8.743318176E0
1.303742083E-1,-2.677931213E0,3.590583344E0,8.716523895E0
1.404032083E-1,-2.632126465E0,3.466940460E0,8.602461090E0
1.504322083E-1,-2.636916504E0,3.368894348E0,8.482410736E0
1.604622083E-1,-2.734812927E0,3.331472168E0,8.343499603E0
1.704912083E-1,-2.782264252E0,3.351829834E0,8.241711273E0
1.805202083E-1,-2.717299347E0,3.306623840E0,8.212671661E0
1.905502083E-1,-2.677631836E0,3.264112244E0,8.231682129E0
2.005792083E-1,-2.667752380E0,3.258723450E0,8.265062714E0
2.106082083E-1,-2.715652771E0,3.242407379E0,8.289461975E0
2.206382083E-1,-2.630479889E0,3.190315704E0,8.306825867E0
2.306672083E-1,-2.485431519E0,3.144960022E0,8.219257965E0
2.406962083E-1,-2.386636963E0,2.957699432E0,8.112529907E0
2.507262083E-1,-2.465971985E0,2.826272736E0,8.170758820E0
2.607552083E-1,-2.671943665E0,2.927312622E0,8.287366333E0
2.707842083E-1,-2.837798767E0,3.082240448E0,8.428223419E0
2.808142083E-1,-2.790796509E0,3.107986908E0,8.580157471E0
2.908432083E-1,-2.730771332E0,3.037034454E0,8.726103973E0
3.008722083E-1,-2.739153900E0,3.028651886E0,8.985963593E0
3.109022083E-1,-2.828967133E0,3.150199127E0,9.189540253E0
3.209312083E-1,-3.020119629E0,3.196902008E0,9.353748779E0
3.309602083E-1,-3.129542084E0,3.168910217E0,9.528884583E0
3.409902083E-1,-3.016676788E0,3.150199127E0,9.657616882E0
3.510192083E-1,-2.759212189E0,3.087479553E0,9.656569061E0
3.610482083E-1,-2.450254669E0,2.940784607E0,9.717043304E0
3.710782083E-1,-2.398612061E0,2.808310089E0,9.779762878E0
3.811072083E-1,-2.272574158E0,2.911146240E0,9.942923584E0
3.911362083E-1,-2.306852875E0,2.949616241E0,9.753417664E0
4.011662083E-1,-2.434387665E0,2.887944489E0,9.567204895E0
4.111952083E-1,-2.512076111E0,2.786305847E0,9.484576721E0
4.212242083E-1,-2.615960083E0,2.508633270E0,9.417965240E0
4.312542083E-1,-2.872825928E0,2.353555756E0,9.668394470E0
4.412832083E-1,-2.863245850E0,2.389780426E0,9.697733459E0
4.513122083E-1,-2.635569305E0,2.451003113E0,9.793384552E0
4.613422083E-1,-2.310894470E0,2.370470581E0,1.001776794E1
4.713712083E-1,-2.141297150E0,2.190694427E0,1.042432251E1
4.814002083E-1,-1.820663910E0,1.896107025E0,1.084539688E1
4.914302083E-1,-1.023721161E0,1.450783081E0,1.213406708E1
5.014592083E-1,-1.695823517E0,1.554367676E0,1.302082306E1
5.114882083E-1,-1.519190826E0,1.877994690E0,1.231219666E1
5.215182083E-1,-7.150630188E-1,2.091001740E0,1.139056320E1
5.315472083E-1,-2.510279846E-1,1.924697571E0,1.031684601E1
5.415762083E-1,2.128573608E-1,1.429826660E0,9.441466370E0
5.516062083E-1,9.348060608E-1,5.667214966E-1,9.000782776E0
5.616352083E-1,1.296753387E0,-1.740879822E-1,8.903934174E0
5.716642083E-1,1.544039154E0,-4.914280701E-1,9.159752197E0
