"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.252720833E-2,-4.268708527E-1,-2.184056938E-1,-1.052639037E-1
2.255720834E-2,-5.279524326E-1,-3.930602074E-1,-4.495092481E-2
3.258620833E-2,-5.600525737E-1,-5.319547057E-1,9.770641103E-3
4.261620833E-2,-5.159968734E-1,-5.818809867E-1,4.597507045E-2
5.264520834E-2,-4.212876856E-1,-5.640276670E-1,6.311437488E-2
6.267420833E-2,-2.902996540E-1,-4.942837059E-1,5.712618306E-2
7.270420833E-2,-1.486330628E-1,-4.156202972E-1,2.644337155E-2
8.273320834E-2,-1.589812338E-2,-3.464370668E-1,-4.786378704E-3
9.276220833E-2,6.574614346E-2,-3.009569347E-1,-3.597225994E-2
1.027922083E-1,9.821790457E-2,-2.853493989E-1,-8.233056217E-2
1.128212083E-1,9.744133055E-2,-2.625434399E-1,-1.179886907E-1
1.228502083E-1,7.121017575E-2,-2.186383456E-1,-1.216877252E-1
1.328802083E-1,4.813654721E-2,-1.609787792E-1,-9.755895287E-2
1.429092083E-1,3.240407258E-2,-1.321923435E-1,-6.251869351E-2
1.529382083E-1,1.159812789E-2,-1.168117970E-1,-5.169933289E-2
1.629682083E-1,-9.264785796E-3,-1.205768883E-1,-7.610854506E-2
1.729972083E-1,-4.331196845E-2,-1.430518329E-1,-1.105594635E-1
1.830262083E-1,-1.190851405E-1,-1.787551641E-1,-1.429426074E-1
1.930562083E-1,-2.088017166E-1,-2.211723924E-1,-1.579689682E-1
2.030852083E-1,-3.087334931E-1,-2.448500842E-1,-1.586752236E-1
2.131142083E-1,-3.675643206E-1,-2.463646233E-1,-1.445487589E-1
2.231442083E-1,-3.662779033E-1,-2.281347066E-1,-1.038133204E-1
2.331732083E-1,-3.148027062E-1,-2.013116032E-1,-6.082563847E-2
2.432022083E-1,-2.535994351E-1,-2.049343586E-1,-3.854242712E-2
2.532322083E-1,-2.105020285E-1,-2.351212949E-1,-2.994441055E-2
2.632612083E-1,-1.812383682E-1,-2.887137532E-1,-2.954323217E-2
2.732902083E-1,-1.654210538E-1,-3.255998790E-1,-4.494002834E-2
2.833202083E-1,-1.690629125E-1,-3.259003758E-1,-6.647104770E-2
2.933492083E-1,-1.942737252E-1,-2.910845876E-1,-9.521028399E-2
3.033782083E-1,-2.277888358E-1,-2.387406975E-1,-1.091670766E-1
3.134082083E-1,-2.733709514E-1,-1.825176477E-1,-1.276012063E-1
3.234372083E-1,-3.338911533E-1,-1.349245906E-1,-1.662144214E-1
3.334662083E-1,-4.071488380E-1,-8.891395479E-2,-1.781640202E-1
3.434962083E-1,-5.051438808E-1,-3.195577860E-2,-1.472029984E-1
3.535252083E-1,-6.540210247E-1,-1.085582189E-2,-7.165046036E-2
3.635542083E-1,-8.420488834E-1,-6.068780646E-2,6.149646640E-2
3.735842083E-1,-1.065531015E0,-1.922953576E-1,2.591328323E-1
3.836132083E-1,-1.278898478E0,-3.137726784E-1,4.816530347E-1
3.936422083E-1,-1.449015975E0,-3.926334083E-1,6.392945647E-1
4.036722083E-1,-1.562249660E0,-4.459282160E-1,6.790493727E-1
4.137012083E-1,-1.593576431E0,-4.950459599E-1,5.965166688E-1
4.237302083E-1,-1.564756870E0,-6.059744358E-1,4.173986912E-1
4.337602083E-1,-1.511771202E0,-6.563518643E-1,2.053618282E-1
4.437892083E-1,-1.482543349E0,-6.556257010E-1,2.253846265E-3
4.538182083E-1,-1.472510934E0,-7.133246660E-1,-1.489516497E-1
4.638482083E-1,-1.479606390E0,-9.006108642E-1,-2.476402819E-1
4.738772083E-1,-1.495238543E0,-1.176284313E0,-3.168867528E-1
4.839062083E-1,-1.544772029E0,-1.778595328E0,-2.817487419E-1
4.939362083E-1,-1.629681349E0,-2.464621782E0,-1.573809832E-1
5.039652083E-1,-1.776872754E0,-2.754465818E0,6.209925562E-2
5.139942083E-1,-1.941131234E0,-2.553576231E0,3.321928084E-1
5.240242083E-1,-2.055387497E0,-1.946609139E0,5.512875319E-1
5.340532083E-1,-2.128942966E0,-1.034843922E0,7.204171419E-1
5.440822083E-1,-2.198776245E0,-1.438368410E-1,8.869930506E-1
5.541122083E-1,-2.272650480E0,5.646697283E-1,1.058800817E0
5.641412083E-1,-2.278360844E0,9.112206697E-1,1.223087311E0
5.741702083E-1,-2.145597458E0,8.884314895E-1,1.427253485E0
5.842002083E-1,-1.827845335E0,6.500000954E-1,1.732699871E0
5.942292083E-1,-1.262206197E0,2.386844307E-1,2.154048920E0
6.042582083E-1,-5.546630621E-1,5.615550280E-2,2.399317741E0
6.142882083E-1,6.937587261E-1,-1.112872958E0,2.369203329E0
6.243172083E-1,2.138194799E0,-2.526662350E0,2.196696997E0
6.343462083E-1,3.637704849E0,-3.356759310E0,1.790513396E0
6.443762083E-1,4.827941895E0,2.209001482E-1,1.026738048E0
6.544052083E-1,4.783559799E0,-7.706850171E-1,2.877098918E-1
6.644342083E-1,3.327461004E0,-2.273235559E0,-1.320717782E-1
6.744642083E-1,1.366541266E0,-2.787331343E0,-2.455546707E-1
6.844932083E-1,1.706395000E-1,-1.618381500E0,-3.746267259E-1
6.945222083E-1,-1.016823292E0,2.273310572E-1,-6.030644178E-1
7.045522083E-1,-2.137353659E0,9.309318662E-1,-7.808907032E-1
7.145812083E-1,-1.643332243E0,7.570884228E-1,-3.028130531E-1
7.246102083E-1,-7.914909124E-1,1.101854563E0,7.664667070E-2
7.346402083E-1,2.662152052E-2,9.850680828E-1,3.998359144E-1
7.446692083E-1,5.278202295E-1,6.732416749E-1,5.320970416E-1
7.546982083E-1,7.653100491E-1,2.627511024E-1,5.757496953E-1
7.647282083E-1,9.093409181E-1,-2.133408561E-2,5.663414598E-1
7.747572083E-1,9.999840260E-1,-1.484343037E-2,4.271245003E-1
7.847862083E-1,9.950767159E-1,1.711811572E-1,2.293428928E-1
7.948152083E-1,8.739729524E-1,2.935483158E-1,8.782820776E-3
8.048452083E-1,7.785816789E-1,1.360393167E-1,-5.348896980E-2
8.148742083E-1,7.375951409E-1,-1.980206817E-1,-2.030363828E-1
8.249042083E-1,6.638013124E-1,-3.264462948E-1,-3.668447435E-1
8.349332083E-1,5.735129714E-1,-1.092740297E-1,-3.145381510E-1
8.449622083E-1,6.551186442E-1,-1.757477671E-1,-2.025824487E-1
8.549912083E-1,7.327359319E-1,-4.383903146E-1,-6.337502599E-2
8.650215833E-1,7.612305284E-1,-7.070930600E-1,1.164355725E-1
8.750505833E-1,8.062760234E-1,-8.749215007E-1,2.647946775E-1
8.850795833E-1,9.024388194E-1,-1.010609984E0,2.646982670E-1
8.951095833E-1,9.217374325E-1,-8.876464963E-1,1.571600884E-1
9.051385833E-1,7.625674605E-1,-5.487873554E-1,-6.333356723E-3
9.151675833E-1,5.370499492E-1,-1.983640790E-1,-1.523435563E-1
9.251975833E-1,3.522325158E-1,3.086692840E-2,-2.370493412E-1
9.352265833E-1,2.566863000E-1,8.899843320E-3,-1.659171134E-1
9.452555833E-1,3.358867466E-1,-3.028327525E-1,-4.592124745E-2
