"Time (s)","X (hPa)"
-5.931046250E-1,9.940526581E2
4.074743750E-1,9.940539551E2
1.408054375E0,9.940552521E2
3.410897000E0,9.940420532E2
4.411478000E0,9.940386963E2
5.412059000E0,9.940401459E2
6.412638000E0,9.940401459E2
7.413212000E0,9.940438080E2
8.413786000E0,9.940462494E2
8.964734000E0,9.940479279E2
9.965314000E0,9.940509796E2
1.096589100E1,9.940515900E2
1.196646800E1,9.940525818E2
1.296704300E1,9.940532684E2
1.396761800E1,9.940532684E2
1.496819600E1,9.940522766E2
1.596877800E1,9.940522766E2
1.696935300E1,9.940527344E2
1.796992900E1,9.940534973E2
1.897050500E1,9.940547180E2
1.997108200E1,9.940564728E2
2.097165800E1,9.940564728E2
2.197223700E1,9.940553284E2
2.297281100E1,9.940534210E2
2.397338600E1,9.940476990E2
2.497396100E1,9.940427399E2
2.597453300E1,9.940365601E2
2.697511500E1,9.940317535E2
2.797568900E1,9.940258026E2
2.897626500E1,9.940230560E2
2.997684300E1,9.940230560E2
3.097742200E1,9.940235901E2
3.197799400E1,9.940251923E2
3.297857100E1,9.940264130E2
3.397915000E1,9.940284729E2
3.497972700E1,9.940293121E2
3.598030200E1,9.940297699E2
3.698087800E1,9.940319061E2
3.798145100E1,9.940336609E2
3.898203500E1,9.940361023E2
3.998260900E1,9.940407562E2
4.098318400E1,9.940411377E2
4.198376000E1,9.940411377E2
4.298433300E1,9.940322113E2
4.398491000E1,9.940220642E2
4.498548800E1,9.940097809E2
4.598606100E1,9.940010071E2
4.698663800E1,9.940006256E2
4.798721500E1,9.940006256E2
4.898779100E1,9.940022278E2
4.998836600E1,9.940074921E2
5.098894700E1,9.940074921E2
5.198952100E1,9.940067291E2
5.299009600E1,9.940043640E2
5.399067500E1,9.940042877E2
5.499125000E1,9.940042877E2
5.599219000E1,9.940014648E2
5.699240500E1,9.940014648E2
5.799298200E1,9.940053558E2
5.899377300E1,9.940083313E2
5.999412900E1,9.940146637E2
6.099470400E1,9.940211487E2
6.199528200E1,9.940258789E2
6.299586200E1,9.940260315E2
6.399643700E1,9.940260315E2
6.499701400E1,9.940217590E2
6.599758800E1,9.940164185E2
6.699816800E1,9.940159607E2
6.799874400E1,9.940154266E2
6.899932000E1,9.940126801E2
6.999989800E1,9.940126801E2
7.100047000E1,9.940126801E2
7.200104900E1,9.940100861E2
7.300162600E1,9.940074921E2
7.400220300E1,9.940069580E2
7.500278000E1,9.940036011E2
7.600335100E1,9.939943695E2
7.700393100E1,9.939920044E2
7.800450600E1,9.939885712E2
7.900508200E1,9.939870453E2
8.000565900E1,9.939780426E2
8.100623600E1,9.939776611E2
8.200681400E1,9.939759064E2
8.300738400E1,9.939745331E2
8.400807900E1,9.939693451E2
8.500854000E1,9.939693451E2
8.600911800E1,9.939685059E2
8.700983900E1,9.939612579E2
8.801026800E1,9.939666748E2
8.901084600E1,9.939666748E2
9.001161500E1,9.939690399E2
9.101199600E1,9.939753723E2
9.201257400E1,9.939762878E2
9.301331000E1,9.939791107E2
9.401372800E1,9.939791107E2
9.501430700E1,9.939766693E2
9.601489200E1,9.939715576E2
9.701545700E1,9.939690399E2
9.801603600E1,9.939643860E2
9.901660800E1,9.939639282E2
1.000171860E2,9.939639282E2
1.010177650E2,9.939734650E2
1.020183390E2,9.939735413E2
1.030189210E2,9.939735413E2
1.040194900E2,9.939714050E2
1.050200740E2,9.939601135E2
1.060206440E2,9.939484406E2
1.070212250E2,9.939461517E2
1.080217970E2,9.939484406E2
1.090223780E2,9.939532471E2
1.100229510E2,9.939593506E2
1.110235250E2,9.939593506E2
1.120241040E2,9.939550018E2
1.130246780E2,9.939543152E2
1.140252560E2,9.939543152E2
1.150258270E2,9.939577484E2
1.160264070E2,9.939620972E2
1.170269810E2,9.939620972E2
1.180275590E2,9.939621735E2
1.190286080E2,9.939617920E2
1.200287110E2,9.939619446E2
1.210292890E2,9.939619446E2
1.220298660E2,9.939630127E2
1.230304440E2,9.939757538E2
1.240310170E2,9.939810944E2
1.250315930E2,9.939818573E2
1.260325720E2,9.939810944E2
1.270327530E2,9.939804077E2
1.280333250E2,9.939760590E2
1.290338980E2,9.939760590E2
1.300344730E2,9.939801025E2
1.310350510E2,9.939836121E2
1.320356270E2,9.939855957E2
1.330362030E2,9.939881134E2
1.340367830E2,9.939981842E2
1.350373590E2,9.940068054E2
1.360379320E2,9.940213776E2
1.370385130E2,9.940351868E2
1.380390880E2,9.940456390E2
1.390396620E2,9.940464783E2
1.400402380E2,9.940463257E2
1.410408170E2,9.940463257E2
1.420418380E2,9.940460205E2
1.430419740E2,9.940438080E2
1.440425460E2,9.940366364E2
1.450431280E2,9.940261841E2
1.460436990E2,9.940180206E2
1.470442760E2,9.940090179E2
1.480448480E2,9.940018463E2
1.490454280E2,9.940018463E2
1.500460050E2,9.940080261E2
1.510465820E2,9.940104675E2
