Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),DGM_Height_m
0.2780367136,50.58430086,8.699716992,177.4352987,0.2243914902,,13.46657313,10.2067682,162.32000732421875
1.27801764,50.58433353,8.699755534,177.4364633,0.2015704215,,12.2178592,8.924185926,162.10400390625
2.277126789,50.58435445,8.699757666,177.4388782,0.1488659829,,12.02648914,10.64199625,162.0900115966797
3.2331568,50.58438149,8.699785285,177.4542968,0.146667406,,10.51805905,13.02557189,162.0600128173828
4.711255811,50.58443931,8.6998024,177.7249387,0.1369781643,42.969438,13.71907321,16.21590908,161.87100219726562
5.711250804,50.58444021,8.699803718,177.7249388,0.1369781643,42.96943902,13.71907321,16.21590908,161.87100219726562
6.711214922,50.58443595,8.69981705,177.7543356,0.09127809852,213.7319438,9.546053042,11.65942959,161.8610076904297
7.711052201,50.58443374,8.699825131,177.7052262,0.1369781643,,10.68751629,13.77420136,161.7860107421875
8.71104934,50.58443003,8.699835382,177.6506281,0.1468145847,,6.146539024,7.38205478,161.8280029296875
9.711046598,50.58443332,8.699833786,177.6261621,0.122041069,,11.82575821,14.09668414,161.8280029296875
10.71104553,50.58443877,8.699835751,177.6054131,0.1538487822,,10.90231088,12.9469076,161.7930145263672
11.71104362,50.58444112,8.699828634,177.5903977,0.1538487822,,14.41858264,16.90665042,161.7860107421875
12.71104314,50.58444049,8.699828824,177.5916142,0.2540275455,,14.40699568,16.21325643,161.7860107421875
13.7110435,50.5844432,8.699829755,177.5769238,0.3556339145,,15.84064007,17.08968207,161.8280029296875
14.71104338,50.58443955,8.69982062,177.5616792,0.2399553955,,11.85261221,12.91838782,161.8610076904297
15.71104457,50.58443616,8.699805527,177.5494991,0.4871774614,192.3920349,17.68772999,18.96505092,161.87100219726562
16.71104553,50.58444485,8.699800746,177.5404981,0.3723148704,,24.22328131,25.13998812,161.7930145263672
17.71104684,50.5844421,8.699802069,177.5464982,0.3789705932,,14.14004089,14.17437433,161.87100219726562
18.71104898,50.58444773,8.699800008,177.5712495,0.07474731654,,8.940499178,9.510086249,161.7930145263672
19.71105089,50.58445264,8.699799489,177.5810709,0.2413914502,,6.117978631,6.604687359,161.8300018310547
20.71105327,50.58445392,8.69980975,177.5802185,0.2413914502,,6.129972195,6.673493363,161.89601135253906
21.71105614,50.58446172,8.699806712,177.5871454,0.6652768254,56.52265915,5.896003716,6.674812627,161.70700073242188
22.71105971,50.58445405,8.699803237,177.594833,0.4275782704,60.60731815,5.805412764,6.680347582,161.8300018310547
23.71106281,50.584451,8.699789609,177.6027789,0.1488703936,,5.718917521,6.6451078,161.81300354003906
24.71106651,50.58444885,8.699788584,177.6085507,0.08989232779,,5.811017014,6.66158781,161.81300354003906
25.7110702,50.58444832,8.699774324,177.8911916,0.2885744586,,17.69620311,9.688012853,161.87901306152344
26.71107473,50.58444938,8.699789543,177.8054836,0.2297876211,,17.69620311,9.933500679,161.81300354003906
27.7110789,50.58444891,8.699811086,177.6174543,0.3760556508,,14.07373784,8.318173311,161.87100219726562
28.71108248,50.58445539,8.699826208,177.8354525,0.2150803668,,14.07373784,8.759931458,161.81900024414062
29.71108784,50.58445531,8.699835591,177.1814761,0.2181123138,,13.01393091,8.056665154,161.65200805664062
30.71109249,50.58446278,8.699842473,177.2230248,0.2311134158,,11.04756284,6.636496342,161.59400939941406
31.71109738,50.58446884,8.699848977,177.1205125,0.09204375515,,10.04013768,5.846765836,161.59400939941406
32.71110215,50.58447045,8.69985553,177.0201795,0.1089286057,,9.194981143,5.270778176,161.48001098632812
33.71110751,50.58447473,8.699859246,176.8778222,0.155697996,,8.609279518,4.78039581,161.48001098632812
34.71111264,50.58448593,8.699866225,176.9590377,0.3023336302,,8.609279518,4.7189203,161.3920135498047
35.71111789,50.58448724,8.699869116,176.8183799,0.1644344447,,8.609279518,4.595141499,161.3920135498047
36.71112373,50.5844892,8.699875927,177.0100963,0.1475348841,,8.609279518,4.611889338,161.37701416015625
37.71112945,50.58448698,8.699884624,176.6591745,0.2840823512,,8.584637483,4.510833479,161.35301208496094
38.71113469,50.58448974,8.699888062,176.7479221,0.1998092105,,8.636827619,4.552600695,161.3470001220703
39.71114137,50.58448943,8.699888374,176.7103722,0.1992933659,,8.904322881,4.668265114,161.3470001220703
40.71114721,50.58449938,8.699893607,176.8534915,0.280740341,,9.124122891,4.758596673,161.29600524902344
41.71115329,50.58450005,8.69989718,176.9254417,0.1060007573,,8.824412515,4.401341548,161.29600524902344
42.71115901,50.58450072,8.69990022,176.9765985,0.12674801,,8.486562897,4.070669701,161.29600524902344
43.71116473,50.58449885,8.699899817,177.1862827,0.2231627041,,8.253878822,3.575241585,161.29600524902344
44.71117189,50.584497,8.699879516,177.3267714,0.8166107375,256.781599,7.904817234,3.182229452,161.38101196289062
45.71117797,50.58447465,8.699847184,177.8449604,2.32235921,228.3531858,7.68069087,3.0,161.52801513671875
46.71118417,50.58443321,8.699798143,177.8657622,4.234465838,221.0767963,7.456675507,3.0,161.94500732421875
47.71119096,50.58440284,8.699753392,177.6573328,4.381708277,222.877559,7.225047297,3.0,162.04000854492188
48.71119668,50.58436694,8.699707067,177.7519665,4.744376438,220.6890968,7.034660913,3.0,162.1070098876953
49.71120312,50.58431812,8.699644576,177.6189838,4.463984489,223.2254747,7.034660895,8.810517909,162.36801147460938
50.71121027,50.58428699,8.699605883,177.5574773,4.247532368,221.4541594,7.034660895,8.778420214,162.45901489257812
51.71121695,50.58424198,8.699554234,177.4369425,5.266716957,216.742003,7.034660895,8.873076841,162.71900939941406
52.71122315,50.58421489,8.699514928,177.5500665,4.427019596,220.1867481,7.034660895,8.972973152,163.00401306152344
53.71123006,50.58418218,8.69947275,177.5700511,4.528869629,216.6747997,7.034660895,9.053307317,163.11000061035156
54.71123698,50.58415331,8.699428747,177.7727996,4.324147224,221.0522821,7.034660895,9.034078861,163.11000061035156
55.71124389,50.58410442,8.699376611,177.5603877,5.574077129,214.3235281,7.034660895,8.952033851,163.30601501464844
56.71124997,50.5840756,8.699344141,177.7381596,4.469547749,216.4512467,7.034660895,8.954345578,163.39300537109375
57.711257,50.58402798,8.6993151,177.8939968,5.16471529,206.0508654,7.034660895,8.949310052,163.62100219726562
58.71126392,50.58400211,8.699308451,178.2775113,3.681845903,196.2464607,7.034660895,8.992789927,163.76800537109375
59.71127059,50.58397143,8.69928405,178.5193431,3.739296675,199.1413417,7.034660895,8.489255496,164.07501220703125
60.71127727,50.5839409,8.699270425,178.8216637,3.681845903,190.8480436,7.034660895,8.656936898,164.15501403808594
61.71128406,50.58391012,8.699265282,178.8981215,3.634204626,182.4963299,7.034660895,8.774571288,164.5830078125
62.71129086,50.58389136,8.699269744,179.0810893,2.913114309,171.31405,7.034660895,9.100319031,164.52101135253906
63.71129849,50.58387315,8.699277863,179.2771579,2.913114309,164.4365064,7.034660895,9.340846032,164.41400146484375
64.71130564,50.58384391,8.699285697,179.3142719,2.913114309,164.4881464,7.034660895,9.503277793,164.78500366210938
65.71131208,50.5838895,8.699357226,178.7873565,3.035351393,158.5101509,7.034660921,3.0,164.031005859375
66.71131911,50.58383777,8.699380868,178.559758,4.007328601,154.556203,5.03729558,3.0,166.10800170898438
67.71132591,50.58379558,8.699416801,178.2308788,4.46429356,147.8972472,5.709200327,3.0,168.3360137939453
68.71133318,50.58376977,8.699452863,178.1347682,4.135139788,139.7066911,5.116944305,3.0,170.1510009765625
69.71134045,50.58374807,8.699496503,177.6373885,3.894084993,128.5538787,5.984098034,3.0,171.67100524902344
70.71134736,50.58373518,8.699539454,177.8817047,3.683566748,116.7635346,6.569369354,3.099371287,171.2630157470703
71.71135428,50.58372064,8.699586428,177.7661623,3.645992215,109.0564202,6.362090831,3.0,170.69700622558594
72.71136119,50.58370921,8.69962989,177.4108637,3.480293525,104.0643251,6.781059239,3.079558379,170.1850128173828
73.71136811,50.58369873,8.699673894,177.1211221,3.347718751,94.39514253,6.938894521,3.334125059,169.14801025390625
74.7113755,50.58370044,8.699701057,177.1884725,2.953410239,82.12465922,7.459028205,3.756540739,167.97201538085938
75.71138229,50.58370407,8.699735648,177.215105,2.939361281,74.78463303,8.153405079,3.886828378,166.781005859375
76.71138909,50.58371215,8.69977095,176.9563223,3.076251724,68.80247516,8.637287699,3.974615241,164.7110137939453
77.71139695,50.58371358,8.699807763,177.3716437,3.175334957,68.68638309,8.5952076,3.972160599,163.74900817871094
78.71140423,50.58370832,8.699855101,176.6743449,3.349818607,71.4872649,8.52990759,3.901322247,163.1750030517578
79.71141102,50.58371391,8.6998822,176.8576734,3.089017044,69.19970227,9.125368065,4.024630227,163.1630096435547
80.71141782,50.58373087,8.699925259,177.0599617,3.428751958,58.64362382,9.60131119,4.222241996,163.20001220703125
81.71142521,50.58374818,8.69996138,177.0678402,3.520299624,52.55159149,10.01543038,4.365192566,163.15501403808594
82.71143212,50.58376865,8.699998208,177.190557,3.698059978,46.62850696,10.50790555,4.723076636,163.17800903320312
83.71143975,50.58379389,8.700029832,176.7809122,3.851630392,41.0153667,10.45160323,4.804977686,163.156005859375
84.71144631,50.58381403,8.700062033,177.0435153,3.724371923,37.82061143,10.46769194,4.777570952,162.94000244140625
85.71145358,50.58383637,8.700084672,176.8817965,3.586726292,32.85810599,10.51318404,4.632290569,162.86801147460938
86.71146073,50.58386424,8.700119078,177.1029654,3.80038795,30.52799487,10.83392467,4.560137883,162.781005859375
87.71146788,50.58388566,8.700156727,177.1279126,3.709613097,31.81154256,11.55540438,4.776951654,162.635009765625
88.71147504,50.58390511,8.700195653,177.1962122,3.648463468,32.47425281,11.81803798,5.178968383,162.56100463867188
89.71148279,50.58392936,8.700248459,177.1474007,3.881187896,35.91611269,12.07938213,5.577939785,162.5290069580078
90.71148994,50.58395156,8.700291445,177.1137926,3.727912686,38.54399317,12.38067966,5.887171305,162.33700561523438
91.71149637,50.58397513,8.700338399,176.9827789,3.758417278,42.03201836,12.91327117,6.170201439,162.37501525878906
92.71150353,50.58400076,8.700382996,177.1261789,3.789042281,42.97825596,13.2794984,6.228649043,162.1110076904297
93.71151104,50.5840257,8.700422333,177.1943809,3.832156132,39.70133338,13.33690264,6.586666435,161.1060028076172
94.71151855,50.5840493,8.700466201,177.3483008,3.886392235,40.20171643,13.50972363,6.578747383,161.5360107421875
95.7115251,50.58407231,8.700507052,177.6352464,3.815052389,40.59465741,13.70737194,6.546559451,161.4600067138672
96.7115325,50.58409893,8.700547971,177.5344211,3.90807146,41.49691684,14.11078672,6.939938624,161.4090118408203
97.71154012,50.58412807,8.700584379,177.8845062,3.989662436,37.59653375,14.35515284,7.163647965,161.4630126953125
98.7115474,50.58414986,8.700628296,177.4191064,3.856237269,40.78739764,14.58777222,7.245511873,161.4630126953125
99.71155383,50.58417557,8.70066475,177.4495312,3.695393518,37.13457233,14.86309164,7.371859562,161.44200134277344
100.7115611,50.58420484,8.700713701,176.5013825,3.807650612,36.60934447,14.95273402,7.073389937,161.61500549316406
101.7115691,50.58422966,8.700752408,177.0122021,3.718905999,33.99452798,15.20156435,7.119977247,161.58900451660156
102.7115758,50.58426212,8.700787507,176.8240443,3.831089892,28.64711884,15.31229588,7.062076045,161.6420135498047
103.7115827,50.58429987,8.700820736,176.8710364,4.103283924,24.55646045,15.38989656,7.412698258,161.71900939941406
104.7115903,50.58433053,8.70085165,177.136198,3.941255295,24.75492745,15.59773118,7.757915083,161.7320098876953
105.7115978,50.5843583,8.700868868,177.7080832,3.638903619,21.77641968,15.6457032,7.163768487,161.71400451660156
106.7116043,50.58439574,8.700886909,177.3252805,3.811540903,14.25438254,15.68600352,7.247704163,161.67100524902344
107.7116114,50.58441481,8.70089034,177.0641986,3.092844721,3.871904408,15.84589648,7.445029479,161.67001342773438
108.7116188,50.58445064,8.70088246,177.0130213,3.311678843,347.5406959,15.96240469,7.918945962,161.6330108642578
109.7116266,50.58448466,8.700869747,177.043264,3.633936314,335.0578741,15.75278955,8.205014333,161.52000427246094
110.7116339,50.58452192,8.70086326,177.0086988,3.960452496,335.0067021,15.58163437,8.009770626,161.60101318359375
111.711641,50.58455668,8.700863204,177.4125644,3.926539067,339.7686696,15.54606357,8.307776515,161.8560028076172
112.7116485,50.58458554,8.700838061,177.2239068,3.848939514,330.7560174,15.4070627,8.542824068,161.8280029296875
113.7116556,50.58461802,8.700823327,177.3097327,3.813697933,323.3747075,15.18984837,8.303100108,161.7740020751953
114.711662,50.58464361,8.700791718,176.913394,3.842403941,313.7709479,14.89360548,8.015388023,161.57901000976562
115.7116693,50.58465918,8.700751837,177.0610613,3.8281694,301.0210277,14.52988077,7.539704931,161.9820098876953
116.7116765,50.58467965,8.700717392,177.1952613,3.763585457,298.3091116,14.18894364,7.169819007,161.75100708007812
117.7116838,50.58468827,8.700677353,177.3962875,3.59146862,289.7234491,13.77567821,6.80890996,161.72401428222656
118.7116912,50.58469542,8.700632666,177.582565,3.50706574,282.1941665,13.46564456,6.943581652,161.68600463867188
119.711698,50.58469246,8.700598081,178.5107941,3.234068136,270.452219,13.06011127,6.478103843,161.6110076904297
120.7129578,50.58468389,8.700562474,178.0779268,3.259743558,258.2032174,12.70947846,6.233231776,161.55300903320312
