"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.780367136E-1,5.058430086E1,8.699716992E0,1.774352987E2,2.243914902E-1,NaN,1.346657313E1,1.020676820E1
1.278017640E0,5.058433353E1,8.699755534E0,1.774364633E2,2.015704215E-1,NaN,1.221785920E1,8.924185926E0
2.277126789E0,5.058435445E1,8.699757666E0,1.774388782E2,1.488659829E-1,NaN,1.202648914E1,1.064199625E1
3.233156800E0,5.058438149E1,8.699785285E0,1.774542968E2,1.466674060E-1,NaN,1.051805905E1,1.302557189E1
4.711255811E0,5.058443931E1,8.699802400E0,1.777249387E2,1.369781643E-1,4.296943800E1,1.371907321E1,1.621590908E1
5.711250804E0,5.058444021E1,8.699803718E0,1.777249388E2,1.369781643E-1,4.296943902E1,1.371907321E1,1.621590908E1
6.711214922E0,5.058443595E1,8.699817050E0,1.777543356E2,9.127809852E-2,2.137319438E2,9.546053042E0,1.165942959E1
7.711052201E0,5.058443374E1,8.699825131E0,1.777052262E2,1.369781643E-1,NaN,1.068751629E1,1.377420136E1
8.711049340E0,5.058443003E1,8.699835382E0,1.776506281E2,1.468145847E-1,NaN,6.146539024E0,7.382054780E0
9.711046598E0,5.058443332E1,8.699833786E0,1.776261621E2,1.220410690E-1,NaN,1.182575821E1,1.409668414E1
1.071104553E1,5.058443877E1,8.699835751E0,1.776054131E2,1.538487822E-1,NaN,1.090231088E1,1.294690760E1
1.171104362E1,5.058444112E1,8.699828634E0,1.775903977E2,1.538487822E-1,NaN,1.441858264E1,1.690665042E1
1.271104314E1,5.058444049E1,8.699828824E0,1.775916142E2,2.540275455E-1,NaN,1.440699568E1,1.621325643E1
1.371104350E1,5.058444320E1,8.699829755E0,1.775769238E2,3.556339145E-1,NaN,1.584064007E1,1.708968207E1
1.471104338E1,5.058443955E1,8.699820620E0,1.775616792E2,2.399553955E-1,NaN,1.185261221E1,1.291838782E1
1.571104457E1,5.058443616E1,8.699805527E0,1.775494991E2,4.871774614E-1,1.923920349E2,1.768772999E1,1.896505092E1
1.671104553E1,5.058444485E1,8.699800746E0,1.775404981E2,3.723148704E-1,NaN,2.422328131E1,2.513998812E1
1.771104684E1,5.058444210E1,8.699802069E0,1.775464982E2,3.789705932E-1,NaN,1.414004089E1,1.417437433E1
1.871104898E1,5.058444773E1,8.699800008E0,1.775712495E2,7.474731654E-2,NaN,8.940499178E0,9.510086249E0
1.971105089E1,5.058445264E1,8.699799489E0,1.775810709E2,2.413914502E-1,NaN,6.117978631E0,6.604687359E0
2.071105327E1,5.058445392E1,8.699809750E0,1.775802185E2,2.413914502E-1,NaN,6.129972195E0,6.673493363E0
2.171105614E1,5.058446172E1,8.699806712E0,1.775871454E2,6.652768254E-1,5.652265915E1,5.896003716E0,6.674812627E0
